question;hint;option1;option2;option3;answer
When their babysitter canceled at the last minute I_______ to take care of their son;To offer to do something, usually without being asked of paid;flammable;visible;volunteer;volunteer
Gamblers try to _______ which horse will win a race;To know what will happen in the future, to foresee;festive;manipulate;predict;predict
The secretary of state _______ the President on his trip;To go with someone to a place;feast;enormous;accompanied;accompanied
A massage will help your muscles to _______;To become less tense, to slacken;gourmet;confused;relax;relax
The treasurer has to _______ all expenses;To allow, to consent to, or to endorse;coincides;method;approve;approve
Laws _______ the amount of tobacco a person can bring into the country;To limit, to reduce;tends;convinced;restrict;restrict
By speaking to the press he _______ our contract;To defy, to disobey;disguise;accurate;violated;violated
Her son _______ that he had broken the TV;to dispute the truth, to reject or refuse;leash;commerce;denied;denied
Millions of italians _______ to the USA between 1880 and 1915;To move to a new country;strained;external;immigrated;immigrated
Your new refrigerator should _______ to energy efficiency standards;To follow rules and standards;imposed;perceive;conform;conform
You should _______ that your mistakes caused the accident;To admit or accept as a fact, to recognize;constrained;inside;acknowledge;acknowledge
Iphone was designed by Apple in California and _______ in hina;To put something together, to come together;incentive;administration;assemble;assemble
The detonation in the factory _______ workers to dangerous chemicals;To put in contact with something dangerous;novelty;profound;exposed;exposed
Be carefull, your silence could be _______ as an admission of guilt;To explain or understand the meaning, to translate;thrive;occur;interpreted;interpreted
Research has _______ that this new medication is five times as effective;To show, to prove with evidence;glacial;attitude;demonstrated;demonstrated
You may need to _______ your TV antenna for better reception;To change something slightly in order to improve it, to modify;frigid;interact;adjust;adjust
My credic card limit began to _______ after Ive made several large purchases;To become less or worse, to decline;blizzard;pursued;diminish;diminish
During his year in Berlin he _______ a perfect German accent;To obtain or receive, to gain;firsthand;sufficient;acquired;acquired
The discussion will probably _______ the outcome;To have a effect on, to impact;disputes;conflict;influence;influence
Upon this discovery, astronomers _______ their definition of a planet;To reconsider;reconciled;concentrate;revised;revised
A sponge can _______ a lot of liquid;To take in or soak up energy, liquid or another substance by chemical or physical action;sustain;familiar;absorb;absorb
We _______ 100 shares of Tesla stocks ;To buy;donated;replenished;purchased;purchased
Please _______ one item from the list;To choose;gratitude;innocent;select;select
The military had to _______ to restore order;To become involved in a situation, to interfere;eternal;inevitable;intervened;intervened
You can _______ the flavor of the dish by using fresh herbs;To make better, to improve;negligible;incentive;enhance;enhance
Our coach _______ us to practice harder by setting goals;To give a person a reason or incentive to do something, to encourage or inspire;prevented;determining;motivates;motivates
Although he didnt complain, his reaction _______ that he was disappointed;To suggest that saying something is true without saying so directly, to insinuate;fierce;vice versa;implied;implied
The curtains were pulled back to _______ a beaultiful view;to show, to uncover;rival;status;reveal;reveal
The plan was not _______ correctly;to put into effect, to enact, to carry out;nonchalant;expand;implementing;implementing
The Titanic was a passenger ship which _______ in 1912;To go down below the surface of something, especially of a liquid, to become submerged;induce;deprived;sank;sank
When the new factory is built here, our small town is sure to _______ again;To do or grow very well;brisk;harness;thrive;thrive
To dance that well would _______ a lot of practise;To need or demand;invigorated;paltry;require;require
The gas pedal makes a car _______;To gain speed, to speed up;emerged;cognitive;accelerate;accelerate
She hasnt yet _______ to my email;to answer, to reply;adolescent;celestial;respond;respond
My GMUD was _______ by the CAB committee;To refuse to accept, to dismiss;esteemed;terrestrial;rejected;rejected
Many english words _______ from Latin. The ingredients of shampoo are _______ from plants;To obtain something from a source;affection;alongside;derive;derive
He made his fortune by _______ in the stock market;To put money in stocksor bussiness in the hope of making profit;receded;gripped;investing;investing
The police are still _______ the murder;To look closely at something in order to determine the truth, to examine;bargain;impending;investigating;investigating
I _______ their invitation to dinner;To choose not to do something, to refuse;prosecuted;alleviate;declined;declined
