mode;topic;rule1;rule2;exampleA;exampleI;exampleN;type;wordBank;question;answer
translation;Present Continuous;Describes actions happening now;It is used for actions in progress ;A: Subject + be + Verb-ing (I am studying).;I: Be + Subject + Verb-ing (Are they running?);N: Subject + be + not + Verb-ing (She isn't eating).;SENTENCE BUILDER;.;she / go home now;she is going home now
translation;Present Continuous;Describes actions happening now;It is used for actions in progress ;A: Subject + be + Verb-ing (I am studying).;I: Be + Subject + Verb-ing (Are they running?);N: Subject + be + not + Verb-ing (She isn't eating).;SENTENCE BUILDER;.;I / read a great book;I am reading a great book
translation;Present Continuous;Describes actions happening now;It is used for actions in progress ;A: Subject + be + Verb-ing (I am studying).;I: Be + Subject + Verb-ing (Are they running?);N: Subject + be + not + Verb-ing (She isn't eating).;SENTENCE BUILDER;.;she / not / wash her hair;she is not washing her hair
translation;Present Continuous;Describes actions happening now;It is used for actions in progress ;A: Subject + be + Verb-ing (I am studying).;I: Be + Subject + Verb-ing (Are they running?);N: Subject + be + not + Verb-ing (She isn't eating).;SENTENCE BUILDER;.;the cat / chase mice?;Is the cat chasing mice?
translation;Present Continuous;Describes actions happening now;It is used for actions in progress ;A: Subject + be + Verb-ing (I am studying).;I: Be + Subject + Verb-ing (Are they running?);N: Subject + be + not + Verb-ing (She isn't eating).;SENTENCE BUILDER;.;she / cry?;Is she crying?
translation;Present Continuous;Describes actions happening now;It is used for actions in progress ;A: Subject + be + Verb-ing (I am studying).;I: Be + Subject + Verb-ing (Are they running?);N: Subject + be + not + Verb-ing (She isn't eating).;SENTENCE BUILDER;.;we / drive to London?;are we driving to London?
translation;Present Continuous;Describes actions happening now;It is used for actions in progress ;A: Subject + be + Verb-ing (I am studying).;I: Be + Subject + Verb-ing (Are they running?);N: Subject + be + not + Verb-ing (She isn't eating).;SENTENCE BUILDER;.;they / watch tv?;are they watching tv?
translation;Present Continuous;Describes actions happening now;It is used for actions in progress ;A: Subject + be + Verb-ing (I am studying).;I: Be + Subject + Verb-ing (Are they running?);N: Subject + be + not + Verb-ing (She isn't eating).;SENTENCE BUILDER;.;where / she / go now?;where is she going now?
translation;Present Continuous;Describes actions happening now;It is used for actions in progress ;A: Subject + be + Verb-ing (I am studying).;I: Be + Subject + Verb-ing (Are they running?);N: Subject + be + not + Verb-ing (She isn't eating).;SENTENCE BUILDER;.;I / not / leave now;I am not leaving now
translation;Present Continuous;Describes actions happening now;It is used for actions in progress ;A: Subject + be + Verb-ing (I am studying).;I: Be + Subject + Verb-ing (Are they running?);N: Subject + be + not + Verb-ing (She isn't eating).;SENTENCE BUILDER;.;you / not / run;You are not running
