mode;topic;wordBank;question;answer
translation;Irregular Verbs;BE;They _______ happy. The boy was tired.;were
translation;Irregular Verbs;BECOME;They _______ very angry.;became
translation;Irregular Verbs;BEGIN;He _______ work at seven.;began
translation;Irregular Verbs;BEND;He _______ over to pick up the newspaper.;bent
translation;Irregular Verbs;BET;He _______ all of his money.;bet
translation;Irregular Verbs;BITE;The dog _______ the postman.;bit
translation;Irregular Verbs;BLEED;My finger _______ for a while.;bled
translation;Irregular Verbs;BLOW;She _______ some bubbles.;blew
translation;Irregular Verbs;BREAK;She _______ her pencil.;broke
translation;Irregular Verbs;BRING;The waiter _______ my order to the table.;brought
translation;Irregular Verbs;BUILD;The boy _______ a sandcastle.;built
translation;Irregular Verbs;BUY;She _______ many things at the shopping mall.;bought
translation;Irregular Verbs;CATCH;He _______ a small fish.;caught
translation;Irregular Verbs;CHOOSE;He _______ something from the menu.;chose
translation;Irregular Verbs;COME;She _______ to my birthday party wearing a costume.;came
translation;Irregular Verbs;COST;It _______ me a lot of money.;cost
translation;Irregular Verbs;CUT;She _______ the paper with a pair of scissors.;cut
translation;Irregular Verbs;DEAL;She _______ the cards to the other players.;dealt
translation;Irregular Verbs;DIG;The dog _______ a hole in the backyard.;dug
translation;Irregular Verbs;DO;She _______ her homework.;did
translation;Irregular Verbs;DRAW;He _______ another cartoon.;drew
translation;Irregular Verbs;DRINK;He _______ a glass of water.;drank
translation;Irregular Verbs;DRIVE;The clown _______ a small car.;drove
translation;Irregular Verbs;EAT;She _______ all of the cake.;ate
translation;Irregular Verbs;FALL;The bowling ball _______ on his foot.;fell
translation;Irregular Verbs;FEED;She _______ the pigeons.;fed
translation;Irregular Verbs;FEEL;She _______ cold.;felt
translation;Irregular Verbs;FIGHT;They _______ with pillows.;fought
translation;Irregular Verbs;FIND;She _______ a coin on the ground.;found
translation;Irregular Verbs;FLY;The pilot _______ to another city.;flew
translation;Irregular Verbs;FORGET;I _______ what I had to do.;forgot
translation;Irregular Verbs;FORGIVE;She _______ him.;forgave
translation;Irregular Verbs;FREEZE;He _______ outside in the blizzard.;froze
translation;Irregular Verbs;GET;He _______ the high score.;got
translation;Irregular Verbs;GIVE;My children _______ me a birthday present.;gave
translation;Irregular Verbs;GO;The kids _______ to the local park to play.;went
translation;Irregular Verbs;GROW;Flowers _______ under the hammock.;grew
translation;Irregular Verbs;HANG;The monkey _______ from the branch.;hung
translation;Irregular Verbs;HAVE;I _______ pancakes for breakfast.;had
translation;Irregular Verbs;HEAR;She _______ a sound coming from the box.;heard
translation;Irregular Verbs;HIDE;He _______ his face.;hid
translation;Irregular Verbs;HIT;The ball _______ the back of her head.;hit
translation;Irregular Verbs;HOLD;She _______ an egg in her hand.;held
translation;Irregular Verbs;HURT;You _______ my feelings.;hurt
translation;Irregular Verbs;KEEP;He _______ his tools in a toolbox.;kept
translation;Irregular Verbs;KNOW;She _______ the answer.;knew
translation;Irregular Verbs;LEAD;He _______ his pet along the street.;led
translation;Irregular Verbs;LEAVE;They _______ the office at 5 o’clock.;left
translation;Irregular Verbs;LEND;He _______ me some money.;lent
translation;Irregular Verbs;LET;My boss _______ me leave work early.;let
translation;Irregular Verbs;LIGHT;He _______ a match.;lit
translation;Irregular Verbs;LOSE;He _______ the match.;lost
translation;Irregular Verbs;MAKE;She _______ a chocolate cake.;made
translation;Irregular Verbs;MEAN;I don’t know what you _______.;meant
translation;Irregular Verbs;MEET;We _______ for the first time yesterday.;met
translation;Irregular Verbs;PAY;She _______ her taxes.;paid
translation;Irregular Verbs;PUT;He _______ his suggestion in the box.;put
translation;Irregular Verbs;QUIT;He _______ his job last month.;quit
translation;Irregular Verbs;READ;I _______ the book in three days.;read
translation;Irregular Verbs;RIDE;She _______ her horse.;rode
translation;Irregular Verbs;RING;He _______ the doorbell.;rang
translation;Irregular Verbs;RISE;Profits _______ considerably last year.;rose
translation;Irregular Verbs;RUN;He _______ in the marathon.;ran
translation;Irregular Verbs;SAY;He _______ that he liked flowers.;said
translation;Irregular Verbs;SEE;The pirate _______ another ship in the distance.;saw
translation;Irregular Verbs;SELL;He _______ lemonade in front of his house.;sold
translation;Irregular Verbs;SEND;He _______ a postcard.;sent
translation;Irregular Verbs;SET;He _______ the table.;set
translation;Irregular Verbs;SHAKE;Everything in the house _______ during the earthquake.;shook
translation;Irregular Verbs;SHINE;He _______ a flashlight to see where he was going.;shone
translation;Irregular Verbs;SHOOT;He _______ at the target.;shot
translation;Irregular Verbs;SHUT;The boy _______ his eyes.;shut
translation;Irregular Verbs;SING;She _______ very well.;sang
translation;Irregular Verbs;SINK;He slowly _______ in the quicksand.;sank
translation;Irregular Verbs;SIT;They _______ on the park bench.;sat
translation;Irregular Verbs;SLEEP;He _______ in the armchair.;slept
translation;Irregular Verbs;SLIDE;She _______ to second base.;slid
translation;Irregular Verbs;SPEAK;He _______ about how to be successful in life.;spoke
translation;Irregular Verbs;SPEED;He _______ along the road.;sped
translation;Irregular Verbs;SPEND;He _______ all of his money on a new bicycle.;spent
translation;Irregular Verbs;SPIN;The dancer _______ around very quickly.;spun
translation;Irregular Verbs;SPREAD;I _______ a lot of jam on the bread.;spread
translation;Irregular Verbs;STAND;A guard _______ at the entrance.;stood
translation;Irregular Verbs;STEAL;The thief _______ a painting from the museum.;stole
translation;Irregular Verbs;STICK;Some chewing gum _______ to the bottom of his shoe.;stuck
translation;Irregular Verbs;STING;A bee _______ my arm.;stung
translation;Irregular Verbs;STRIKE;He _______ the ball well.;struck
translation;Irregular Verbs;SWEEP;The man _______ the path.;swept
translation;Irregular Verbs;SWIM;The boy _______ to the edge of the pool.;swam
translation;Irregular Verbs;SWING;He _______ on a vine.;swung
translation;Irregular Verbs;TAKE;She _______ her medication.;took
translation;Irregular Verbs;TEACH;He _______ geography at a local high school.;taught
translation;Irregular Verbs;TEAR;She _______ the paper in half.;tore
translation;Irregular Verbs;TELL;I _______ you to be careful.;told
translation;Irregular Verbs;THINK;He _______ about a possible solution to the problem.;thought
translation;Irregular Verbs;THROW;She _______ the can into the bin.;threw
translation;Irregular Verbs;UNDERSTAND;He _______ the lesson.;understood
translation;Irregular Verbs;WAKE;He _______ up at 6 o’clock.;woke
translation;Irregular Verbs;WEAR;She _______ a blue hat and a blue dress.;wore
translation;Irregular Verbs;WIN;He _______ three medals.;won
translation;Irregular Verbs;WRITE;The teacher _______ a message on the board.;wrote
