question;hint;option1;option2;option3;answer
What do we call a person who works for a company?;"";employee;customer;passenger;employee
What do we call a person who owns and manages a business?;"";employer;student;employee;employer
What do we call a person who works for themselves?;"";self-employed;unemployed;retired;self-employed
What do we call a person who has no job?;"";unemployed;employed;retired;unemployed
What do we call a person who has stopped working because of age?;"";retired;unemployed;trainee;retired
What do we call the work someone does to earn money?;"";job;holiday;hobby;job
What do we call a profession that someone has trained for?;"";career;break;hobby;career
What do we call a regular activity that someone does to earn money?;"";occupation;vacation;lesson;occupation
What do we call a place where people work?;"";workplace;classroom;library;workplace
What do we call the people who work together in a company?;"";staff;customers;students;staff
What do we call a group of people who work together?;"";team;class;audience;team
What do we call a person who manages a team?;"";manager;student;customer;manager
What do we call a person who is responsible for a department?;"";supervisor;passenger;teacher;supervisor
What do we call a person who works under a manager?;"";employee;employer;director;employee
What do we call the person who is in charge of a company?;"";director;intern;assistant;director
What do we call a person who helps someone with their work?;"";assistant;manager;customer;assistant
What do we call a person who is learning a job?;"";trainee;manager;director;trainee
What do we call a person who works temporarily to gain experience?;"";intern;employer;supervisor;intern
What do we call a person who gives professional advice?;"";consultant;student;assistant;consultant
What do we call a person who works independently for different clients?;"";freelancer;manager;employee;freelancer
What do we call money paid regularly for work?;"";salary;rent;tax;salary
What do we call money paid for each hour of work?;"";wage;salary;bonus;wage
What do we call extra money given to an employee for good performance?;"";bonus;salary;rent;bonus
What do we call money earned from a job or business?;"";income;expense;debt;income
What do we call money that a company earns?;"";profit;salary;rent;profit
What do we call money that a company loses or spends?;"";loss;profit;bonus;loss
What do we call money paid to the government from income?;"";tax;salary;bonus;tax
What do we call the amount of work someone is expected to do?;"";workload;salary;vacation;workload
What do we call the number of hours a person works?;"";working hours;salary;promotion;working hours
What do we call time away from work for rest?;"";vacation;deadline;shift;vacation
What do we call a period when an employee is allowed to be away from work?;"";leave;salary;promotion;leave
What do we call time away from work because someone is sick?;"";sick leave;vacation;training;sick leave
What do we call a break from work for having a baby?;"";maternity leave;annual leave;sick leave;maternity leave
What do we call a planned period away from work each year?;"";annual leave;training;sick leave;annual leave
What do we call the time when someone starts and finishes work?;"";shift;vacation;career;shift
What do we call working during the night?;"";night shift;day off;part-time work;night shift
What do we call working fewer hours than a full-time employee?;"";part-time work;full-time work;overtime;part-time work
What do we call working the normal number of hours in a job?;"";full-time work;part-time work;temporary work;full-time work
What do we call extra hours worked beyond normal working hours?;"";overtime;break;leave;overtime
What do we call a day when someone does not have to work?;"";day off;deadline;shift;day off
What do we call the time when employees stop working temporarily?;"";break;salary;promotion;break
What do we call a meeting where an employer asks questions before hiring someone?;"";job interview;lesson;exam;job interview
What do we call the document that describes someone's education and work experience?;"";resume;contract;invoice;resume
What do we call a formal agreement between an employer and an employee?;"";contract;resume;certificate;contract
What do we call the process of finding and choosing new employees?;"";recruitment;retirement;promotion;recruitment
What do we call a person who applies for a job?;"";candidate;manager;customer;candidate
What do we call a request for a job?;"";application;promotion;contract;application
What do we call a list of available jobs?;"";job vacancy;salary;workload;job vacancy
What do we call a job that is available for someone to fill?;"";vacancy;promotion;career;vacancy
What do we call moving to a higher position at work?;"";promotion;retirement;resignation;promotion
What do we call leaving a job voluntarily?;"";resignation;promotion;recruitment;resignation
What do we call the end of someone's employment by the company?;"";dismissal;promotion;training;dismissal
What do we call losing a job because the company no longer needs the position?;"";redundancy;promotion;interview;redundancy
What do we call training received while doing a job?;"";on-the-job training;vacation;retirement;on-the-job training
What do we call learning new skills for a job?;"";training;salary;resignation;training
What do we call the ability to do something well?;"";skill;salary;contract;skill
What do we call knowledge and experience gained from working?;"";experience;vacation;salary;experience
What do we call a qualification showing that someone completed a course?;"";certificate;contract;resume;certificate
What do we call an official document proving someone's education or qualification?;"";diploma;salary;application;diploma
What do we call a university qualification usually earned after several years of study?;"";degree;lesson;exam;degree
What do we call a qualification earned after a bachelor's degree?;"";master's degree;high school diploma;certificate;master's degree
What do we call the highest academic degree usually awarded by a university?;"";doctorate;diploma;certificate;doctorate
What do we call the subject someone studies at university?;"";major;salary;shift;major
What do we call a secondary subject studied at university?;"";minor;career;degree;minor
What do we call the main area of study at university?;"";major;lesson;classroom;major
