question;hint;option1;option2;option3;answer
What is the opposite of "ancient"?;"";modern;old;historic;modern
What is the opposite of "arrive"?;"";leave;reach;enter;leave
What is the opposite of "accept"?;"";reject;receive;allow;reject
What is the opposite of "active"?;"";inactive;busy;energetic;inactive
What is the opposite of "add"?;"";subtract;increase;include;subtract
What is the opposite of "advance"?;"";retreat;progress;improve;retreat
What is the opposite of "alive"?;"";dead;awake;living;dead
What is the opposite of "allow"?;"";forbid;permit;accept;forbid
What is the opposite of "always"?;"";never;usually;often;never
What is the opposite of "appear"?;"";disappear;arrive;remain;disappear
What is the opposite of "approve"?;"";reject;accept;support;reject
What is the opposite of "artificial"?;"";natural;modern;plastic;natural
What is the opposite of "asleep"?;"";awake;tired;quiet;awake
What is the opposite of "attack"?;"";defend;fight;approach;defend
What is the opposite of "attractive"?;"";ugly;beautiful;popular;ugly
What is the opposite of "awake"?;"";asleep;active;alert;asleep
What is the opposite of "bad"?;"";good;wrong;poor;good
What is the opposite of "beautiful"?;"";ugly;pretty;pleasant;ugly
What is the opposite of "begin"?;"";end;start;continue;end
What is the opposite of "best"?;"";worst;better;good;worst
What is the opposite of "big"?;"";small;wide;large;small
What is the opposite of "bitter"?;"";sweet;sour;spicy;sweet
What is the opposite of "black"?;"";white;dark;gray;white
What is the opposite of "blame"?;"";praise;accuse;criticize;praise
What is the opposite of "bold"?;"";timid;brave;strong;timid
What is the opposite of "boring"?;"";interesting;dull;quiet;interesting
What is the opposite of "borrow"?;"";lend;take;keep;lend
What is the opposite of "bottom"?;"";top;base;floor;top
What is the opposite of "bright"?;"";dark;clear;shiny;dark
What is the opposite of "broad"?;"";narrow;wide;large;narrow
What is the opposite of "build"?;"";destroy;create;repair;destroy
What is the opposite of "buy"?;"";sell;pay;keep;sell
What is the opposite of "calm"?;"";agitated;quiet;peaceful;agitated
What is the opposite of "careful"?;"";careless;attentive;accurate;careless
What is the opposite of "cheap"?;"";expensive;affordable;small;expensive
What is the opposite of "clean"?;"";dirty;fresh;tidy;dirty
What is the opposite of "clever"?;"";stupid;smart;wise;stupid
What is the opposite of "close"?;"";open;near;shut;open
What is the opposite of "cold"?;"";hot;cool;freezing;hot
What is the opposite of "comfortable"?;"";uncomfortable;relaxed;pleasant;uncomfortable
What is the opposite of "common"?;"";rare;usual;normal;rare
What is the opposite of "complex"?;"";simple;difficult;advanced;simple
What is the opposite of "connect"?;"";disconnect;join;attach;disconnect
What is the opposite of "constant"?;"";changing;stable;fixed;changing
What is the opposite of "constructive"?;"";destructive;helpful;creative;destructive
What is the opposite of "continue"?;"";stop;proceed;remain;stop
What is the opposite of "correct"?;"";incorrect;accurate;right;incorrect
What is the opposite of "create"?;"";destroy;build;develop;destroy
What is the opposite of "cruel"?;"";kind;harsh;violent;kind
What is the opposite of "dangerous"?;"";safe;risky;harmful;safe
What is the opposite of "dark"?;"";light;black;dim;light
What is the opposite of "deep"?;"";shallow;low;bottom;shallow
What is the opposite of "defeat"?;"";victory;failure;loss;victory
What is the opposite of "defend"?;"";attack;protect;guard;attack
What is the opposite of "difficult"?;"";easy;hard;challenging;easy
What is the opposite of "direct"?;"";indirect;straight;clear;indirect
What is the opposite of "discourage"?;"";encourage;prevent;stop;encourage
What is the opposite of "early"?;"";late;soon;quick;late
What is the opposite of "easy"?;"";difficult;simple;clear;difficult
What is the opposite of "empty"?;"";full;vacant;open;full
What is the opposite of "encourage"?;"";discourage;support;motivate;discourage
What is the opposite of "enter"?;"";exit;arrive;approach;exit
What is the opposite of "equal"?;"";unequal;similar;fair;unequal
What is the opposite of "expand"?;"";contract;grow;increase;contract
What is the opposite of "expensive"?;"";cheap;valuable;costly;cheap
What is the opposite of "export"?;"";import;sell;send;import
What is the opposite of "external"?;"";internal;outside;foreign;internal
What is the opposite of "fail"?;"";succeed;lose;fall;succeed
What is the opposite of "false"?;"";true;wrong;fake;true
What is the opposite of "famous"?;"";unknown;popular;important;unknown
What is the opposite of "fast"?;"";slow;quick;rapid;slow
What is the opposite of "fat"?;"";thin;large;heavy;thin
What is the opposite of "few"?;"";many;some;several;many
What is the opposite of "first"?;"";last;next;early;last
What is the opposite of "flexible"?;"";rigid;adaptable;soft;rigid
What is the opposite of "forbid"?;"";allow;prevent;refuse;allow
What is the opposite of "forget"?;"";remember;lose;ignore;remember
What is the opposite of "formal"?;"";informal;official;serious;informal
What is the opposite of "frequent"?;"";rare;common;regular;rare
What is the opposite of "fresh"?;"";stale;new;clean;stale
What is the opposite of "friendly"?;"";hostile;kind;helpful;hostile
What is the opposite of "full"?;"";empty;complete;whole;empty
What is the opposite of "funny"?;"";serious;amusing;strange;serious
What is the opposite of "generous"?;"";selfish;kind;helpful;selfish
What is the opposite of "gentle"?;"";rough;soft;kind;rough
What is the opposite of "genuine"?;"";fake;real;honest;fake
What is the opposite of "give"?;"";take;offer;provide;take
What is the opposite of "good"?;"";bad;great;kind;bad
What is the opposite of "guilty"?;"";innocent;responsible;wrong;innocent
What is the opposite of "happy"?;"";sad;glad;cheerful;sad
What is the opposite of "hard"?;"";soft;difficult;solid;soft
What is the opposite of "healthy"?;"";sick;fit;strong;sick
What is the opposite of "heavy"?;"";light;large;strong;light
What is the opposite of "helpful"?;"";useless;useful;kind;useless
What is the opposite of "honest"?;"";dishonest;loyal;truthful;dishonest
What is the opposite of "hopeful"?;"";hopeless;positive;optimistic;hopeless
What is the opposite of "hot"?;"";cold;warm;boiling;cold
What is the opposite of "humble"?;"";arrogant;modest;quiet;arrogant
What is the opposite of "important"?;"";unimportant;necessary;valuable;unimportant
What is the opposite of "include"?;"";exclude;contain;add;exclude
What is the opposite of "increase"?;"";decrease;grow;expand;decrease
What is the opposite of "inferior"?;"";superior;lower;weaker;superior
What is the opposite of "inside"?;"";outside;within;internal;outside
What is the opposite of "intelligent"?;"";stupid;clever;bright;stupid
What is the opposite of "interesting"?;"";boring;exciting;important;boring
What is the opposite of "internal"?;"";external;inside;domestic;external
What is the opposite of "kind"?;"";cruel;gentle;helpful;cruel
What is the opposite of "large"?;"";small;huge;wide;small
What is the opposite of "last"?;"";first;final;previous;first
What is the opposite of "late"?;"";early;slow;delayed;early
What is the opposite of "legal"?;"";illegal;official;valid;illegal
What is the opposite of "lend"?;"";borrow;give;offer;borrow
What is the opposite of "light"?;"";heavy;bright;white;heavy
