question;hint;option1;option2;option3;answer
What nationality is a person from Brazil?;"";Brazilian;Mexican;Spanish;Brazilian
What nationality is a person from Argentina?;"";Argentinian;Italian;French;Argentinian
What nationality is a person from Chile?;"";Chilean;Chinese;Greek;Chilean
What nationality is a person from Peru?;"";Peruvian;Portuguese;Turkish;Peruvian
What nationality is a person from Colombia?;"";Colombian;Canadian;German;Colombian
What nationality is a person from Venezuela?;"";Venezuelan;Vietnamese;Japanese;Venezuelan
What nationality is a person from Uruguay?;"";Uruguayan;Russian;Indian;Uruguayan
What nationality is a person from Paraguay?;"";Paraguayan;Polish;Danish;Paraguayan
What nationality is a person from Bolivia?;"";Bolivian;Belgian;British;Bolivian
What nationality is a person from Ecuador?;"";Ecuadorian;Egyptian;Irish;Ecuadorian
What nationality is a person from Mexico?;"";Mexican;Moroccan;American;Mexican
What nationality is a person from the United States?;"";American;Australian;Austrian;American
What nationality is a person from Canada?;"";Canadian;Chinese;Cuban;Canadian
What nationality is a person from Costa Rica?;"";Costa Rican;Croatian;Korean;Costa Rican
What nationality is a person from Panama?;"";Panamanian;Portuguese;Romanian;Panamanian
What nationality is a person from Cuba?;"";Cuban;Czech;Colombian;Cuban
What nationality is a person from Jamaica?;"";Jamaican;Japanese;Jordanian;Jamaican
What nationality is a person from Haiti?;"";Haitian;Hungarian;Honduran;Haitian
What nationality is a person from the Dominican Republic?;"";Dominican;Danish;Dutch;Dominican
What nationality is a person from Guatemala?;"";Guatemalan;German;Greek;Guatemalan
What nationality is a person from Honduras?;"";Honduran;Hungarian;Haitian;Honduran
What nationality is a person from El Salvador?;"";Salvadoran;Slovak;Slovenian;Salvadoran
What nationality is a person from Nicaragua?;"";Nicaraguan;Nigerian;Norwegian;Nicaraguan
What nationality is a person from the Bahamas?;"";Bahamian;Bahraini;Belgian;Bahamian
What nationality is a person from the United Kingdom?;"";British;English;Irish;British
What nationality is a person from England?;"";English;British;Scottish;English
What nationality is a person from Scotland?;"";Scottish;Swedish;Swiss;Scottish
What nationality is a person from Wales?;"";Welsh;Welshman;Polish;Welsh
What nationality is a person from Ireland?;"";Irish;Icelandic;Indian;Irish
What nationality is a person from France?;"";French;Finnish;Flemish;French
What nationality is a person from Spain?;"";Spanish;Swedish;Swiss;Spanish
What nationality is a person from Portugal?;"";Portuguese;Polish;Peruvian;Portuguese
What nationality is a person from Italy?;"";Italian;Indian;Irish;Italian
What nationality is a person from Germany?;"";German;Greek;Georgian;German
What nationality is a person from Austria?;"";Austrian;Australian;American;Austrian
What nationality is a person from Switzerland?;"";Swiss;Swedish;Spanish;Swiss
What nationality is a person from Belgium?;"";Belgian;Bulgarian;Brazilian;Belgian
What nationality is a person from the Netherlands?;"";Dutch;Danish;German;Dutch
What nationality is a person from Denmark?;"";Danish;Dutch;Finnish;Danish
What nationality is a person from Sweden?;"";Swedish;Swiss;Scottish;Swedish
What nationality is a person from Norway?;"";Norwegian;Nigerian;Nicaraguan;Norwegian
What nationality is a person from Finland?;"";Finnish;French;Filipino;Finnish
What nationality is a person from Iceland?;"";Icelandic;Irish;Indian;Icelandic
What nationality is a person from Poland?;"";Polish;Portuguese;Peruvian;Polish
What nationality is a person from Greece?;"";Greek;Georgian;German;Greek
What nationality is a person from Hungary?;"";Hungarian;Honduran;Haitian;Hungarian
What nationality is a person from Romania?;"";Romanian;Russian;Rwandan;Romanian
What nationality is a person from Bulgaria?;"";Bulgarian;Belgian;Brazilian;Bulgarian
What nationality is a person from Croatia?;"";Croatian;Czech;Chinese;Croatian
What nationality is a person from Serbia?;"";Serbian;Slovak;Slovenian;Serbian
What nationality is a person from Slovenia?;"";Slovenian;Slovak;Spanish;Slovenian
What nationality is a person from Slovakia?;"";Slovak;Slovenian;Serbian;Slovak
What nationality is a person from the Czech Republic?;"";Czech;Croatian;Chinese;Czech
What nationality is a person from Ukraine?;"";Ukrainian;Uruguayan;Uzbek;Ukrainian
What nationality is a person from Russia?;"";Russian;Romanian;Rwandan;Russian
What nationality is a person from Belarus?;"";Belarusian;Belgian;Bulgarian;Belarusian
What nationality is a person from Georgia?;"";Georgian;German;Greek;Georgian
What nationality is a person from Armenia?;"";Armenian;American;Argentinian;Armenian
What nationality is a person from Azerbaijan?;"";Azerbaijani;Albanian;Australian;Azerbaijani
What nationality is a person from Albania?;"";Albanian;Armenian;Austrian;Albanian
What nationality is a person from Turkey?;"";Turkish;Tunisian;Turkmen;Turkish
