mode;topic;rule1;rule2;exampleA;exampleI;exampleN;type;wordBank;question;answer
translation;Article;Choose the correct Article;Complete the sentence correctly;A: Used before consonants;AN: Used before vowels;THE: Use to specify something you know;ARTICLE;A | AN | THE;That`s ________ way I can always tell.;the
translation;Article;Choose the correct Article;Complete the sentence correctly;A: Used before consonants;AN: Used before vowels;THE: Use to specify something you know;ARTICLE;A | AN | THE;They had been talking for ________ quarter of ________ hour.;a an
translation;Article;Choose the correct Article;Complete the sentence correctly;A: Used before consonants;AN: Used before vowels;THE: Use to specify something you know;ARTICLE;A | AN | THE;And in ________ moment he was off.;a
translation;Article;Choose the correct Article;Complete the sentence correctly;A: Used before consonants;AN: Used before vowels;THE: Use to specify something you know;ARTICLE;A | AN | THE;________ others followed in ________ few minutes.;the a
translation;Article;Choose the correct Article;Complete the sentence correctly;A: Used before consonants;AN: Used before vowels;THE: Use to specify something you know;ARTICLE;A | AN | THE;That`s ________ way they say it.;the
translation;Article;Choose the correct Article;Complete the sentence correctly;A: Used before consonants;AN: Used before vowels;THE: Use to specify something you know;ARTICLE;A | AN | THE;But ________ boys had no such thought.;the
translation;Article;Choose the correct Article;Complete the sentence correctly;A: Used before consonants;AN: Used before vowels;THE: Use to specify something you know;ARTICLE;A | AN | THE;All confidence and sympathy were at _____ end.;an
translation;Article;Choose the correct Article;Complete the sentence correctly;A: Used before consonants;AN: Used before vowels;THE: Use to specify something you know;ARTICLE;A | AN | THE;He had done well with ________ horses.;the
translation;Article;Choose the correct Article;Complete the sentence correctly;A: Used before consonants;AN: Used before vowels;THE: Use to specify something you know;ARTICLE;A | AN | THE;He stood thinking for ________ few minutes.;a
translation;Article;Choose the correct Article;Complete the sentence correctly;A: Used before consonants;AN: Used before vowels;THE: Use to specify something you know;ARTICLE;A | AN | THE;For ________ long time she did not speak.;a
translation;Article;Choose the correct Article;Complete the sentence correctly;A: Used before consonants;AN: Used before vowels;THE: Use to specify something you know;ARTICLE;A | AN | THE;It was ________ first time he had seen him.;the
translation;Article;Choose the correct Article;Complete the sentence correctly;A: Used before consonants;AN: Used before vowels;THE: Use to specify something you know;ARTICLE;A | AN | THE;He looked about from one to ________ other.;the
translation;Article;Choose the correct Article;Complete the sentence correctly;A: Used before consonants;AN: Used before vowels;THE: Use to specify something you know;ARTICLE;A | AN | THE;In ________ instant he was out of bed.;an
translation;Article;Choose the correct Article;Complete the sentence correctly;A: Used before consonants;AN: Used before vowels;THE: Use to specify something you know;ARTICLE;A | AN | THE;It was ________ long time before he spoke again.;a
translation;Article;Choose the correct Article;Complete the sentence correctly;A: Used before consonants;AN: Used before vowels;THE: Use to specify something you know;ARTICLE;A | AN | THE;But that`s ________ way he was.;the
