mode;topic;wordBank;question;answer
translation;Possessive Adjectives and Pronouns;my, your, his, her, their, mine, yours, his, hers, theirs;This is _______ car.;my
translation;Possessive Adjectives and Pronouns;my, your, his, her, their, mine, yours, his, hers, theirs;;Is this _______ notebook?;your              
translation;Possessive Adjectives and Pronouns;my, your, his, her, their, mine, yours, his, hers, theirs;;That is _______ bicycle.;his                 
translation;Possessive Adjectives and Pronouns;my, your, his, her, their, mine, yours, his, hers, theirs;;She forgot _______ keys at home.;her         
translation;Possessive Adjectives and Pronouns;my, your, his, her, their, mine, yours, his, hers, theirs;;The children are playing with _______ toys;their
translation;Possessive Adjectives and Pronouns;my, your, his, her, their, mine, yours, his, hers, theirs;;I can't find _______ phone.;my                
translation;Possessive Adjectives and Pronouns;my, your, his, her, their, mine, yours, his, hers, theirs;;What is _______ name?;your                  
translation;Possessive Adjectives and Pronouns;my, your, his, her, their, mine, yours, his, hers, theirs;;John is washing _______ car.;his             
translation;Possessive Adjectives and Pronouns;my, your, his, her, their, mine, yours, his, hers, theirs;;Mary is reading _______ book.;her            
translation;Possessive Adjectives and Pronouns;my, your, his, her, their, mine, yours, his, hers, theirs;;The students finished _______ homework.;ther
translation;Possessive Adjectives and Pronouns;my, your, his, her, their, mine, yours, his, hers, theirs;;I love _______ new computer.;my               
translation;Possessive Adjectives and Pronouns;my, your, his, her, their, mine, yours, his, hers, theirs;;Where is _______ jacket?;your               
translation;Possessive Adjectives and Pronouns;my, your, his, her, their, mine, yours, his, hers, theirs;;The dog is chasing _______ tail.;his         
translation;Possessive Adjectives and Pronouns;my, your, his, her, their, mine, yours, his, hers, theirs;;Anna invited us to _______ party.;her        
translation;Possessive Adjectives and Pronouns;my, your, his, her, their, mine, yours, his, hers, theirs;;The employees received _______ salaries.;thir
translation;Possessive Adjectives and Pronouns;my, your, his, her, their, mine, yours, his, hers, theirs;;I left _______ backpack in the car.;my        
translation;Possessive Adjectives and Pronouns;my, your, his, her, their, mine, yours, his, hers, theirs;;Can I borrow _______ pen?;your              
translation;Possessive Adjectives and Pronouns;my, your, his, her, their, mine, yours, his, hers, theirs;;Peter lost _______ wallet.;his               
translation;Possessive Adjectives and Pronouns;my, your, his, her, their, mine, yours, his, hers, theirs;;She loves _______ family very much.;her      
translation;Possessive Adjectives and Pronouns;my, your, his, her, their, mine, yours, his, hers, theirs;;The players celebrated _______ victory.;their
translation;Possessive Adjectives and Pronouns;my, your, his, her, their, mine, yours, his, hers, theirs;;_______ house is near the beach.;my           
translation;Possessive Adjectives and Pronouns;my, your, his, her, their, mine, yours, his, hers, theirs;;I like _______ idea.;your                   
translation;Possessive Adjectives and Pronouns;my, your, his, her, their, mine, yours, his, hers, theirs;;Everyone admired _______ presentation.;his   
translation;Possessive Adjectives and Pronouns;my, your, his, her, their, mine, yours, his, hers, theirs;;The teacher praised _______ work.;her        
translation;Possessive Adjectives and Pronouns;my, your, his, her, their, mine, yours, his, hers, theirs;;The birds built _______ nests.;their       
translation;Possessive Adjectives and Pronouns;my, your, his, her, their, mine, yours, his, hers, theirs;;This book is _______.;mine                  
translation;Possessive Adjectives and Pronouns;my, your, his, her, their, mine, yours, his, hers, theirs;;The blue backpack is _______.;yours        
translation;Possessive Adjectives and Pronouns;my, your, his, her, their, mine, yours, his, hers, theirs;;The red bicycle is _______.;his              
translation;Possessive Adjectives and Pronouns;my, your, his, her, their, mine, yours, his, hers, theirs;;That laptop is _______.;hers                
translation;Possessive Adjectives and Pronouns;my, your, his, her, their, mine, yours, his, hers, theirs;;The large house is _______.;theirs        
translation;Possessive Adjectives and Pronouns;my, your, his, her, their, mine, yours, his, hers, theirs;;The decision was _______.;mine              
translation;Possessive Adjectives and Pronouns;my, your, his, her, their, mine, yours, his, hers, theirs;;The responsibility is _______.;yours       
translation;Possessive Adjectives and Pronouns;my, your, his, her, their, mine, yours, his, hers, theirs;;The final choice was _______.;his            
translation;Possessive Adjectives and Pronouns;my, your, his, her, their, mine, yours, his, hers, theirs;;The seat by the window is _______.;hers     
translation;Possessive Adjectives and Pronouns;my, your, his, her, their, mine, yours, his, hers, theirs;;The championship trophy is _______.;theirs
translation;Possessive Adjectives and Pronouns;my, your, his, her, their, mine, yours, his, hers, theirs;;That smartphone is not yours, it is _______.;mine
translation;Possessive Adjectives and Pronouns;my, your, his, her, their, mine, yours, his, hers, theirs;;This coffee is _______.;yours              
translation;Possessive Adjectives and Pronouns;my, your, his, her, their, mine, yours, his, hers, theirs;;The black helmet is _______.;his             
translation;Possessive Adjectives and Pronouns;my, your, his, her, their, mine, yours, his, hers, theirs;;The white handbag is _______.;hers          
translation;Possessive Adjectives and Pronouns;my, your, his, her, their, mine, yours, his, hers, theirs;;Those tickets are _______.;theirs         
translation;Possessive Adjectives and Pronouns;my, your, his, her, their, mine, yours, his, hers, theirs;;The green notebook belongs to me. It is ______.;mine
translation;Possessive Adjectives and Pronouns;my, your, his, her, their, mine, yours, his, hers, theirs;;The umbrella belongs to you. It is _______.;yours
translation;Possessive Adjectives and Pronouns;my, your, his, her, their, mine, yours, his, hers, theirs;;The apartment belongs to Mark. It is _______.;his
