question;hint;option1;option2;option3;answer
Anybody who wants to participate ______ register.;Ability;can;will;may;can
I ______ have bought that car if I had more money.;Past ability;should;could;would;could
She ______ arrive in the afternoon.;Possibility;may;might;either;either
That ______ have been a lot of fun.;Logical conclusion;must;should;will;must
One day it ______ be possible to connect with extra terrestrial life.;Future prediction;can;will;would;will
You ______ speak three languages fluently.;Ability;can;must;should;can
He ______ finish the project before Friday.;Possibility;may;will;shall;may
We ______ visit our grandparents this weekend.;Future intention;will;might;could;will
Students ______ wear uniforms at this school.;Obligation;must;can;would;must
I ______ help you with your homework tomorrow.;Willingness;will;should;might;will
They ______ be at home now because the lights are off.;Logical conclusion;might;must;can;must
You ______ drive carefully during heavy rain.;Advice;should;shall;would;should
She ______ play the piano when she was five.;Past ability;could;must;will;could
______ I open the window?;Permission;Shall;Must;Can;Shall
We ______ take a taxi if the bus is late.;Possibility;might;shall;must;might
You ______ eat so much candy.;Advice;shouldn't;must;can;shouldn't
He ______ come to the party tonight.;Possibility;may;shall;will;may
I ______ swim very well when I was younger.;Past ability;could;would;must;could
Employees ______ arrive on time every day.;Obligation;must;may;could;must
______ you mind helping me?;Polite request;Would;Must;Can;Would
The weather ______ improve later today.;Possibility;might;shall;must;might
She ______ call you after work.;Future intention;will;could;may;will
You ______ bring your passport to the airport.;Necessity;must;should;would;must
Children ______ watch too much television.;Advice;shouldn't;couldn't;mustn't;shouldn't
He ______ solve difficult math problems easily.;Ability;can;will;must;can
I ______ go out tonight because I am tired.;Possibility;might not;shall not;must not;might not
They ______ have forgotten the meeting.;Possibility;may;will;should;may
You ______ apologize for your mistake.;Advice;should;can;would;should
She ______ run very fast in high school.;Past ability;could;must;shall;could
We ______ leave now or we will miss the train.;Necessity;must;might;can;must
______ we dance?;Suggestion;Shall;Would;Must;Shall
He ______ become a famous actor one day.;Possibility;might;must;couldn't;might
I ______ always help my friends when they need me.;Habitual willingness;will;shall;must;will
Drivers ______ stop at a red light.;Obligation;must;could;may;must
You ______ try this new restaurant.;Suggestion;should;will;must;should
They ______ be waiting for us at the station.;Possibility;may;shall;must;may
I ______ hear strange noises last night.;Past ability;could;would;shall;could
She ______ attend the meeting tomorrow.;Future intention;will;can;may;will
Visitors ______ smoke inside the building.;Prohibition;mustn't;shouldn't;can't;mustn't
______ you like some coffee?;Polite offer;Would;Shall;Can;Would
We ______ arrive early if traffic is light.;Possibility;might;shall;must;might
You ______ study harder for the exam.;Advice;should;will;can;should
He ______ play soccer very well.;Ability;can;must;shall;can
I ______ have left my keys at work.;Possibility;may;will;shall;may
Students ______ submit their assignments on time.;Obligation;must;could;might;must
She ______ help us later if she is free.;Possibility;might;should;must;might
You ______ not interrupt people while they are speaking.;Advice;should;would;can;should
They ______ travel to Europe next year.;Future intention;will;shall;must;will
He ______ lift that heavy box alone.;Ability;can;may;shall;can
I ______ go to the beach tomorrow if it is sunny.;Possibility;might;must;will;might
You ______ wear a helmet while riding a motorcycle.;Necessity;must;should;could;must
______ I ask you a question?;Permission;May;Must;Should;May
She ______ understand the lesson after more practice.;Possibility;might;shall;must;might
We ______ clean the house before the guests arrive.;Obligation;must;can;would;must
He ______ speak French when he lived in Paris.;Past ability;could;will;shall;could
You ______ drink more water during the day.;Advice;should;must;would;should
They ______ already know the answer.;Logical conclusion;must;might;can;must
I ______ lend you my book tomorrow.;Willingness;will;could;shall;will
Children ______ cross the street without looking.;Advice;shouldn't;mustn't;can't;shouldn't
She ______ win the competition if she practices more.;Possibility;might;must;shall;might
You ______ finish your homework before watching TV.;Necessity;must;would;could;must
______ we go for a walk after dinner?;Suggestion;Shall;Will;Can;Shall
He ______ remember your name after all these years.;Possibility;may;must;shall;may
I ______ play basketball very well in college.;Past ability;could;will;must;could
Passengers ______ fasten their seat belts.;Obligation;must;could;would;must
You ______ call your parents more often.;Advice;should;shall;must;should
They ______ move to another city next year.;Future intention;will;may;could;will
She ______ be feeling sick because she looks pale.;Logical conclusion;must;can;shall;must
We ______ take umbrellas because it might rain.;Advice;should;must;would;should
He ______ solve the puzzle yesterday.;Past ability;could;will;may;could
I ______ attend the conference if I get permission.;Possibility;might;shall;must;might
Employees ______ follow safety regulations.;Obligation;must;could;may;must
______ you help me carry these bags?;Polite request;Could;Must;Shall;Could
She ______ become upset if you criticize her.;Possibility;might;must;shall;might
You ______ respect other people's opinions.;Advice;should;would;can;should
They ______ call us when they arrive.;Future intention;will;must;shall;will
I ______ understand him because he spoke too fast.;Past ability;couldn't;mustn't;shouldn't;couldn't
Visitors ______ leave their bags at the entrance.;Obligation;must;can;would;must
He ______ know the truth by now.;Logical conclusion;must;might;could;must
You ______ exercise regularly to stay healthy.;Advice;should;must;shall;should
We ______ stay home tonight because of the storm.;Possibility;might;shall;must;might
She ______ dance beautifully when she was young.;Past ability;could;would;must;could
Drivers ______ use mobile phones while driving.;Prohibition;mustn't;shouldn't;can't;mustn't
______ I borrow your pen for a moment?;Permission;May;Should;Must;May
He ______ visit us during the holidays.;Possibility;may;must;shall;may
You ______ save some money for emergencies.;Advice;should;will;could;should
I ______ repair the computer without help.;Ability;can;must;shall;can
They ______ not agree with your decision.;Possibility;might;must;shall;might
Students ______ be quiet during the exam.;Obligation;must;may;would;must
She ______ answer the phone because she is driving.;Possibility;may not;must not;shall not;may not
We ______ leave earlier tomorrow.;Suggestion;should;will;must;should
He ______ ride a bicycle before he started school.;Past ability;could;would;shall;could
You ______ tell lies to your friends.;Advice;shouldn't;mustn't;can't;shouldn't
I ______ join you for dinner if I finish work early.;Possibility;might;must;shall;might
Employees ______ wear identification badges.;Requirement;must;could;would;must
______ you pass me the salt, please?;Polite request;Would;Must;Can;Would
She ______ become a doctor in the future.;Possibility;might;must;shall;might
You ______ keep your promises.;Advice;should;will;must;should
