mode;topic;wordBank;question;answer
translation;Past Simple;Afirmative;Ela caminhou para a escola ontem.;She walked to school yesterday
translation;Past Simple;Interogative;Você gostou do filme?;Did you like the movie?
translation;Past Simple;Negative;Ele não tomou café da manhã.;He didnt eat breakfast
translation;Past Simple;Afirmative;Eles jogaram futebol no fim de semana passado.;They played soccer last weekend
translation;Past Simple;Interogative;Ela falou com você?;Did she speak to you?
translation;Past Simple;Negative;Não assistimos ao jogo ontem à noite.;We didnt watch the game last night
translation;Past Simple;Afirmative;O sol nasceu cedo esta manhã.;The sun rose early this morning
translation;Past Simple;Interogative;Os pássaros voaram para o sul no inverno passado?;Did birds fly south last winter?
translation;Past Simple;Negative;Ela não dirigiu para o trabalho.;She didnt drive to work
translation;Past Simple;Afirmative;Ele leu um livro antes de dormir.;He read a book before bed
translation;Past Simple;Interogative;Você trabalhou no domingo?;Did you work on Sunday?
translation;Past Simple;Negative;Eles não moraram em Paris no ano passado.;They didnt live in Paris last year
translation;Past Simple;Afirmative;A loja abriu às 9h.;The store opened at 9 AM
translation;Past Simple;Interogative;Ele escreveu uma carta?;Did he write a letter?
translation;Past Simple;Negative;Eu não gostei da comida.;I didnt like the food
translation;Past Simple;Afirmative;Ela cantou lindamente no show.;She sang beautifully at the concert
translation;Past Simple;Interogative;Você visitou sua família no mês passado?;Did you visit your family last month?
translation;Past Simple;Negative;Ele não foi à academia ontem.;He didnt go to the gym yesterday
translation;Past Simple;Afirmative;Estudamos inglês juntos.;We studied English together
translation;Past Simple;Interogative;O trem saiu a tempo?;Did the train leave on time?
