mode;topic;wordBank;question;answer
translation;Present Simple;Afirmative;Ela caminha para a escola todos os dias.;She walks to school every day
translation;Present Simple;Interrogative;Você gosta de café?;Do you like coffee?
translation;Present Simple;Negative;Ele não come carne.;He doesnt eat meat
translation;Present Simple;Afirmative;Eles jogam futebol nos fins de semana.;They play soccer on weekends
translation;Present Simple;Interrogative;Ela fala inglês?;Does she speak English?
translation;Present Simple;Negative;Não assistimos TV pela manhã.;We dont watch TV in the morning
translation;Present Simple;Afirmative;O sol nasce no leste.;The sun rises in the east
translation;Present Simple;Interrogative;Os pássaros voam para o sul no inverno?;Do birds fly south in winter?
translation;Present Simple;Negative;Ela não dirige para o trabalho.;She doesnt drive to work
translation;Present Simple;Afirmative;Ele lê um livro antes de dormir.;He reads a book before bed
translation;Present Simple;Interrogative;Você trabalha aos domingos?;Do you work on Sundays?
translation;Present Simple;Negative;Eles não moram em Nova York.;They dont live in New York
translation;Present Simple;Afirmative;A loja abre às 9h.;The store opens at 9 AM
translation;Present Simple;Interrogative;Ele escreve cartas com frequência?;Does he write letters often?
translation;Present Simple;Negative;Eu não gosto de comida picante.;I dont like spicy food
translation;Present Simple;Afirmative;Ela canta lindamente.;She sings beautifully
translation;Present Simple;Interrogative;Você visita sua família com frequência?;Do you visit your family often?
translation;Present Simple;Negative;Ele não vai à academia.;He doesnt go to the gym
translation;Present Simple;Afirmative;Estudamos inglês todos os dias.;We study English every day
translation;Present Simple;Interrogative;O trem sai a tempo?;Does the train leave on time?

