question;hint;option1;option2;option3;answer
Anybody who wants to participate ______ register.;(Ability);can;will;may;can
I ______ have bought that car if I had more money. ;(Past ability);should;could;would;could
She ______ arrive in the afternoon. ;(Possibility);may;might;either;either
‘We went hiking yesterday.’ ‘That ______ have been a lot of fun.;(Logical conclusion);must;should;will;must
One day, it ______ be possible to connect with extra terrestrial life.;(Future prediction);can;will;would;will
I ______ pay you back when I get a job.;(Promise);will;may;can;may
Glass ______ be blown.;(Theoretical possibility);may;can;will;can
You ______ have called me if you weren’t coming. ;(Criticism);should;would;ought;would
You ______ not violate the law.;(Prohibition);must;need;will;must
The saplings ______ be watered regularly. ;(Necessity);should;would;could;should
By next December, I ______ have been teaching here for twenty years. ;(Future certainty);will;could;should;will
What ______ we do now? ;(Asking for suggestion);shall;will;would;shall
Don’t bring ______ that topic ever again.;"";in;out;up;up
As I didn’t get the correct answer, I did the sum ______.;"";up;out;over;over
He filled ______ the bottle.;"";out;up;in;up
You will not have any close friends if you have the habit of saying bad things about people behind their ______.;"";head;eyes;back;back
She went ______ talking about her illnesses.;"";out;on;up;on
It took us only about 10 minutes to put ______ the tent.;"";out;up;over;up
The boy was giving ______ leaflets to visitors.;"";up;out;on;out
I went to the teacher because I wanted to clear ______ some doubts.;"";out;up;on;up
Every summer, fires break ______ across many parts of the world.;"";up;out;in;out
The government should bring ______ tax reforms.;"";up;in;off;in
You should get every detail ______ on paper.;"";up;down;out;down
They have come ______ with a brilliant idea to monetize their old farmhouse.;"";out;up;in;up
I was surprised ______ the amount of money we managed to collect.;"";on;at;with;at
They got married ______ the first Tuesday of January.;"";on;in;at;on
Is that Steffi ______ the piano?;"";on;at;in;on
A dark figure stood ______ the doorway.;"";on;in;at;in
She lost her job because she was ill ______ several months.;"";since;for;from;for
When we were children we lived ______ Mexico.;"";in;on;at;in
I asked her why ______ angry.;"";was she;she was;have she;she was
If you had applied, you ______ the job.;"";will get;would get;would have got;would have got
He wouldn’t have died if he ______ emergency healthcare.;"";receives;received;had received;had received
The more you spend, ______ you save.;"";the less;less;the lesser;the less
Would you mind ______ for a minute?;"";wait;to wait;waiting;waiting
He is too stubborn ______.;"";to apologize;to apologizing;for apologizing;to apologize
______ had she heard about the accident than she rushed to the hospital.;"";no sooner;hardly;as soon as;no sooner
They accused him of ______ their trust.;"";betray;to betray;betraying;betraying
She insisted on my ______ her.;"";to join;joining;join;joining
I regret ______. in real estate.;"";not investing;not to invest;not invest;not investing
She ______ live alone than share her apartment with strangers.;"";would like;would rather;rather;would rather
I would rather you ______. tomorrow.;"";didnt come;dont come;hadnt come;didnt come
There were ______ any applicants for the job.;"";rarely;hardly;hard;hardly
Work ______ and party harder.;"";hard;hardly;"";hard
I ______ watch English movies.;"";rarely;rare;scarcely;rarely
______ had I closed my eyes, when shadows started dancing in front of me.;"";rarely;hardly;rare;hardly
You should pay attention to ______.;"";detail;details;"";detail
He is almost always ______ for work.;"";late;lately;"";late
I have been watching a lot of movies ______.;"";late;lately;recent;lately
He has been partying too much of ______.;"";late;lately;either;late
We were ______ shocked to hear about his demise.;"";fairly;rather;either;rather
The car spun ______ off the track and hit a tree.;"";right;rightly;"";right
If I remember ______, I met Peter at my sister’s wedding.;"";right;rightly;"";rightly
The team played ______.;"";bad;badly;"";badly
I ______ him on a bus.;"";met;have met;had met;met
I ______ the money yesterday itself.;"";sent;have sent;had sent;sent
Why don’t you ______ me?;"";listen;listen to;"";listen to
Can you explain ______ why you were absent yesterday?;"";me;to me;either;to me
She was here a few minutes ______.;"";before;ago;"";ago
I ______ that movie.;"";watched;have watched;had watched;have watched
______ you ______ Jurassic Park on tv yesterday?;"";did / watch;had / watched;have / watched;did / watch
I ______ a word with my manager and he says that it is okay.;"";had;have had;had had;have had
The accused ______ by the court.;"";acquitted;was acquitted;was acquitting;was acquitted
She ______ the clothes on the line after washing them.;"";hung;hang;hanged;hung
She ______ the clothes on the line after washing them.;"";heard;have heard;was hearing;heard
By the time rescuers arrived, the injured climber ______.;"";died;have died;had died;had died
This box is made ______ plastic.;"";by;with;of;of
They made him ______.;"";apologize;to apologize;apologizing;apologize
You look ______ your sister.;"";like;as;"";like
I earn ______ money than a barber.;"";little;less;lesser;less
I would like to spend ______ my time cooking.;"";less;less of;few of;less of
______ people have stable jobs now.;"";fewer;less;lesser;fewer
If you want to lose weight, eat ______ food.;"";less;lesser;few;less
If you want to lose weight, eat ______ food.;"";lying;lieing;laying;lying
You ______ have told her.;"";neednt ; didnt need to;either;either
There is a lot of work ______.;"";to do;to be done;either;either
There was ______ to read.;"";enough light;light enough;"";enough light
He was told ______ smoking.;"";to quit;quitting;quit;to quit
I ______ for a bus for two hours.;"";am waiting;have been waiting;has been waiting;have been waiting
I ______ really hard last summer.;"";worked;have worked;had worked;worked
We ______ a great time when we went holidaying in Maldives.;"";have;have had;had;had
When I went to her house yesterday, she ______ in her garden.;"";worked;was working;is working;was working
Where ______ all this while?;"";were you;have you been;are you;have you been
I will marry you when I ______ a job.;"";get;got;will get;get
 If you marry me, we both ______ happy.;"";will be;would be;would have been;will be
I asked him if he ______ help me.;"";can;could;will;could
One day, it ______ be possible to live on Mars.;"";will;would;will can;will
Sorry I shouted at you, I ______ to.;"";didnt mean ; dont mean;didnt meant;didnt mean
I would rather you ______ me alone.;"";leave;left;will leave;left
If you are free this evening, we ______ out for a meal.;"";can;could;would;can
______ you accept me for who I am or you leave me alone;"";if;either;neither;either
She must be taken to the hospital immediately ______ she will die.;"";and;or;as;or
______ she doesn’t receive emergency healthcare, she will die.;"";if;until;unless;if
I can’t walk ______ I have broken my leg.;"";for;because;either;either
______ you drive carefully, accidents can still happen.;"";even if;even though;if;even if
I don’t know ______ he will recognize me;"";whether;unless;weather;whether
