mode;topic;wordBank;question;answer
translation;Pronouns;I, you, he, she, it, we, they, Me, him, her, us, them;_______ am a software developer.;I
translation;Pronouns;I, you, he, she, it, we, they, Me, him, her, us, them;_______ are my best friend.;You
translation;Pronouns;I, you, he, she, it, we, they, Me, him, her, us, them;_______ is studying English now.;He
translation;Pronouns;I, you, he, she, it, we, they, Me, him, her, us, them;_______ works at a hospital.;She
translation;Pronouns;I, you, he, she, it, we, they, Me, him, her, us, them;_______ is very expensive.;It
translation;Pronouns;I, you, he, she, it, we, they, Me, him, her, us, them;_______ live in Brazil.;We
translation;Pronouns;I, you, he, she, it, we, they, Me, him, her, us, them;_______ play soccer every weekend.;They
translation;Pronouns;I, you, he, she, it, we, they, Me, him, her, us, them;Please call _______ later.;me
translation;Pronouns;I, you, he, she, it, we, they, Me, him, her, us, them;I saw _______ at the supermarket.;him
translation;Pronouns;I, you, he, she, it, we, they, Me, him, her, us, them;Can you help _______ with this task?;her
translation;Pronouns;I, you, he, she, it, we, they, Me, him, her, us, them;The teacher gave _______ extra homework.;us
translation;Pronouns;I, you, he, she, it, we, they, Me, him, her, us, them;I invited _______ to the party.;them
translation;Pronouns;I, you, he, she, it, we, they, Me, him, her, us, them;_______ like watching movies on weekends.;I
translation;Pronouns;I, you, he, she, it, we, they, Me, him, her, us, them;_______ speak English very well.;You
translation;Pronouns;I, you, he, she, it, we, they, Me, him, her, us, them;_______ drives to work every day.;He
translation;Pronouns;I, you, he, she, it, we, they, Me, him, her, us, them;_______ loves reading books.;She
translation;Pronouns;I, you, he, she, it, we, they, Me, him, her, us, them;_______ needs a new battery.;It
translation;Pronouns;I, you, he, she, it, we, they, Me, him, her, us, them;_______ are learning irregular verbs.;We
translation;Pronouns;I, you, he, she, it, we, they, Me, him, her, us, them;_______ arrived early this morning.;They
translation;Pronouns;I, you, he, she, it, we, they, Me, him, her, us, them;My sister called _______ yesterday.;me
translation;Pronouns;I, you, he, she, it, we, they, Me, him, her, us, them;She gave _______ a birthday present.;him
translation;Pronouns;I, you, he, she, it, we, they, Me, him, her, us, them;I met _______ at the conference.;her
translation;Pronouns;I, you, he, she, it, we, they, Me, him, her, us, them;The manager thanked _______ for our work.;us
translation;Pronouns;I, you, he, she, it, we, they, Me, him, her, us, them;Can you see _______ from here?;them
translation;Pronouns;I, you, he, she, it, we, they, Me, him, her, us, them;_______ need some help with this exercise.;I
translation;Pronouns;I, you, he, she, it, we, they, Me, him, her, us, them;_______ always make me laugh.;You
translation;Pronouns;I, you, he, she, it, we, they, Me, him, her, us, them;_______ bought a new computer.;He
translation;Pronouns;I, you, he, she, it, we, they, Me, him, her, us, them;_______ is waiting outside.;She
translation;Pronouns;I, you, he, she, it, we, they, Me, him, her, us, them;_______ looks beautiful in the sunlight.;It
translation;Pronouns;I, you, he, she, it, we, they, Me, him, her, us, them;_______ have a meeting at 10 o’clock.;We
translation;Pronouns;I, you, he, she, it, we, they, Me, him, her, us, them;_______ work together on this project.;They
translation;Pronouns;I, you, he, she, it, we, they, Me, him, her, us, them;The dog followed _______ home.;me
translation;Pronouns;I, you, he, she, it, we, they, Me, him, her, us, them;I sent _______ an email.;him
translation;Pronouns;I, you, he, she, it, we, they, Me, him, her, us, them;The doctor examined _______ carefully.;her
translation;Pronouns;I, you, he, she, it, we, they, Me, him, her, us, them;The guide showed _______ the museum.;us
translation;Pronouns;I, you, he, she, it, we, they, Me, him, her, us, them;We visited _______ last summer.;them
translation;Pronouns;I, you, he, she, it, we, they, Me, him, her, us, them;_______ am ready to start.;I
translation;Pronouns;I, you, he, she, it, we, they, Me, him, her, us, them;_______ can solve this problem.;You
translation;Pronouns;I, you, he, she, it, we, they, Me, him, her, us, them;_______ enjoys playing chess.;He
translation;Pronouns;I, you, he, she, it, we, they, Me, him, her, us, them;_______ teaches mathematics.;She
translation;Pronouns;I, you, he, she, it, we, they, Me, him, her, us, them;_______ belongs to my brother.;It
translation;Pronouns;I, you, he, she, it, we, they, Me, him, her, us, them;_______ traveled to another city.;We
translation;Pronouns;I, you, he, she, it, we, they, Me, him, her, us, them;_______ were very excited about the trip.;They
translation;Pronouns;I, you, he, she, it, we, they, Me, him, her, us, them;Nobody told _______ about the change.;me
translation;Pronouns;I, you, he, she, it, we, they, Me, him, her, us, them;The coach selected _______ for the team.;him
translation;Pronouns;I, you, he, she, it, we, they, Me, him, her, us, them;I will introduce you to _______.;her
translation;Pronouns;I, you, he, she, it, we, they, Me, him, her, us, them;They invited _______ to dinner.;us
translation;Pronouns;I, you, he, she, it, we, they, Me, him, her, us, them;The police questioned _______ yesterday.;them
translation;Pronouns;I, you, he, she, it, we, they, Me, him, her, us, them;Can you hear _______ now?;me
translation;Pronouns;I, you, he, she, it, we, they, Me, him, her, us, them;She knows _______ very well.;them
