question;hint;option1;option2;option3;answer
question;"";option1;option2;option3;asnswer
A person who designs buildings.;"";athlete;architect;cashier;architect
A person who treats sick animals.;"";journalist;sailor;veterinarian;veterinarian
A person who writes computer programs.;"";pilot;programmer;gardener;programmer
A person who takes photographs professionally.;"";carpenter;dentist;photographer;photographer
A person who prepares food in a restaurant.;"";driver;chef;lawyer;chef
A person who teaches students.;"";engineer;waiter;teacher;teacher
A person who examines and treats teeth.;"";farmer;dentist;mechanic;dentist
A person who defends people in court.;"";chemist;coach;lawyer;lawyer
A person who flies an aircraft.;"";editor;pilot;plumber;pilot
A person who repairs water pipes.;"";architect;artist;plumber;plumber
A person who repairs electrical systems.;"";musician;electrician;waiter;electrician
A person who builds or repairs wooden structures.;"";doctor;cashier;carpenter;carpenter
A person who writes news stories.;"";pilot;journalist;butcher;journalist
A person who manages a business or organization.;"";singer;farmer;manager;manager
A person who buys goods for a company.;"";driver;buyer;nurse;buyer
A person who cares for patients in a hospital.;"";lawyer;architect;nurse;nurse
A person who studies chemicals and their reactions.;"";coach;chemist;journalist;chemist
A person who studies living organisms.;"";cashier;mechanic;biologist;biologist
A person who studies the weather.;"";carpenter;meteorologist;dentist;meteorologist
A person who studies the stars and planets.;"";plumber;chef;astronomer;astronomer
A person who creates paintings.;"";lawyer;painter;pilot;painter
A person who performs music with an instrument.;"";farmer;lawyer;musician;musician
A person who sings professionally.;"";cashier;singer;engineer;singer
A person who acts in films or plays.;"";chemist;plumber;actor;actor
A person who directs a movie.;"";waiter;director;dentist;director
A person who writes books or stories.;"";mechanic;athlete;author;author
A person who translates spoken language.;"";farmer;interpreter;carpenter;interpreter
A person who translates written texts.;"";pilot;chef;translator;translator
A person who cuts and styles hair.;"";engineer;hairdresser;lawyer;hairdresser
A person who sells products in a store.;"";doctor;journalist;salesperson;salesperson
A person who receives money and serves customers in a store.;"";singer;cashier;architect;cashier
A person who serves food and drinks in a restaurant.;"";programmer;dentist;waiter;waiter
A person who delivers letters and packages.;"";coach;mail carrier;chemist;mail carrier
A person who drives a taxi.;"";editor;farmer;taxi driver;taxi driver
A person who takes care of gardens.;"";pilot;gardener;lawyer;gardener
A person who grows crops.;"";actor;electrician;farmer;farmer
A person who catches and sells fish.;"";nurse;fisherman;architect;fisherman
A person who sells meat.;"";teacher;photographer;butcher;butcher
A person who makes bread and cakes.;"";journalist;baker;mechanic;baker
A person who makes clothes.;"";pilot;doctor;tailor;tailor
A person who puts out fires.;"";artist;firefighter;cashier;firefighter
A person trained to protect people from crime.;"";chef;carpenter;police officer;police officer
A person who serves in the armed forces.;"";waiter;soldier;dentist;soldier
A person who designs machines or systems.;"";singer;gardener;engineer;engineer
A person who studies economics.;"";actor;economist;plumber;economist
A person who studies history.;"";electrician;cashier;historian;historian
A person who studies society and social behavior.;"";baker;sociologist;pilot;sociologist
A person who studies the human mind and behavior.;"";farmer;driver;psychologist;psychologist
A person who studies the Earth and its physical features.;"";lawyer;geologist;waiter;geologist
A person who studies languages.;"";mechanic;chef;linguist;linguist
A place where books can be borrowed.;"";factory;stadium;library;library
A place where planes take off and land.;"";museum;airport;bakery;airport
A place where trains arrive and leave.;"";farm;clinic;station;station
A place where sick people receive medical care.;"";theater;hospital;warehouse;hospital
A place where doctors see patients.;"";factory;gallery;clinic;clinic
A place where works of art are displayed.;"";airport;gallery;garage;gallery
A place where historical objects are displayed.;"";bakery;office;museum;museum
A place where performances take place.;"";pharmacy;theater;warehouse;theater
A place where sports competitions take place.;"";library;clinic;stadium;stadium
A place where medicines are sold.;"";theater;pharmacy;factory;pharmacy
A place where bread is made and sold.;"";airport;gallery;bakery;bakery
A place where products are manufactured.;"";stadium;factory;library;factory
A place where goods are stored.;"";museum;clinic;warehouse;warehouse
A place where cars are repaired.;"";pharmacy;garage;theater;garage
A place where people work at desks.;"";bakery;stadium;office;office
A place where students study after school or at university.;"";warehouse;campus;garage;campus
A place where animals are cared for and displayed.;"";library;factory;zoo;zoo
A place where people can watch films.;"";clinic;cinema;farm;cinema
A place where trains are maintained.;"";museum;bakery;depot;depot
A place where ships load and unload goods.;"";office;port;stadium;port
A vehicle used to transport people by road.;"";harbor;bridge;bus;bus
A vehicle with two wheels powered by pedals.;"";tractor;bicycle;airplane;bicycle
A vehicle used to carry goods.;"";canoe;subway;truck;truck
A vehicle that carries passengers by rail.;"";van;train;scooter;train
A vehicle that travels underground in cities.;"";tractor;ship;subway;subway
