question;hint;option1;option2;option3;answer
Definition|Which word matches the definition? "A person who teaches students.";"";teacher;lawyer;engineer;teacher
Definition|Which word matches the definition? "A person who works with patients and provides medical care.";"";doctor;teacher;architect;doctor
Definition|Which word matches the definition? "A person who treats people's teeth.";"";dentist;surgeon;pharmacist;dentist
Definition|Which word matches the definition? "A person who performs operations on patients.";"";surgeon;teacher;accountant;surgeon
Definition|Which word matches the definition? "A person who prepares and dispenses medicines.";"";pharmacist;lawyer;chef;pharmacist
Definition|Which word matches the definition? "A person who takes care of sick people in a hospital.";"";nurse;pilot;architect;nurse
Definition|Which word matches the definition? "A person who examines patients and diagnoses illnesses.";"";doctor;waiter;journalist;doctor
Definition|Which word matches the definition? "A person who provides emergency medical care.";"";paramedic;lawyer;designer;paramedic
Definition|Which word matches the definition? "A person who drives an ambulance.";"";ambulance driver;teacher;mechanic;ambulance driver
Definition|Which word matches the definition? "A person who helps women during pregnancy and childbirth.";"";midwife;dentist;lawyer;midwife
Definition|Which word matches the definition? "A person who takes care of animals' health.";"";veterinarian;architect;accountant;veterinarian
Definition|Which word matches the definition? "A person who studies and treats mental health problems.";"";psychologist;mechanic;pilot;psychologist
Definition|Which word matches the definition? "A person who provides therapy for emotional or psychological problems.";"";therapist;engineer;chef;therapist
Definition|Which word matches the definition? "A person who helps people recover movement after an injury.";"";physiotherapist;lawyer;journalist;physiotherapist
Definition|Which word matches the definition? "A person who helps patients with daily activities and independence.";"";occupational therapist;pilot;accountant;occupational therapist
Definition|Which word matches the definition? "A person who helps people improve their speech.";"";speech therapist;architect;chef;speech therapist
Definition|Which word matches the definition? "A person who studies medicines and how they affect the body.";"";pharmacologist;teacher;driver;pharmacologist
Definition|Which word matches the definition? "A person who studies diseases.";"";pathologist;lawyer;designer;pathologist
Definition|Which word matches the definition? "A person who studies the human body.";"";anatomist;chef;pilot;anatomist
Definition|Which word matches the definition? "A person who studies the human mind and behavior.";"";psychologist;mechanic;farmer;psychologist
Definition|Which word matches the definition? "A person who designs buildings.";"";architect;doctor;waiter;architect
Definition|Which word matches the definition? "A person who designs and builds machines or systems.";"";engineer;lawyer;teacher;engineer
Definition|Which word matches the definition? "A person who builds and maintains computer software.";"";software developer;dentist;chef;software developer
Definition|Which word matches the definition? "A person who writes computer programs.";"";programmer;pilot;lawyer;programmer
Definition|Which word matches the definition? "A person who manages computer networks.";"";network administrator;teacher;photographer;network administrator
Definition|Which word matches the definition? "A person who protects computer systems from cyber threats.";"";cybersecurity specialist;waiter;architect;cybersecurity specialist
Definition|Which word matches the definition? "A person who analyzes data to find useful information.";"";data analyst;mechanic;lawyer;data analyst
Definition|Which word matches the definition? "A person who designs the visual appearance of websites or applications.";"";UI designer;doctor;farmer;UI designer
Definition|Which word matches the definition? "A person who designs how users interact with software.";"";UX designer;pilot;accountant;UX designer
Definition|Which word matches the definition? "A person who creates visual artwork for companies or products.";"";graphic designer;lawyer;driver;graphic designer
Definition|Which word matches the definition? "A person who creates websites.";"";web developer;chef;dentist;web developer
Definition|Which word matches the definition? "A person who manages databases.";"";database administrator;teacher;photographer;database administrator
Definition|Which word matches the definition? "A person who studies and manages information technology.";"";IT specialist;lawyer;waiter;IT specialist
Definition|Which word matches the definition? "A person who provides technical help to computer users.";"";IT support technician;architect;chef;IT support technician
Definition|Which word matches the definition? "A person who repairs computers and electronic equipment.";"";computer technician;doctor;pilot;computer technician
Definition|Which word matches the definition? "A person who tests software for problems.";"";software tester;lawyer;farmer;software tester
Definition|Which word matches the definition? "A person who manages a company's technology systems.";"";IT manager;teacher;driver;IT manager
Definition|Which word matches the definition? "A person who studies artificial intelligence.";"";AI researcher;chef;dentist;AI researcher
Definition|Which word matches the definition? "A person who develops machine learning models.";"";machine learning engineer;lawyer;waiter;machine learning engineer
Definition|Which word matches the definition? "A person who studies robots and automation.";"";robotics engineer;teacher;accountant;robotics engineer
Definition|Which word matches the definition? "A person who repairs cars.";"";mechanic;lawyer;chef;mechanic
Definition|Which word matches the definition? "A person who repairs electrical systems.";"";electrician;teacher;pilot;electrician
Definition|Which word matches the definition? "A person who installs and repairs water pipes.";"";plumber;doctor;designer;plumber
Definition|Which word matches the definition? "A person who builds structures such as houses.";"";builder;lawyer;pharmacist;builder
Definition|Which word matches the definition? "A person who works with bricks and builds walls.";"";bricklayer;pilot;accountant;bricklayer
Definition|Which word matches the definition? "A person who paints houses and buildings.";"";painter;doctor;lawyer;painter
Definition|Which word matches the definition? "A person who installs roofs.";"";roofer;teacher;chef;roofer
Definition|Which word matches the definition? "A person who works with wood to make or repair things.";"";carpenter;dentist;pilot;carpenter
Definition|Which word matches the definition? "A person who works with metal and creates or repairs metal objects.";"";metalworker;lawyer;teacher;metalworker
Definition|Which word matches the definition? "A person who operates machinery on a construction site.";"";construction worker;doctor;accountant;construction worker
Definition|Which word matches the definition? "A person who operates heavy construction equipment.";"";machine operator;chef;journalist;machine operator
Definition|Which word matches the definition? "A person who designs roads, bridges, and other infrastructure.";"";civil engineer;lawyer;waiter;civil engineer
Definition|Which word matches the definition? "A person who designs electrical systems.";"";electrical engineer;teacher;farmer;electrical engineer
Definition|Which word matches the definition? "A person who designs machines and mechanical systems.";"";mechanical engineer;doctor;pilot;mechanical engineer
Definition|Which word matches the definition? "A person who designs chemical processes.";"";chemical engineer;lawyer;chef;chemical engineer
Definition|Which word matches the definition? "A person who studies and designs aircraft.";"";aerospace engineer;teacher;accountant;aerospace engineer
Definition|Which word matches the definition? "A person who studies and designs buildings and structures.";"";structural engineer;doctor;waiter;structural engineer
Definition|Which word matches the definition? "A person who studies the environment and environmental problems.";"";environmental scientist;lawyer;chef;environmental scientist
Definition|Which word matches the definition? "A person who studies rocks and the Earth's structure.";"";geologist;teacher;pilot;geologist
Definition|Which word matches the definition? "A person who studies weather.";"";meteorologist;doctor;accountant;meteorologist
Definition|Which word matches the definition? "A person who studies stars and planets.";"";astronomer;lawyer;mechanic;astronomer
Definition|Which word matches the definition? "A person who studies living organisms.";"";biologist;chef;pilot;biologist
Definition|Which word matches the definition? "A person who studies chemicals and chemical reactions.";"";chemist;teacher;driver;chemist
Definition|Which word matches the definition? "A person who studies physics.";"";physicist;lawyer;waiter;physicist
Definition|Which word matches the definition? "A person who studies plants.";"";botanist;doctor;architect;botanist
Definition|Which word matches the definition? "A person who studies animals.";"";zoologist;teacher;accountant;zoologist
Definition|Which word matches the definition? "A person who studies oceans and marine life.";"";marine biologist;lawyer;chef;marine biologist
Definition|Which word matches the definition? "A person who studies insects.";"";entomologist;pilot;dentist;entomologist
Definition|Which word matches the definition? "A person who studies fossils and ancient life.";"";paleontologist;teacher;driver;paleontologist
Definition|Which word matches the definition? "A person who studies human societies and cultures.";"";anthropologist;doctor;lawyer;anthropologist
Definition|Which word matches the definition? "A person who studies society and social behavior.";"";sociologist;chef;pilot;sociologist
Definition|Which word matches the definition? "A person who studies economic systems.";"";economist;teacher;mechanic;economist
Definition|Which word matches the definition? "A person who studies political systems and government.";"";political scientist;doctor;accountant;political scientist
Definition|Which word matches the definition? "A person who studies history.";"";historian;lawyer;chef;historian
Definition|Which word matches the definition? "A person who studies languages.";"";linguist;pilot;teacher;linguist
Definition|Which word matches the definition? "A person who studies the Earth's geography.";"";geographer;doctor;waiter;geographer
Definition|Which word matches the definition? "A person who studies ancient objects and civilizations.";"";archaeologist;lawyer;farmer;archaeologist
Definition|Which word matches the definition? "A person who studies human cultures and traditions.";"";cultural anthropologist;teacher;mechanic;cultural anthropologist
Definition|Which word matches the definition? "A person who studies human behavior in society.";"";social scientist;chef;pilot;social scientist
Definition|Which word matches the definition? "A person who teaches at a university.";"";professor;lawyer;driver;professor
Definition|Which word matches the definition? "A person who teaches children in a school.";"";schoolteacher;doctor;architect;schoolteacher
Definition|Which word matches the definition? "A person who teaches young children before primary school.";"";preschool teacher;lawyer;pilot;preschool teacher
Definition|Which word matches the definition? "A person who teaches students privately.";"";tutor;doctor;chef;tutor
Definition|Which word matches the definition? "A person who helps students learn a particular subject.";"";tutor;mechanic;lawyer;tutor
Definition|Which word matches the definition? "A person who manages a school.";"";principal;teacher;accountant;principal
Definition|Which word matches the definition? "A person who helps students with educational or personal problems.";"";school counselor;pilot;chef;school counselor
Definition|Which word matches the definition? "A person who works in a library.";"";librarian;lawyer;doctor;librarian
Definition|Which word matches the definition? "A person who manages books and information in a library.";"";librarian;teacher;mechanic;librarian
Definition|Which word matches the definition? "A person who teaches at a college or university.";"";lecturer;chef;driver;lecturer
Definition|Which word matches the definition? "A person who conducts academic research.";"";researcher;lawyer;waiter;researcher
Definition|Which word matches the definition? "A person who writes academic studies.";"";academic researcher;pilot;dentist;academic researcher
Definition|Which word matches the definition? "A person who teaches a foreign language.";"";language teacher;doctor;architect;language teacher
Definition|Which word matches the definition? "A person who teaches music.";"";music teacher;lawyer;accountant;music teacher
Definition|Which word matches the definition? "A person who teaches physical education.";"";PE teacher;chef;pilot;PE teacher
Definition|Which word matches the definition? "A person who teaches children how to play sports.";"";sports coach;doctor;lawyer;sports coach
Definition|Which word matches the definition? "A person who trains athletes.";"";coach;teacher;mechanic;coach
Definition|Which word matches the definition? "A person who prepares athletes for competitions.";"";athletic coach;doctor;accountant;athletic coach
Definition|Which word matches the definition? "A person who manages a company's money and financial records.";"";accountant;teacher;pilot;accountant
Definition|Which word matches the definition? "A person who prepares financial reports.";"";accountant;chef;lawyer;accountant
Definition|Which word matches the definition? "A person who gives financial advice.";"";financial advisor;doctor;mechanic;financial advisor
Definition|Which word matches the definition? "A person who manages investments.";"";investment manager;teacher;waiter;investment manager
Definition|Which word matches the definition? "A person who buys and sells investments for clients.";"";stockbroker;architect;chef;stockbroker
Definition|Which word matches the definition? "A person who works with banks and financial services.";"";banker;doctor;teacher;banker
Definition|Which word matches the definition? "A person who works at a bank and helps customers.";"";bank teller;lawyer;pilot;bank teller
Definition|Which word matches the definition? "A person who lends money professionally.";"";lender;teacher;chef;lender
Definition|Which word matches the definition? "A person who checks a company's financial records.";"";auditor;doctor;driver;auditor
Definition|Which word matches the definition? "A person who studies financial risks.";"";risk analyst;lawyer;waiter;risk analyst
Definition|Which word matches the definition? "A person who analyzes financial information.";"";financial analyst;teacher;mechanic;financial analyst
Definition|Which word matches the definition? "A person who calculates taxes.";"";tax accountant;pilot;chef;tax accountant
Definition|Which word matches the definition? "A person who helps people buy and sell houses.";"";real estate agent;doctor;lawyer;real estate agent
Definition|Which word matches the definition? "A person who sells houses and apartments.";"";real estate agent;teacher;accountant;real estate agent
Definition|Which word matches the definition? "A person who manages properties for owners.";"";property manager;chef;pilot;property manager
Definition|Which word matches the definition? "A person who designs advertisements and marketing campaigns.";"";marketing specialist;doctor;mechanic;marketing specialist
Definition|Which word matches the definition? "A person who promotes products or services.";"";marketer;lawyer;teacher;marketer
