question;hint;option1;option2;option3;answer
What do we call a vehicle that carries many passengers around a city?;"";bus;boat;truck;bus
What do we call a vehicle that travels on railway tracks?;"";train;bus;taxi;train
What do we call a vehicle that flies in the sky?;"";airplane;ship;train;airplane
What do we call a vehicle that travels on water?;"";boat;bus;motorcycle;boat
What do we call a large vessel used to transport people or goods by sea?;"";ship;car;tram;ship
What do we call a vehicle with two wheels powered by an engine?;"";motorcycle;bicycle;truck;motorcycle
What do we call a vehicle with two wheels powered by pedals?;"";bicycle;motorcycle;bus;bicycle
What do we call a car that you pay to take you somewhere?;"";taxi;truck;train;taxi
What do we call a car that is hired for a journey?;"";taxi;bus;ship;taxi
What do we call a vehicle used to carry goods?;"";truck;taxi;train;truck
What do we call a vehicle that carries many people on a railway in a city?;"";tram;truck;boat;tram
What do we call an underground train system?;"";subway;highway;ferry;subway
What do we call a train that travels above or below a city?;"";metro;truck;ship;metro
What do we call a boat that carries people and vehicles across water?;"";ferry;subway;tram;ferry
What do we call a vehicle used to transport injured people to a hospital?;"";ambulance;taxi;van;ambulance
What do we call a large vehicle used to transport many passengers between cities?;"";coach;motorcycle;truck;coach
What do we call a small vehicle used to transport people or goods?;"";van;tram;ship;van
What do we call a vehicle pulled by horses?;"";carriage;bus;train;carriage
What do we call a vehicle used to travel through snow?;"";snowmobile;subway;ferry;snowmobile
What do we call a vehicle designed to travel on water and land?;"";amphibious vehicle;motorcycle;tram;amphibious vehicle
What do we call the place where buses arrive and leave?;"";bus station;airport;harbor;bus station
What do we call the place where trains arrive and leave?;"";train station;bus stop;airport;train station
What do we call the place where airplanes take off and land?;"";airport;harbor;station;airport
What do we call the place where ships and boats arrive and leave?;"";harbor;airport;bus station;harbor
What do we call the area where passengers wait for a train?;"";platform;terminal;runway;platform
What do we call the building at an airport where passengers check in and wait?;"";terminal;platform;harbor;terminal
What do we call the strip where airplanes take off and land?;"";runway;platform;highway;runway
What do we call the place where you collect your luggage at an airport?;"";baggage claim;check-in desk;gate;baggage claim
What do we call the place where you register before boarding a flight?;"";check-in desk;baggage claim;customs;check-in desk
What do we call the place where passengers wait before boarding a plane?;"";gate;runway;garage;gate
What do we call the official document that allows you to travel internationally?;"";passport;ticket;receipt;passport
What do we call a document that gives you permission to enter a foreign country?;"";visa;passport;ticket;visa
What do we call the document that proves you have paid for a journey?;"";ticket;passport;visa;ticket
What do we call the card or document used to enter a plane?;"";boarding pass;passport;receipt;boarding pass
What do we call the process of getting onto a plane or train?;"";boarding;landing;departure;boarding
What do we call the moment when an airplane leaves the ground?;"";takeoff;landing;boarding;takeoff
What do we call the moment when an airplane reaches the ground?;"";landing;takeoff;departure;landing
What do we call the time when a bus, train, or plane leaves?;"";departure;arrival;delay;departure
What do we call the time when a bus, train, or plane reaches its destination?;"";arrival;departure;boarding;arrival
What do we call a journey from one place to another?;"";trip;station;ticket;trip
What do we call a long journey, especially by land or sea?;"";journey;platform;passport;journey
What do we call a journey taken for pleasure?;"";trip;commute;route;trip
What do we call regular travel between home and work or school?;"";commute;holiday;voyage;commute
What do we call a long journey by sea?;"";voyage;commute;flight;voyage
What do we call a journey by air?;"";flight;voyage;cruise;flight
What do we call a holiday on a large ship?;"";cruise;commute;hike;cruise
What do we call a journey made for business purposes?;"";business trip;holiday;cruise;business trip
What do we call a journey made for pleasure and relaxation?;"";vacation;commute;business trip;vacation
What do we call a period when you travel away from home for rest?;"";holiday;commute;journey;holiday
What do we call the place where you are going?;"";destination;departure;route;destination
What do we call the place where a journey begins?;"";departure point;destination;terminal;departure point
What do we call the path followed during a journey?;"";route;ticket;destination;route
What do we call the distance between two places?;"";distance;journey;vehicle;distance
What do we call a journey that includes several stops?;"";route;ticket;passport;route
What do we call the shortest or quickest way to a destination?;"";shortcut;detour;highway;shortcut
What do we call a longer route taken because the normal road is unavailable?;"";detour;shortcut;platform;detour
What do we call a road designed for fast traffic between cities?;"";highway;sidewalk;alley;highway
What do we call a road that requires payment to use?;"";toll road;country road;cycle path;toll road
What do we call the money paid to use certain roads or bridges?;"";toll;fare;fine;toll
What do we call the money paid for a bus, train, or taxi journey?;"";fare;toll;salary;fare
What do we call the money paid for a flight?;"";airfare;fare;toll;airfare
What do we call a person who travels from one place to another?;"";traveler;driver;pilot;traveler
What do we call a person traveling in a vehicle but not driving it?;"";passenger;driver;pilot;passenger
What do we call a person who drives a car or other vehicle?;"";driver;passenger;traveler;driver
What do we call a person who operates an airplane?;"";pilot;driver;captain;pilot
What do we call a person who operates a ship?;"";captain;pilot;driver;captain
What do we call a person who helps passengers on an airplane?;"";flight attendant;pilot;driver;flight attendant
What do we call a person who helps passengers on a train?;"";conductor;pilot;captain;conductor
What do we call a person who drives a taxi?;"";taxi driver;pilot;conductor;taxi driver
What do we call a person who rents a vehicle?;"";renter;passenger;pilot;renter
What do we call a company that rents cars to travelers?;"";car rental company;airline;railway;car rental company
What do we call a company that transports passengers by air?;"";airline;railway;bus company;airline
What do we call a company or system that operates trains?;"";railway;airline;airport;railway
What do we call a place where you rent a car?;"";car rental office;bus stop;platform;car rental office
What do we call a vehicle that is rented for a period of time?;"";rental car;taxi;bus;rental car
What do we call a place where cars are stored or repaired?;"";garage;terminal;harbor;garage
What do we call a place where you leave your car while traveling?;"";parking lot;runway;platform;parking lot
What do we call the area where planes are parked?;"";airport apron;highway;terminal;airport apron
What do we call the luggage you take with you when traveling?;"";baggage;fare;visa;baggage
What do we call a large bag used for traveling?;"";suitcase;backpack;wallet;suitcase
What do we call a bag carried on your back?;"";backpack;suitcase;briefcase;backpack
What do we call a small bag you can carry onto an airplane?;"";carry-on bag;suitcase;trunk;carry-on bag
What do we call luggage placed in the airplane's storage area?;"";checked baggage;carry-on bag;handbag;checked baggage
What do we call the process of checking bags before a flight?;"";check-in;boarding;landing;check-in
What do we call the place where officials check your passport when entering a country?;"";passport control;baggage claim;departure gate;passport control
What do we call the place where officials inspect goods and luggage entering a country?;"";customs;security gate;platform;customs
What do we call the official inspection of passengers and bags before boarding?;"";security check;customs;check-in;security check
What do we call the process of entering a foreign country?;"";immigration;departure;boarding;immigration
What do we call a person who travels to another country for pleasure?;"";tourist;commuter;driver;tourist
What do we call a person who visits places for sightseeing?;"";tourist;passenger;pilot;tourist
What do we call activities such as visiting famous places while traveling?;"";sightseeing;commuting;boarding;sightseeing
What do we call a person who shows tourists around a place?;"";tour guide;pilot;driver;tour guide
What do we call a place that attracts many tourists?;"";tourist attraction;bus station;garage;tourist attraction
What do we call a famous building or place that tourists visit?;"";landmark;terminal;platform;landmark
What do we call a place where tourists stay overnight?;"";hotel;station;airport;hotel
What do we call a cheap place where travelers can share rooms?;"";hostel;resort;hotel;hostel
What do we call a place designed for tourists to relax and enjoy themselves?;"";resort;hostel;station;resort
What do we call a person or company that organizes trips for travelers?;"";travel agent;tour guide;pilot;travel agent
