question;hint;option1;option2;option3;answer
What do we call the condition of the atmosphere at a particular time and place?;"";weather;climate;season;weather
What do we call the usual weather conditions of a place over a long period?;"";climate;forecast;temperature;climate
What do we call a prediction about future weather?;"";forecast;climate;season;forecast
What do we call the amount of heat in the air?;"";temperature;humidity;pressure;temperature
What do we use to measure temperature?;"";thermometer;barometer;compass;thermometer
What do we call weather with a lot of sunshine?;"";sunny;cloudy;windy;sunny
What do we call weather with many clouds?;"";cloudy;sunny;dry;cloudy
What do we call weather with strong moving air?;"";windy;foggy;humid;windy
What do we call weather with rain?;"";rainy;snowy;sunny;rainy
What do we call weather with snow?;"";snowy;rainy;cloudy;snowy
What do we call weather with a lot of fog?;"";foggy;windy;sunny;foggy
What do we call weather with very little moisture?;"";dry;humid;rainy;dry
What do we call air containing a lot of moisture?;"";humid;dry;freezing;humid
What do we call water falling from clouds?;"";rain;snow;wind;rain
What do we call frozen water that falls from clouds in small white flakes?;"";snow;rain;fog;snow
What do we call small balls of ice that fall during some storms?;"";hail;mist;dew;hail
What do we call very small drops of water in the air near the ground?;"";mist;hail;frost;mist
What do we call thick mist that makes it difficult to see?;"";fog;hail;rain;fog
What do we call water drops that form on cool surfaces overnight?;"";dew;frost;hail;dew
What do we call a thin layer of ice that forms on cold surfaces?;"";frost;dew;mist;frost
What do we call moving air?;"";wind;cloud;rain;wind
What do we call a very strong wind?;"";gale;breeze;mist;gale
What do we call a light and gentle wind?;"";breeze;gale;storm;breeze
What do we call a violent weather event with strong winds and heavy rain?;"";storm;breeze;drizzle;storm
What do we call a storm with thunder and lightning?;"";thunderstorm;snowstorm;heatwave;thunderstorm
What do we call the loud sound produced during a storm?;"";thunder;lightning;hail;thunder
What do we call the bright flash seen during a storm?;"";lightning;thunder;sunshine;lightning
What do we call a storm with very strong rotating winds?;"";tornado;drizzle;fog;tornado
What do we call a powerful tropical storm with strong winds?;"";hurricane;tornado;blizzard;hurricane
What do we call a severe snowstorm with strong winds?;"";blizzard;hurricane;thunderstorm;blizzard
What do we call a long period of unusually hot weather?;"";heatwave;cold spell;blizzard;heatwave
What do we call a long period of unusually cold weather?;"";cold spell;heatwave;drought;cold spell
What do we call a long period with very little or no rain?;"";drought;flood;storm;drought
What do we call a large amount of water covering normally dry land?;"";flood;drought;frost;flood
What do we call rain that falls very lightly?;"";drizzle;hail;thunder;drizzle
What do we call very heavy rain?;"";downpour;drizzle;mist;downpour
What do we call a period of rain that lasts for a short time?;"";shower;drought;heatwave;shower
What do we call the amount of water vapor in the air?;"";humidity;temperature;pressure;humidity
What instrument measures air pressure?;"";barometer;thermometer;rain gauge;barometer
What instrument measures the amount of rainfall?;"";rain gauge;barometer;thermometer;rain gauge
What do we call the amount of rain that falls in a particular area?;"";rainfall;humidity;sunshine;rainfall
What do we call the amount of snow that falls?;"";snowfall;rainfall;sunshine;snowfall
