mode;topic;rule1;rule2;exampleA;exampleI;exampleN;type;wordBank;question;answer
translation;Quantifiers;Use quantifiers correctly;Choose the best option;There are many people;There isn't much water;There are a few students;WORD BANK;some | any | a lot | a few | a little | a lot of | fewer | a little bit of | a lot fewer | a little bit fewer;Can you buy ________ apples at the grocery store?;some
translation;Quantifiers;Use quantifiers correctly;Choose the best option;There are many people;There isn't much water;There are a few students;WORD BANK;some | any | a lot | a few | a little | a lot of | fewer | a little bit of | a lot fewer | a little bit fewer;There are ________ cookies in the jar;some
translation;Quantifiers;Use quantifiers correctly;Choose the best option;There are many people;There isn't much water;There are a few students;WORD BANK;some | any | a lot | a few | a little | a lot of | fewer | a little bit of | a lot fewer | a little bit fewer;I need ________ help with this project;some
translation;Quantifiers;Use quantifiers correctly;Choose the best option;There are many people;There isn't much water;There are a few students;WORD BANK;some | any | a lot | a few | a little | a lot of | fewer | a little bit of | a lot fewer | a little bit fewer;Do you have ________ spare time to chat?;some
translation;Quantifiers;Use quantifiers correctly;Choose the best option;There are many people;There isn't much water;There are a few students;WORD BANK;some | any | a lot | a few | a little | a lot of | fewer | a little bit of | a lot fewer | a little bit fewer;Could you bring me ________ water, please?;some
translation;Quantifiers;Use quantifiers correctly;Choose the best option;There are many people;There isn't much water;There are a few students;WORD BANK;some | any | a lot | a few | a little | a lot of | fewer | a little bit of | a lot fewer | a little bit fewer;We have ________ good news to share;some
translation;Quantifiers;Use quantifiers correctly;Choose the best option;There are many people;There isn't much water;There are a few students;WORD BANK;some | any | a lot | a few | a little | a lot of | fewer | a little bit of | a lot fewer | a little bit fewer;There are ________ interesting books on that shelf;some
translation;Quantifiers;Use quantifiers correctly;Choose the best option;There are many people;There isn't much water;There are a few students;WORD BANK;some | any | a lot | a few | a little | a lot of | fewer | a little bit of | a lot fewer | a little bit fewer;I have ________ experience in programming;some
translation;Quantifiers;Use quantifiers correctly;Choose the best option;There are many people;There isn't much water;There are a few students;WORD BANK;some | any | a lot | a few | a little | a lot of | fewer | a little bit of | a lot fewer | a little bit fewer;Can you give me ________ advice on this matter?;some
translation;Quantifiers;Use quantifiers correctly;Choose the best option;There are many people;There isn't much water;There are a few students;WORD BANK;some | any | a lot | a few | a little | a lot of | fewer | a little bit of | a lot fewer | a little bit fewer;Let´s make ________ sandwiches for lunch;some
