mode;topic;rule1;rule2;exampleA;exampleI;exampleN;type;wordBank;question;answer
translation;Prepositions;Choose the correct preposition;Complete the sentence correctly;She is at school;I go to work;The book is on the table;PREPOSITION ;up | into | towards | through | across | beside | throughout | around | between | before | during | above | behind | out of | of | about | after | by | from | to | for | over | down | with | against;The book was written ________ Mark Twain.;by
translation;Prepositions;Choose the correct preposition;Complete the sentence correctly;She is at school;I go to work;The book is on the table;PREPOSITION ;up | into | towards | through | across | beside | throughout | around | between | before | during | above | behind | out of | of | about | after | by | from | to | for | over | down | with | against;I will show you the picture ________ the palace.;of
translation;Prepositions;Choose the correct preposition;Complete the sentence correctly;She is at school;I go to work;The book is on the table;PREPOSITION ;up | into | towards | through | across | beside | throughout | around | between | before | during | above | behind | out of | of | about | after | by | from | to | for | over | down | with | against;He reminds me ________ his old history teacher.;of
translation;Prepositions;Choose the correct preposition;Complete the sentence correctly;She is at school;I go to work;The book is on the table;PREPOSITION ;up | into | towards | through | across | beside | throughout | around | between | before | during | above | behind | out of | of | about | after | by | from | to | for | over | down | with | against;What are you talking ________ ?;about
translation;Prepositions;Choose the correct preposition;Complete the sentence correctly;She is at school;I go to work;The book is on the table;PREPOSITION ;up | into | towards | through | across | beside | throughout | around | between | before | during | above | behind | out of | of | about | after | by | from | to | for | over | down | with | against;________ the end of next year we will have made over £ 100,000.;by
translation;Prepositions;Choose the correct preposition;Complete the sentence correctly;She is at school;I go to work;The book is on the table;PREPOSITION ;up | into | towards | through | across | beside | throughout | around | between | before | during | above | behind | out of | of | about | after | by | from | to | for | over | down | with | against;Philip waited ________ her at the movie theatre.;for
translation;Prepositions;Choose the correct preposition;Complete the sentence correctly;She is at school;I go to work;The book is on the table;PREPOSITION ;up | into | towards | through | across | beside | throughout | around | between | before | during | above | behind | out of | of | about | after | by | from | to | for | over | down | with | against;You have to pay ________ the tickets on the day you order them.;for
translation;Prepositions;Choose the correct preposition;Complete the sentence correctly;She is at school;I go to work;The book is on the table;PREPOSITION ;up | into | towards | through | across | beside | throughout | around | between | before | during | above | behind | out of | of | about | after | by | from | to | for | over | down | with | against;We are very proud ________ this company.;of
translation;Prepositions;Choose the correct preposition;Complete the sentence correctly;She is at school;I go to work;The book is on the table;PREPOSITION ;up | into | towards | through | across | beside | throughout | around | between | before | during | above | behind | out of | of | about | after | by | from | to | for | over | down | with | against;It is very kind ________ you to help us.;of
translation;Prepositions;Choose the correct preposition;Complete the sentence correctly;She is at school;I go to work;The book is on the table;PREPOSITION ;up | into | towards | through | across | beside | throughout | around | between | before | during | above | behind | out of | of | about | after | by | from | to | for | over | down | with | against;The old man suffered ________ a heart attack.;from
translation;Prepositions;Choose the correct preposition;Complete the sentence correctly;She is at school;I go to work;The book is on the table;PREPOSITION ;up | into | towards | through | across | beside | throughout | around | between | before | during | above | behind | out of | of | about | after | by | from | to | for | over | down | with | against;It is ________ time you told him the truth.;about
translation;Prepositions;Choose the correct preposition;Complete the sentence correctly;She is at school;I go to work;The book is on the table;PREPOSITION ;up | into | towards | through | across | beside | throughout | around | between | before | during | above | behind | out of | of | about | after | by | from | to | for | over | down | with | against;We usually have turkey ________ Thanksgiving.;for
translation;Prepositions;Choose the correct preposition;Complete the sentence correctly;She is at school;I go to work;The book is on the table;PREPOSITION ;up | into | towards | through | across | beside | throughout | around | between | before | during | above | behind | out of | of | about | after | by | from | to | for | over | down | with | against;I would like to travel ________ Italy next summer.;to
translation;Prepositions;Choose the correct preposition;Complete the sentence correctly;She is at school;I go to work;The book is on the table;PREPOSITION ;up | into | towards | through | across | beside | throughout | around | between | before | during | above | behind | out of | of | about | after | by | from | to | for | over | down | with | against;I took a plane ________ Munich to Rome.;from
translation;Prepositions;Choose the correct preposition;Complete the sentence correctly;She is at school;I go to work;The book is on the table;PREPOSITION ;up | into | towards | through | across | beside | throughout | around | between | before | during | above | behind | out of | of | about | after | by | from | to | for | over | down | with | against;I would like to speak ________ the manager please.;with
translation;Prepositions;Choose the correct preposition;Complete the sentence correctly;She is at school;I go to work;The book is on the table;PREPOSITION ;up | into | towards | through | across | beside | throughout | around | between | before | during | above | behind | out of | of | about | after | by | from | to | for | over | down | with | against;My mother is abroad so my dad is taking care ________ us ________ the moment.;of at
translation;Prepositions;Choose the correct preposition;Complete the sentence correctly;She is at school;I go to work;The book is on the table;PREPOSITION ;up | into | towards | through | across | beside | throughout | around | between | before | during | above | behind | out of | of | about | after | by | from | to | for | over | down | with | against;My friend always borrows money ________ me.;from
translation;Prepositions;Choose the correct preposition;Complete the sentence correctly;She is at school;I go to work;The book is on the table;PREPOSITION ;up | into | towards | through | across | beside | throughout | around | between | before | during | above | behind | out of | of | about | after | by | from | to | for | over | down | with | against;He is responsible ________ what he does.;for
translation;Prepositions;Choose the correct preposition;Complete the sentence correctly;She is at school;I go to work;The book is on the table;PREPOSITION ;up | into | towards | through | across | beside | throughout | around | between | before | during | above | behind | out of | of | about | after | by | from | to | for | over | down | with | against;I am sorry ________ the job you did not get.;about
translation;Prepositions;Choose the correct preposition;Complete the sentence correctly;She is at school;I go to work;The book is on the table;PREPOSITION ;up | into | towards | through | across | beside | throughout | around | between | before | during | above | behind | out of | of | about | after | by | from | to | for | over | down | with | against;We had to climb slowly ________ the hill.;up
translation;Prepositions;Choose the correct preposition;Complete the sentence correctly;She is at school;I go to work;The book is on the table;PREPOSITION ;up | into | towards | through | across | beside | throughout | around | between | before | during | above | behind | out of | of | about | after | by | from | to | for | over | down | with | against;A university is where you study ________ a degree.;for
translation;Prepositions;Choose the correct preposition;Complete the sentence correctly;She is at school;I go to work;The book is on the table;PREPOSITION ;up | into | towards | through | across | beside | throughout | around | between | before | during | above | behind | out of | of | about | after | by | from | to | for | over | down | with | against;Many of us eat ________ fork and spoon.;with
translation;Prepositions;Choose the correct preposition;Complete the sentence correctly;She is at school;I go to work;The book is on the table;PREPOSITION ;up | into | towards | through | across | beside | throughout | around | between | before | during | above | behind | out of | of | about | after | by | from | to | for | over | down | with | against;We have been searching ________ a web designer for a few weeks now.;for
translation;Prepositions;Choose the correct preposition;Complete the sentence correctly;She is at school;I go to work;The book is on the table;PREPOSITION ;up | into | towards | through | across | beside | throughout | around | between | before | during | above | behind | out of | of | about | after | by | from | to | for | over | down | with | against;My brother and I have been ARGUING ________. this for years. (To debate or exchange opposing viewpoints on a particular topic with another person);about
translation;Prepositions;Choose the correct preposition;Complete the sentence correctly;She is at school;I go to work;The book is on the table;PREPOSITION ;up | into | towards | through | across | beside | throughout | around | between | before | during | above | behind | out of | of | about | after | by | from | to | for | over | down | with | against;Please ASK ________ the parking options.(To try to find out information about something by asking a lot of different people);about
translation;Prepositions;Choose the correct preposition;Complete the sentence correctly;She is at school;I go to work;The book is on the table;PREPOSITION ;up | into | towards | through | across | beside | throughout | around | between | before | during | above | behind | out of | of | about | after | by | from | to | for | over | down | with | against;He keeps BOASTING ________ his heroic actions.(To speak proudly of someone or something);about
translation;Prepositions;Choose the correct preposition;Complete the sentence correctly;She is at school;I go to work;The book is on the table;PREPOSITION ;up | into | towards | through | across | beside | throughout | around | between | before | during | above | behind | out of | of | about | after | by | from | to | for | over | down | with | against;There is nothing I CARE ________ more than my children.(important for you);about
