mode;topic;wordBank;question;answer
translation;100%;USUALLY, OFTEN, SOMETIMES, RARELY, NEVER;I _______ wake up at 7 a.m.;usually
translation;75%;USUALLY, OFTEN, SOMETIMES, RARELY, NEVER;She _______ visits her grandparents on weekends.;often
translation;50%;USUALLY, OFTEN, SOMETIMES, RARELY, NEVER;They _______ eat dinner at a restaurant.;sometimes
translation;25%;USUALLY, OFTEN, SOMETIMES, RARELY, NEVER;He _______ watches television during the week.;rarely
translation;0%;USUALLY, OFTEN, SOMETIMES, RARELY, NEVER;We _______ forget our anniversary.;never
translation;100%;USUALLY, OFTEN, SOMETIMES, RARELY, NEVER;My brother _______ drinks coffee before work.;usually
translation;75%;USUALLY, OFTEN, SOMETIMES, RARELY, NEVER;I _______ listen to music while studying.;often
translation;50%;USUALLY, OFTEN, SOMETIMES, RARELY, NEVER;She _______ takes the bus to work.;sometimes
translation;25%;USUALLY, OFTEN, SOMETIMES, RARELY, NEVER;They _______ go to the cinema these days.;rarely
translation;0%;USUALLY, OFTEN, SOMETIMES, RARELY, NEVER;He _______ eats spicy food.;never
translation;100%;USUALLY, OFTEN, SOMETIMES, RARELY, NEVER;The students _______ arrive on time.;usually
translation;75%;USUALLY, OFTEN, SOMETIMES, RARELY, NEVER;We _______ play board games together.;often
translation;50%;USUALLY, OFTEN, SOMETIMES, RARELY, NEVER;I _______ forget where I parked the car.;sometimes
translation;25%;USUALLY, OFTEN, SOMETIMES, RARELY, NEVER;She _______ misses an important meeting.;rarely
translation;0%;USUALLY, OFTEN, SOMETIMES, RARELY, NEVER;They _______ lie to their parents.;never
translation;100%;USUALLY, OFTEN, SOMETIMES, RARELY, NEVER;My dog _______ sleeps on the couch.;usually
translation;75%;USUALLY, OFTEN, SOMETIMES, RARELY, NEVER;He _______ goes for a walk after dinner.;often
translation;50%;USUALLY, OFTEN, SOMETIMES, RARELY, NEVER;We _______ travel during holidays.;sometimes
translation;25%;USUALLY, OFTEN, SOMETIMES, RARELY, NEVER;I _______ drink soft drinks.;rarely
translation;0%;USUALLY, OFTEN, SOMETIMES, RARELY, NEVER;She _______ skips breakfast.;never
translation;100%;USUALLY, OFTEN, SOMETIMES, RARELY, NEVER;The teacher _______ gives homework on Fridays.;usually
translation;75%;USUALLY, OFTEN, SOMETIMES, RARELY, NEVER;They _______ talk on the phone.;often
translation;50%;USUALLY, OFTEN, SOMETIMES, RARELY, NEVER;He _______ works from home.;sometimes
translation;25%;USUALLY, OFTEN, SOMETIMES, RARELY, NEVER;We _______ stay out late.;rarely
translation;0%;USUALLY, OFTEN, SOMETIMES, RARELY, NEVER;I _______ smoke cigarettes.;never
translation;100%;USUALLY, OFTEN, SOMETIMES, RARELY, NEVER;She _______ reads before going to bed.;usually
translation;75%;USUALLY, OFTEN, SOMETIMES, RARELY, NEVER;The children _______ play in the park.;often
translation;50%;USUALLY, OFTEN, SOMETIMES, RARELY, NEVER;I _______ cook dinner for my family.;sometimes
translation;25%;USUALLY, OFTEN, SOMETIMES, RARELY, NEVER;He _______ forgets his keys.;rarely
translation;0%;USUALLY, OFTEN, SOMETIMES, RARELY, NEVER;They _______ miss their flight.;never
translation;100%;USUALLY, OFTEN, SOMETIMES, RARELY, NEVER;We _______ have lunch at noon.;usually
translation;75%;USUALLY, OFTEN, SOMETIMES, RARELY, NEVER;She _______ buys books online.;often
translation;50%;USUALLY, OFTEN, SOMETIMES, RARELY, NEVER;The weather _______ changes suddenly.;sometimes
translation;25%;USUALLY, OFTEN, SOMETIMES, RARELY, NEVER;My parents _______ eat fast food.;rarely
translation;0%;USUALLY, OFTEN, SOMETIMES, RARELY, NEVER;He _______ drives without a seat belt.;never
translation;100%;USUALLY, OFTEN, SOMETIMES, RARELY, NEVER;I _______ check my emails in the morning.;usually
translation;75%;USUALLY, OFTEN, SOMETIMES, RARELY, NEVER;They _______ visit museums when traveling.;often
translation;50%;USUALLY, OFTEN, SOMETIMES, RARELY, NEVER;She _______ forgets her umbrella.;sometimes
translation;25%;USUALLY, OFTEN, SOMETIMES, RARELY, NEVER;We _______ order takeout food.;rarely
translation;0%;USUALLY, OFTEN, SOMETIMES, RARELY, NEVER;The baby _______ sleeps without a blanket.;never
translation;100%;USUALLY, OFTEN, SOMETIMES, RARELY, NEVER;He _______ exercises before work.;usually
translation;75%;USUALLY, OFTEN, SOMETIMES, RARELY, NEVER;I _______ watch documentaries.;often
translation;50%;USUALLY, OFTEN, SOMETIMES, RARELY, NEVER;They _______ go hiking on weekends.;sometimes
translation;25%;USUALLY, OFTEN, SOMETIMES, RARELY, NEVER;She _______ drinks energy drinks.;rarely
translation;0%;USUALLY, OFTEN, SOMETIMES, RARELY, NEVER;We _______ ignore safety instructions.;never
translation;100%;USUALLY, OFTEN, SOMETIMES, RARELY, NEVER;The manager _______ arrives early.;usually
translation;75%;USUALLY, OFTEN, SOMETIMES, RARELY, NEVER;My friends _______ invite me to parties.;often
translation;50%;USUALLY, OFTEN, SOMETIMES, RARELY, NEVER;I _______ read the news online.;sometimes
translation;25%;USUALLY, OFTEN, SOMETIMES, RARELY, NEVER;They _______ complain about their jobs.;rarely
translation;0%;USUALLY, OFTEN, SOMETIMES, RARELY, NEVER;She _______ leaves her phone at home.;never
