mode;topic;rule1;rule2;exampleA;exampleI;exampleN;type;wordBank;question;answer
translation;Present Simple;Use S/ES in afirmatives;Use DON'T/DOESN'T in negatives;She works every day;Does she work every day?;She does not work every day;SENTENCE BUILDER;.;(they / think it is a good idea);they think it is a good idea
translation;Present Simple;Use S/ES in afirmatives;Use DON'T/DOESN'T in negatives;She works every day;Does she work every day?;She does not work every day;SENTENCE BUILDER;.;(I / like trying new kinds of food);I like trying new kinds of food
translation;Present Simple;Use S/ES in afirmatives;Use DON'T/DOESN'T in negatives;She works every day;Does she work every day?;She does not work every day;SENTENCE BUILDER;.;(she / have three daughters);she has three daughters
translation;Present Simple;Use S/ES in afirmatives;Use DON'T/DOESN'T in negatives;She works every day;Does she work every day?;She does not work every day;SENTENCE BUILDER;.;(she / think about her holidays often);she thinks about her holidays often
translation;Present Simple;Use S/ES in afirmatives;Use DON'T/DOESN'T in negatives;She works every day;Does she work every day?;She does not work every day;SENTENCE BUILDER;.;(he / go to school every day);he goes to school every day
translation;Present Simple;Use S/ES in afirmatives;Use DON'T/DOESN'T in negatives;She works every day;Does she work every day?;She does not work every day;SENTENCE BUILDER;.;(I / like swimming);I like swimming
translation;Present Simple;Use S/ES in afirmatives;Use DON'T/DOESN'T in negatives;She works every day;Does she work every day?;She does not work every day;SENTENCE BUILDER;.;(you / play badminton on saturdays);you play badminton on saturdays
translation;Present Simple;Use S/ES in afirmatives;Use DON'T/DOESN'T in negatives;She works every day;Does she work every day?;She does not work every day;SENTENCE BUILDER;.;(the class / begin at 9am);the class begins at 9am
translation;Present Simple;Use S/ES in afirmatives;Use DON'T/DOESN'T in negatives;She works every day;Does she work every day?;She does not work every day;SENTENCE BUILDER;.;(they / sometimes go to the cinema);they sometimes go to the cinema
translation;Present Simple;Use S/ES in afirmatives;Use DON'T/DOESN'T in negatives;She works every day;Does she work every day?;She does not work every day;SENTENCE BUILDER;.;(she / love chocolate);she loves chocolate
translation;Present Simple;Use S/ES in afirmatives;Use DON'T/DOESN'T in negatives;She works every day;Does she work every day?;She does not work every day;SENTENCE BUILDER;.;(we / study French);we study French
translation;Present Simple;Use S/ES in afirmatives;Use DON'T/DOESN'T in negatives;She works every day;Does she work every day?;She does not work every day;SENTENCE BUILDER;.;(he / work in a restaurant);he works in a restaurant
translation;Present Simple;Use S/ES in afirmatives;Use DON'T/DOESN'T in negatives;She works every day;Does she work every day?;She does not work every day;SENTENCE BUILDER;.;(Lucy / play the guitar);Lucy plays the guitar
translation;Present Simple;Use S/ES in afirmatives;Use DON'T/DOESN'T in negatives;She works every day;Does she work every day?;She does not work every day;SENTENCE BUILDER;.;(we / cook every day);we cook every day
translation;Present Simple;Use S/ES in afirmatives;Use DON'T/DOESN'T in negatives;She works every day;Does she work every day?;She does not work every day;SENTENCE BUILDER;.;(he / clean the house at the weekends);he cleans the house at the weekends
translation;Present Simple;Use S/ES in afirmatives;Use DON'T/DOESN'T in negatives;She works every day;Does she work every day?;She does not work every day;SENTENCE BUILDER;.;(I / like reading detective stories);I like reading detective stories
translation;Present Simple;Use S/ES in afirmatives;Use DON'T/DOESN'T in negatives;She works every day;Does she work every day?;She does not work every day;SENTENCE BUILDER;.;(you / come from France);you come from France
translation;Present Simple;Use S/ES in afirmatives;Use DON'T/DOESN'T in negatives;She works every day;Does she work every day?;She does not work every day;SENTENCE BUILDER;.;(John and david / often go to restaurants);John and david often go to restaurants
translation;Present Simple;Use S/ES in afirmatives;Use DON'T/DOESN'T in negatives;She works every day;Does she work every day?;She does not work every day;SENTENCE BUILDER;.;(susie / study English every night);susie studies English every night
