question;hint;option1;option2;option3;answer
What do we call a condition in which a person has a high temperature?;"";fever;cough;rash;fever
What do we call a common illness that causes a runny nose and sneezing?;"";cold;fracture;allergy;cold
What do we call a sudden movement of air from the lungs?;"";cough;fever;bruise;cough
What do we call a condition that causes difficulty breathing?;"";asthma;headache;toothache;asthma
What do we call pain in your head?;"";headache;stomachache;sore throat;headache
What do we call pain in your stomach?;"";stomachache;backache;earache;stomachache
What do we call pain in your back?;"";backache;toothache;headache;backache
What do we call pain in your tooth?;"";toothache;stomachache;fever;toothache
What do we call pain in your ear?;"";earache;headache;backache;earache
What do we call pain or irritation in your throat?;"";sore throat;stomachache;rash;sore throat
What do we call a condition in which the skin becomes red and itchy?;"";rash;fever;cough;rash
What do we call an unpleasant feeling that makes you want to vomit?;"";nausea;fever;bruise;nausea
What do we call the act of bringing food back up from your stomach?;"";vomiting;sneezing;coughing;vomiting
What do we call the loss of liquid from the body?;"";dehydration;infection;fracture;dehydration
What do we call a condition caused by not having enough water in the body?;"";dehydration;allergy;fever;dehydration
What do we call an illness caused by harmful microorganisms?;"";infection;injury;headache;infection
What do we call a disease caused by a virus?;"";viral infection;fracture;bruise;viral infection
What do we call a disease caused by bacteria?;"";bacterial infection;allergy;burn;bacterial infection
What do we call the body's reaction to harmful substances such as pollen?;"";allergy;fracture;fever;allergy
What do we call a substance that causes an allergic reaction?;"";allergen;antibiotic;vitamin;allergen
What do we call medicine used to treat bacterial infections?;"";antibiotic;vitamin;painkiller;antibiotic
What do we call medicine used to reduce pain?;"";painkiller;antibiotic;bandage;painkiller
What do we call medicine used to reduce fever?;"";fever reducer;bandage;antiseptic;fever reducer
What do we call a medicine used to prevent or treat certain diseases?;"";medication;injury;symptom;medication
What do we call a sign that shows someone may be ill?;"";symptom;medicine;operation;symptom
What do we call a medical condition in which a person has difficulty sleeping?;"";insomnia;asthma;arthritis;insomnia
What do we call a condition that causes inflammation and pain in the joints?;"";arthritis;diabetes;flu;arthritis
What do we call a common illness that can cause fever, aches, and tiredness?;"";flu;allergy;burn;flu
What do we call extreme tiredness or lack of energy?;"";fatigue;fever;swelling;fatigue
What do we call an injury caused by hitting or falling that makes the skin turn blue or purple?;"";bruise;burn;fracture;bruise
What do we call an injury in which a bone breaks?;"";fracture;bruise;cut;fracture
What do we call damage to the skin caused by heat or fire?;"";burn;bruise;sprain;burn
What do we call a small injury in which the skin is cut?;"";cut;fever;allergy;cut
What do we call a wound made by something sharp?;"";cut;bruise;headache;cut
What do we call an injury to a joint caused by twisting it?;"";sprain;fracture;burn;sprain
What do we call an injury to a muscle caused by overstretching it?;"";strain;fever;rash;strain
What do we call a painful swelling caused by an injury?;"";swelling;allergy;cough;swelling
What do we call the process of getting better after an illness or injury?;"";recovery;infection;diagnosis;recovery
What do we call the process of returning to good health?;"";recovery;fracture;fever;recovery
What do we call the identification of a disease or medical condition?;"";diagnosis;treatment;injury;diagnosis
What do we call the medical care given to treat an illness?;"";treatment;symptom;diagnosis;treatment
What do we call a medical examination to check someone's health?;"";check-up;operation;infection;check-up
What do we call a doctor who specializes in children's health?;"";pediatrician;dentist;surgeon;pediatrician
What do we call a doctor who performs operations?;"";surgeon;dentist;pharmacist;surgeon
What do we call a healthcare professional who takes care of patients?;"";nurse;lawyer;engineer;nurse
What do we call a healthcare professional who prepares and gives medicines?;"";pharmacist;surgeon;dentist;pharmacist
What do we call a doctor who treats problems with teeth?;"";dentist;nurse;surgeon;dentist
What do we call a place where sick or injured people receive medical care?;"";hospital;pharmacy;school;hospital
What do we call a place where you can buy prescription medicines?;"";pharmacy;hospital;laboratory;pharmacy
What do we call a person receiving medical treatment?;"";patient;doctor;surgeon;patient
What do we call emergency medical care given immediately after an accident?;"";first aid;check-up;therapy;first aid
What do we call a person trained to give immediate medical assistance?;"";paramedic;dentist;pharmacist;paramedic
What do we call a vehicle used to transport sick or injured people?;"";ambulance;taxi;truck;ambulance
What do we call a serious situation requiring immediate medical attention?;"";emergency;check-up;recovery;emergency
What do we call treatment that involves an operation?;"";surgery;therapy;medication;surgery
What do we call treatment designed to help someone recover physically?;"";therapy;surgery;diagnosis;therapy
What do we call physical treatment used to help someone recover from an injury?;"";physiotherapy;pharmacy;vaccination;physiotherapy
What do we call a substance given to protect people from certain diseases?;"";vaccine;antibiotic;painkiller;vaccine
What do we call the process of giving someone a vaccine?;"";vaccination;diagnosis;surgery;vaccination
What do we call protection against a disease developed by the body?;"";immunity;infection;fatigue;immunity
What do we call a disease that spreads from person to person?;"";contagious disease;fracture;injury;contagious disease
What do we call a disease that can easily spread between people?;"";infectious disease;chronic disease;allergy;infectious disease
What do we call a disease that lasts for a long time?;"";chronic disease;temporary illness;infection;chronic disease
What do we call an illness that begins suddenly and lasts for a short time?;"";acute illness;chronic illness;disability;acute illness
What do we call a health condition that continues for many years?;"";chronic condition;acute injury;temporary illness;chronic condition
What do we call a condition in which the body cannot properly control blood sugar?;"";diabetes;asthma;arthritis;diabetes
What do we call a disease affecting the heart?;"";heart disease;skin infection;flu;heart disease
What do we call a disease affecting the lungs?;"";lung disease;toothache;arthritis;lung disease
What do we call a serious condition in which blood flow to the heart is blocked?;"";heart attack;headache;fracture;heart attack
What do we call a condition in which blood pressure is too high?;"";high blood pressure;low temperature;fever;high blood pressure
What do we call a condition in which blood pressure is unusually low?;"";low blood pressure;high fever;diabetes;low blood pressure
What do we call difficulty breathing?;"";shortness of breath;headache;toothache;shortness of breath
What do we call a feeling of being unable to breathe normally?;"";breathlessness;fatigue;swelling;breathlessness
What do we call a feeling that everything is spinning?;"";dizziness;nausea;fever;dizziness
What do we call a temporary loss of consciousness?;"";fainting;coughing;sneezing;fainting
What do we call the act of losing consciousness briefly?;"";fainting;vomiting;shivering;fainting
What do we call uncontrollable shaking caused by cold or illness?;"";shivering;sneezing;coughing;shivering
What do we call the act of forcing air out through your nose because of irritation?;"";sneezing;coughing;vomiting;sneezing
What do we call fluid produced by the nose during a cold?;"";mucus;sweat;blood;mucus
What do we call the liquid that comes from your eyes when you cry?;"";tears;sweat;mucus;tears
What do we call liquid produced by the body to cool itself?;"";sweat;tears;mucus;sweat
What do we call a condition in which the body temperature is dangerously high?;"";heatstroke;hypothermia;flu;heatstroke
What do we call a dangerous condition caused by extremely low body temperature?;"";hypothermia;heatstroke;fever;hypothermia
What do we call a condition in which a person has difficulty hearing?;"";hearing loss;vision loss;fever;hearing loss
What do we call difficulty seeing clearly?;"";poor vision;hearing loss;dehydration;poor vision
What do we call the inability to see?;"";blindness;deafness;arthritis;blindness
What do we call severe difficulty hearing or the inability to hear?;"";deafness;blindness;insomnia;deafness
What do we call a condition in which someone has difficulty remembering things?;"";memory loss;fever;fracture;memory loss
What do we call the feeling of being worried or nervous?;"";anxiety;fatigue;swelling;anxiety
What do we call a strong feeling of fear or worry?;"";anxiety;recovery;immunity;anxiety
What do we call a mental health condition involving persistent sadness?;"";depression;arthritis;allergy;depression
What do we call a period of rest when the body and mind recover?;"";sleep;infection;diagnosis;sleep
What do we call the amount of food and drink needed to keep the body healthy?;"";nutrition;medication;surgery;nutrition
What do we call substances in food that the body needs to stay healthy?;"";nutrients;viruses;antibiotics;nutrients
What do we call a balanced combination of foods and drinks?;"";healthy diet;infection;operation;healthy diet
What do we call regular physical activity that helps keep the body healthy?;"";exercise;medication;diagnosis;exercise
What do we call the habit of cleaning your body to stay healthy?;"";hygiene;nutrition;therapy;hygiene
What do we call cleaning your hands with soap and water?;"";handwashing;vaccination;exercise;handwashing
What do we call harmful substances that enter the body and cause illness?;"";toxins;vitamins;nutrients;toxins
What do we call a very small organism that can cause disease?;"";microorganism;vitamin;medicine;microorganism
What do we call a microscopic organism that can cause infections?;"";germ;nutrient;vaccine;germ
What do we call a disease-causing microorganism?;"";pathogen;vitamin;antibiotic;pathogen
What do we call a virus that causes a common respiratory illness?;"";virus;bacteria;allergen;virus
What do we call microscopic organisms that can cause some infections?;"";bacteria;vitamins;vaccines;bacteria
What do we call the body's natural ability to fight disease?;"";immune system;digestive system;skeletal system;immune system
What do we call the body's system responsible for breathing?;"";respiratory system;digestive system;nervous system;respiratory system
What do we call the system that processes food in the body?;"";digestive system;respiratory system;immune system;digestive system
What do we call the system that controls the brain and nerves?;"";nervous system;digestive system;respiratory system;nervous system
What do we call a condition in which a person has too little iron in the blood?;"";anemia;asthma;diabetes;anemia
What do we call a lack of a necessary vitamin or mineral?;"";deficiency;infection;fracture;deficiency
What do we call a substance needed by the body in small amounts to stay healthy?;"";vitamin;virus;toxin;vitamin
What do we call a mineral that the body needs for strong bones and teeth?;"";calcium;glucose;oxygen;calcium
What do we call the sugar in the blood that provides energy to the body?;"";glucose;calcium;protein;glucose
