question;hint;option1;option2;option3;answer
What do we call an organization that sells goods or services?;"";company;school;hospital;company
What do we call an organization created to make money?;"";business;charity;government;business
What do we call a person who starts and owns a business?;"";entrepreneur;employee;customer;entrepreneur
What do we call a person who owns part of a company?;"";shareholder;employee;customer;shareholder
What do we call a person who invests money in a business?;"";investor;employee;manager;investor
What do we call a person responsible for managing a company?;"";manager;customer;intern;manager
What do we call the person with the highest level of management in a company?;"";CEO;cashier;assistant;CEO
What does CEO stand for?;"";Chief Executive Officer;Chief Economic Operator;Company Employment Officer;Chief Executive Officer
What do we call the department responsible for money and financial planning?;"";finance department;marketing department;HR department;finance department
What do we call the department responsible for hiring employees?;"";human resources;finance;production;human resources
What do we call the department responsible for promoting products?;"";marketing;sales;finance;marketing
What do we call the department responsible for selling products?;"";sales;accounting;production;sales
What do we call the process of producing goods?;"";manufacturing;marketing;recruitment;manufacturing
What do we call a company that produces products?;"";manufacturer;retailer;customer;manufacturer
What do we call a company that sells products directly to customers?;"";retailer;manufacturer;supplier;retailer
What do we call a company that provides products to other businesses?;"";supplier;customer;employee;supplier
What do we call a person or company that buys goods or services?;"";customer;supplier;competitor;customer
What do we call another company that sells similar products?;"";competitor;partner;customer;competitor
What do we call a company that works together with another company?;"";partner;competitor;customer;partner
What do we call a business agreement between two companies?;"";partnership;competition;recruitment;partnership
What do we call a company that operates in many countries?;"";multinational;local business;startup;multinational
What do we call a business that operates mainly in one local area?;"";local business;multinational;corporation;local business
What do we call a new company with potential for rapid growth?;"";startup;factory;subsidiary;startup
What do we call a large company with separate departments and many employees?;"";corporation;startup;freelancer;corporation
What do we call a company controlled by another company?;"";subsidiary;competitor;partnership;subsidiary
What do we call the company that controls a subsidiary?;"";parent company;startup;retailer;parent company
What do we call the main office of a company?;"";headquarters;warehouse;branch;headquarters
What do we call an office or store belonging to a larger company?;"";branch;headquarters;factory;branch
What do we call a building where goods are stored?;"";warehouse;headquarters;office;warehouse
What do we call the process of buying products for a business?;"";procurement;marketing;recruitment;procurement
What do we call the process of managing goods from suppliers to customers?;"";supply chain;marketing plan;business trip;supply chain
What do we call the people and organizations involved in producing and delivering a product?;"";supply chain;management team;shareholders;supply chain
What do we call the movement of goods from one place to another?;"";distribution;recruitment;investment;distribution
What do we call a company that transports goods to customers?;"";distributor;competitor;shareholder;distributor
What do we call the process of finding customers for a product?;"";marketing;accounting;manufacturing;marketing
