question;hint;option1;option2;option3;answer
What do we call a person who commits a crime?;"";criminal;victim;witness;criminal
What do we call a person who suffers because of a crime?;"";victim;criminal;judge;victim
What do we call a person who sees a crime happen?;"";witness;lawyer;thief;witness
What do we call someone who steals things?;"";thief;judge;victim;thief
What do we call the act of taking something that belongs to someone else?;"";theft;trial;sentence;theft
What do we call the act of taking someone's property using force or threats?;"";robbery;fraud;vandalism;robbery
What do we call stealing from a person's home?;"";burglary;forgery;bribery;burglary
What do we call the crime of killing another person?;"";murder;theft;fraud;murder
What do we call killing someone accidentally or through negligence?;"";manslaughter;robbery;burglary;manslaughter
What do we call the crime of deliberately damaging property?;"";vandalism;fraud;theft;vandalism
What do we call the crime of taking money through dishonest methods?;"";fraud;burglary;assault;fraud
What do we call the crime of making fake documents or money?;"";forgery;robbery;theft;forgery
What do we call money given illegally to influence someone?;"";bribe;fine;sentence;bribe
What do we call the act of offering illegal money to someone?;"";bribery;theft;burglary;bribery
What do we call an attack that causes physical harm?;"";assault;fraud;theft;assault
What do we call the act of threatening someone with violence?;"";threat;trial;fine;threat
What do we call a serious crime?;"";felony;mistake;warning;felony
What do we call a less serious crime?;"";misdemeanor;felony;murder;misdemeanor
What do we call breaking the law?;"";offense;witness;appeal;offense
What do we call an illegal action?;"";crime;punishment;verdict;crime
What do we call the person who decides a case in court?;"";judge;witness;criminal;judge
What do we call the person who represents someone accused of a crime?;"";lawyer;judge;police officer;lawyer
What do we call a lawyer who represents the government in a criminal case?;"";prosecutor;witness;victim;prosecutor
What do we call the person accused of a crime?;"";defendant;judge;witness;defendant
What do we call the person who reports or suffers from a crime?;"";victim;defendant;lawyer;victim
What do we call the official process of deciding whether someone is guilty?;"";trial;theft;arrest;trial
What do we call the decision made by a court?;"";verdict;crime;appeal;verdict
What do we call a decision that someone is responsible for a crime?;"";guilty;innocent;legal;guilty
What do we call a decision that someone did not commit the crime?;"";innocent;guilty;criminal;innocent
What do we call evidence that proves someone committed a crime?;"";proof;sentence;fine;proof
What do we call information used to show that someone committed a crime?;"";evidence;punishment;prison;evidence
What do we call physical evidence found at a crime scene?;"";clue;sentence;appeal;clue
What do we call the place where a crime happened?;"";crime scene;courtroom;prison;crime scene
What do we call the process of examining a crime?;"";investigation;punishment;trial;investigation
What do we call a person who investigates crimes?;"";detective;judge;lawyer;detective
What do we call a person who enforces the law?;"";police officer;witness;criminal;police officer
What do we call taking someone into police custody?;"";arrest;trial;appeal;arrest
What do we call a document that allows police to arrest someone?;"";warrant;verdict;sentence;warrant
What do we call a document that allows police to search a place?;"";search warrant;fine;appeal;search warrant
What do we call the place where a trial takes place?;"";courtroom;prison;crime scene;courtroom
What do we call the building where legal cases are heard?;"";courthouse;police station;prison;courthouse
What do we call the place where criminals are kept as punishment?;"";prison;courtroom;station;prison
What do we call a person kept in prison?;"";prisoner;judge;witness;prisoner
What do we call the punishment of being kept in prison?;"";imprisonment;warning;fine;imprisonment
What do we call money paid as punishment for a crime?;"";fine;sentence;warrant;fine
What do we call the punishment given by a court?;"";sentence;verdict;evidence;sentence
What do we call a punishment that requires someone to work for the community?;"";community service;prison;fine;community service
What do we call a period during which a criminal must follow certain rules instead of going to prison?;"";probation;trial;appeal;probation
