question;hint;option1;option2;option3;answer
What do we call the general condition of someone's body and mind?;"";health;wealth;height;health
What do we call physical activity that keeps the body strong and healthy?;"";exercise;medicine;disease;exercise
What do we call regular physical activity done to improve fitness?;"";workout;illness;diet;workout
What do we call a planned period of physical exercise?;"";training;recovery;injury;training
What do we call the ability to perform physical activity without getting tired quickly?;"";stamina;weight;posture;stamina
What do we call the ability of muscles to produce force?;"";strength;balance;flexibility;strength
What do we call the ability to move your body easily through a wide range of motion?;"";flexibility;strength;speed;flexibility
What do we call the ability to control your body and stay stable?;"";balance;stamina;power;balance
What do we call how quickly someone can move?;"";speed;strength;weight;speed
What do we call the ability to continue an activity for a long time?;"";endurance;flexibility;balance;endurance
What do we call exercises that increase muscle size and strength?;"";strength training;stretching;meditation;strength training
What type of exercise increases the heart rate for an extended period?;"";cardio;stretching;weightlifting;cardio
What do we call exercises that improve the flexibility of muscles?;"";stretching;cardio;sprinting;stretching
What do we call lifting weights to make muscles stronger?;"";weightlifting;running;swimming;weightlifting
What do we call moving quickly on foot?;"";running;cycling;rowing;running
What do we call moving through water as exercise?;"";swimming;running;hiking;swimming
What do we call riding a bicycle as exercise?;"";cycling;rowing;jogging;cycling
What do we call running at a slow or moderate pace?;"";jogging;sprinting;lifting;jogging
What do we call running very fast for a short distance?;"";sprinting;jogging;walking;sprinting
What do we call walking for exercise, especially in nature?;"";hiking;swimming;cycling;hiking
What do we call an exercise where you move between different stations?;"";circuit training;weightlifting;meditation;circuit training
What do we call an exercise using your own body weight for resistance?;"";bodyweight exercise;cardio;stretching;bodyweight exercise
What do we call an exercise that trains the muscles of the abdomen?;"";crunch;push-up;squat;crunch
What exercise involves lowering and raising your body using your arms?;"";push-up;squat;plank;push-up
What exercise involves bending your knees and lowering your body?;"";squat;push-up;crunch;squat
What exercise involves holding your body straight while supporting yourself on your arms?;"";plank;squat;lunge;plank
What exercise involves stepping forward and bending both knees?;"";lunge;plank;crunch;lunge
What do we call exercise that improves the heart and lungs?;"";aerobic exercise;strength training;stretching;aerobic exercise
What do we call exercise that uses resistance to build muscle?;"";resistance training;cardio;meditation;resistance training
What do we call the period after exercise when the body returns to normal?;"";recovery;training;warm-up;recovery
What do we do before exercise to prepare the body?;"";warm up;cool down;rest;warm up
What do we do after exercise to gradually lower our heart rate?;"";cool down;warm up;sprint;cool down
What do we call the number of times the heart beats per minute?;"";heart rate;blood pressure;body weight;heart rate
What do we call the force of blood against the walls of the arteries?;"";blood pressure;heart rate;body temperature;blood pressure
What do we call the number of breaths taken per minute?;"";breathing rate;heart rate;blood pressure;breathing rate
What do we call the amount of water in the body?;"";hydration;nutrition;strength;hydration
What should we drink regularly to prevent dehydration?;"";water;coffee;soda;water
What do we call a lack of enough water in the body?;"";dehydration;nutrition;fatigue;dehydration
What do we call the feeling of needing to drink?;"";thirst;hunger;fatigue;thirst
What do we call the feeling of needing food?;"";hunger;thirst;stress;hunger
What do we call the process of providing the body with food and nutrients?;"";nutrition;hydration;exercise;nutrition
What do we call substances in food that the body needs to function?;"";nutrients;calories;diseases;nutrients
What do we call substances that provide energy in food?;"";calories;vitamins;minerals;calories
What nutrient is mainly used to build and repair muscles?;"";protein;fiber;water;protein
What nutrient is the body's main source of energy?;"";carbohydrate;protein;vitamin;carbohydrate
What nutrient helps the body store energy and absorb certain vitamins?;"";fat;protein;fiber;fat
What nutrient helps keep the digestive system healthy?;"";fiber;fat;protein;fiber
