question;hint;option1;option2;option3;answer
What do we call a place where people buy products?;"";store;hospital;school;store
What do we call a large store that sells many different types of products?;"";department store;bakery;garage;department store
What do we call a shop that sells food and household products?;"";supermarket;pharmacy;bookstore;supermarket
What do we call a small shop that sells everyday items?;"";convenience store;department store;shopping mall;convenience store
What do we call a large building containing many different shops?;"";shopping mall;market;warehouse;shopping mall
What do we call a place where people buy fresh food from different sellers?;"";market;factory;office;market
What do we call a shop that sells bread and cakes?;"";bakery;butcher;pharmacy;bakery
What do we call a shop that sells meat?;"";butcher;bakery;bookstore;butcher
What do we call a shop that sells medicines?;"";pharmacy;bakery;supermarket;pharmacy
What do we call a shop that sells books?;"";bookstore;butcher;pharmacy;bookstore
What do we call a shop that sells clothes?;"";clothing store;bakery;hardware store;clothing store
What do we call a shop that sells electronic devices?;"";electronics store;bookstore;bakery;electronics store
What do we call a shop that sells flowers?;"";florist;butcher;pharmacy;florist
What do we call a shop that sells jewelry?;"";jewelry store;bakery;supermarket;jewelry store
What do we call a shop that sells furniture?;"";furniture store;pharmacy;bookstore;furniture store
What do we call a person who buys something?;"";customer;seller;manager;customer
What do we call a person who sells products?;"";seller;customer;borrower;seller
What do we call a person who helps customers in a store?;"";sales assistant;customer;cashier;sales assistant
What do we call a person who receives payment at a store?;"";cashier;manager;customer;cashier
What do we call a person who manages a store?;"";store manager;cashier;customer;store manager
What do we call a product that is being sold?;"";item;receipt;cashier;item
What do we call something that a customer buys?;"";purchase;discount;salary;purchase
What do we call the act of buying something?;"";purchase;sale;refund;purchase
What do we call the amount of money something costs?;"";price;profit;salary;price
What do we call the amount of money paid for a product?;"";cost;income;tax;cost
What do we call a reduction in the price of something?;"";discount;profit;interest;discount
What do we call a special period when products are sold at lower prices?;"";sale;purchase;refund;sale
What do we call a product sold for less than its usual price?;"";bargain;luxury;receipt;bargain
What do we call something that is very cheap compared with its value?;"";bargain;expense;brand;bargain
What do we call the original price before a discount?;"";regular price;sale price;final price;regular price
What do we call the price after a discount has been applied?;"";sale price;regular price;wholesale price;sale price
What do we call a document showing what you bought and how much you paid?;"";receipt;invoice;contract;receipt
What do we call a document requesting payment for goods or services?;"";invoice;receipt;coupon;invoice
What do we call a ticket or code that gives you a discount?;"";coupon;receipt;invoice;coupon
What do we call a card that allows you to pay without using cash?;"";credit card;receipt;coupon;credit card
What do we call a card linked directly to your bank account?;"";debit card;credit card;gift card;debit card
What do we call a card containing money that can be spent in a particular store?;"";gift card;debit card;credit card;gift card
What do we call physical money in the form of notes and coins?;"";cash;credit;loan;cash
What do we call metal money used for payment?;"";coins;notes;checks;coins
What do we call paper money?;"";banknotes;coins;coupons;banknotes
What do we call money that a person earns from working?;"";salary;rent;debt;salary
What do we call money received regularly from a job or business?;"";income;expense;loan;income
What do we call money that a person spends?;"";expense;income;profit;expense
What do we call money left after expenses have been paid?;"";savings;debt;tax;savings
What do we call money kept for future use?;"";savings;salary;interest;savings
What do we call money that someone owes?;"";debt;income;profit;debt
What do we call money borrowed from a bank?;"";loan;salary;discount;loan
What do we call the extra money paid for borrowing money?;"";interest;discount;profit;interest
What do we call money earned from an investment?;"";profit;debt;expense;profit
What do we call money lost when a business spends more than it earns?;"";loss;profit;income;loss
What do we call money paid to the government?;"";tax;salary;discount;tax
What do we call a plan for how to spend and save money?;"";budget;receipt;loan;budget
What do we call the amount of money available to spend?;"";budget;discount;debt;budget
What do we call keeping money instead of spending it?;"";saving;shopping;borrowing;saving
What do we call buying something using money that you do not currently have?;"";borrowing;saving;earning;borrowing
What do we call giving money to someone with the expectation that it will be returned?;"";lending;borrowing;spending;lending
What do we call getting money that you must return later?;"";borrowing;earning;saving;borrowing
What do we call the process of putting money into a bank account?;"";deposit;withdrawal;purchase;deposit
What do we call taking money out of a bank account?;"";withdrawal;deposit;investment;withdrawal
What do we call an account used to keep money in a bank?;"";bank account;wallet;cash register;bank account
What do we call a small book or card showing bank transactions?;"";bank statement;receipt;coupon;bank statement
What do we call a record showing money coming into and leaving a bank account?;"";bank statement;invoice;contract;bank statement
What do we call a machine that allows you to withdraw cash from your bank account?;"";ATM;cash register;scanner;ATM
What do we call a machine used by a cashier to process payments?;"";cash register;ATM;printer;cash register
What do we call a machine that reads information from a payment card?;"";card reader;cash register;ATM;card reader
What do we call paying for something using a bank card?;"";card payment;cash withdrawal;bank transfer;card payment
What do we call moving money from one bank account to another?;"";bank transfer;cash payment;deposit;bank transfer
What do we call paying for something using physical money?;"";cash payment;card payment;bank transfer;cash payment
What do we call a payment made regularly for a service?;"";subscription;discount;refund;subscription
What do we call money returned to a customer after they return a product?;"";refund;profit;discount;refund
What do we call returning a product to a store?;"";return;purchase;sale;return
What do we call replacing a product with another one?;"";exchange;refund;purchase;exchange
What do we call a product that is broken or does not work properly?;"";defective;discounted;expensive;defective
What do we call a promise from a company to repair or replace a product?;"";warranty;receipt;coupon;warranty
What do we call the quality of a product compared with its price?;"";value;discount;profit;value
What do we call a product made by a particular company?;"";brand;receipt;price;brand
What do we call a product sold under the store's own name?;"";store brand;luxury brand;global brand;store brand
What do we call products that are very expensive and high quality?;"";luxury goods;basic goods;discount goods;luxury goods
What do we call products that people need for everyday life?;"";essential goods;luxury goods;collectibles;essential goods
What do we call products bought for enjoyment rather than necessity?;"";luxury goods;essential goods;household bills;luxury goods
What do we call the process of comparing prices before buying something?;"";price comparison;shopping list;payment;price comparison
What do we call a list of things you plan to buy?;"";shopping list;receipt;invoice;shopping list
What do we call buying products through a website?;"";online shopping;window shopping;wholesale;online shopping
What do we call looking at products without intending to buy them?;"";window shopping;online shopping;bulk buying;window shopping
What do we call buying a large quantity of something at once?;"";bulk buying;window shopping;retailing;bulk buying
What do we call selling products directly to customers?;"";retailing;wholesaling;borrowing;retailing
What do we call selling products in large quantities to businesses?;"";wholesaling;retailing;shopping;wholesaling
What do we call a business that sells goods to customers?;"";retailer;manufacturer;borrower;retailer
What do we call a company that produces goods?;"";manufacturer;retailer;customer;manufacturer
What do we call a person or company that supplies products to a business?;"";supplier;customer;cashier;supplier
What do we call the total amount of money charged for several products?;"";total;discount;deposit;total
What do we call the amount of money returned when you pay more than the price?;"";change;profit;interest;change
What do we call a payment made before receiving a product or service?;"";deposit;refund;change;deposit
What do we call the remaining amount of money that must be paid?;"";balance;discount;profit;balance
What do we call an amount of money that is paid every month for a service or loan?;"";installment;coupon;refund;installment
What do we call paying for something in several smaller amounts?;"";installment plan;cash payment;refund;installment plan
What do we call a payment made automatically on a regular basis?;"";automatic payment;cash payment;refund;automatic payment
