question;hint;option1;option2;option3;answer
What do we call the time when you get up in the morning?;"";wake-up time;bedtime;lunch time;wake-up time
What do we call the first meal of the day?;"";breakfast;lunch;dinner;breakfast
What do we call the meal eaten around midday?;"";lunch;breakfast;dinner;lunch
What do we call the last main meal of the day?;"";dinner;lunch;breakfast;dinner
What do we call a small amount of food eaten between meals?;"";snack;dessert;starter;snack
What do we call the first thing you do when you wake up?;"";get up;go out;fall asleep;get up
What do we call the action of getting out of bed?;"";get up;lie down;fall asleep;get up
What do we call the action of going to bed?;"";go to bed;get dressed;wake up;go to bed
What do we call the time when you normally go to sleep?;"";bedtime;lunch time;break time;bedtime
What do we call sleeping for a short period during the day?;"";nap;breakfast;shift;nap
What do we call washing your whole body?;"";shower;brush;dress;shower
What do we call cleaning your teeth with a toothbrush?;"";brush your teeth;wash your face;comb your hair;brush your teeth
What do we use to clean our teeth?;"";toothbrush;comb;towel;toothbrush
What do we use to clean our teeth together with a toothbrush?;"";toothpaste;shampoo;soap;toothpaste
What do we call cleaning our hair with shampoo?;"";wash your hair;brush your teeth;dry your hands;wash your hair
What do we use to wash our hair?;"";shampoo;toothpaste;detergent;shampoo
What do we use to dry ourselves after a shower?;"";towel;blanket;carpet;towel
What do we call putting clothes on?;"";get dressed;get undressed;go to bed;get dressed
What do we call taking clothes off?;"";get undressed;get dressed;wake up;get undressed
What do we call choosing what clothes to wear?;"";choose an outfit;make a meal;take a shower;choose an outfit
What do we call clothes worn for sleeping?;"";pajamas;suit;uniform;pajamas
What do we call clothes worn for exercising?;"";sportswear;formalwear;uniform;sportswear
What do we call clothes worn for formal occasions?;"";formalwear;sportswear;nightwear;formalwear
What do we call clothes that you wear every day?;"";casual clothes;formalwear;uniform;casual clothes
What do we call clothes that identify members of a school or organization?;"";uniform;casual clothes;pajamas;uniform
What do we call the activity of cleaning clothes?;"";laundry;shopping;cooking;laundry
What machine is used to wash clothes?;"";washing machine;dishwasher;dryer;washing machine
What machine is used to dry clothes?;"";dryer;oven;washing machine;dryer
What do we call clothes that need to be washed?;"";dirty laundry;clean laundry;bed linen;dirty laundry
What do we call clothes that have already been washed?;"";clean laundry;dirty laundry;workwear;clean laundry
What do we call the activity of preparing food?;"";cooking;cleaning;shopping;cooking
What do we call the activity of buying food and household items?;"";shopping;cooking;washing;shopping
What do we call a list of things you need to buy?;"";shopping list;to-do list;guest list;shopping list
What do we call food prepared and eaten at home?;"";home-cooked meal;fast food;takeaway;home-cooked meal
What do we call food bought from a restaurant and eaten at home?;"";takeaway;home-cooked meal;breakfast;takeaway
What do we call food prepared quickly and usually bought from a restaurant?;"";fast food;home-cooked food;fresh food;fast food
What do we call the activity of preparing food for several days in advance?;"";meal preparation;house cleaning;shopping;meal preparation
What do we call food kept in the refrigerator?;"";leftovers;groceries;takeaway;leftovers
What do we call food remaining after a meal?;"";leftovers;ingredients;snacks;leftovers
What do we call the ingredients and food bought for the home?;"";groceries;furniture;clothes;groceries
What do we call a place where people buy groceries?;"";supermarket;pharmacy;library;supermarket
What do we call paying for products at a store?;"";checkout;delivery;reservation;checkout
What do we call the person who takes payment in a store?;"";cashier;waiter;driver;cashier
What do we call food delivered to your home?;"";food delivery;takeaway;groceries;food delivery
What do we call a person who brings food or packages to your home?;"";delivery driver;cashier;waiter;delivery driver
What do we call cleaning the house?;"";housework;homework;shopping;housework
What do we call work such as cleaning, washing, and cooking at home?;"";household chores;business tasks;schoolwork;household chores
What do we call a task that you regularly do at home?;"";chore;hobby;career;chore
What do we use to sweep the floor?;"";broom;mop;vacuum;broom
What do we use to clean the floor with water?;"";mop;broom;brush;mop
What machine is used to remove dust from floors?;"";vacuum cleaner;washing machine;dishwasher;vacuum cleaner
What do we call washing plates, cups, and cutlery?;"";washing the dishes;doing laundry;cleaning windows;washing the dishes
What machine can wash dishes automatically?;"";dishwasher;washing machine;dryer;dishwasher
What do we call cleaning dust from furniture?;"";dusting;sweeping;washing;dusting
What do we call cleaning windows?;"";window cleaning;laundry;gardening;window cleaning
What do we call taking rubbish out of the house?;"";taking out the trash;doing laundry;going shopping;taking out the trash
What do we call waste that needs to be thrown away?;"";trash;groceries;furniture;trash
What do we call separating paper, glass, and plastic for reuse?;"";recycling;shopping;cleaning;recycling
What do we call taking care of plants?;"";gardening;cooking;driving;gardening
What do we call cutting grass in the garden?;"";mowing the lawn;washing the car;planting flowers;mowing the lawn
What do we call cleaning a car?;"";washing the car;doing laundry;gardening;washing the car
What do we call repairing something that is broken?;"";fixing;buying;borrowing;fixing
What do we call paying money regularly for a service?;"";subscription;refund;discount;subscription
What do we call paying a company for electricity, water, or internet?;"";bill;salary;bonus;bill
What do we call a document showing how much you owe for a service?;"";bill;receipt;ticket;bill
What do we call money paid regularly to live in a rented home?;"";rent;salary;tax;rent
What do we call money paid for electricity at home?;"";electricity bill;rent;salary;electricity bill
What do we call money paid for internet service?;"";internet bill;shopping list;receipt;internet bill
What do we call money received from your job?;"";salary;rent;bill;salary
What do we call keeping money for future use?;"";saving;spending;borrowing;saving
What do we call using money to buy something?;"";spending;saving;earning;spending
What do we call money borrowed that must be paid back?;"";loan;salary;discount;loan
What do we call checking how much money is in your bank account?;"";checking your balance;paying rent;making a purchase;checking your balance
What do we call sending money from one bank account to another?;"";bank transfer;cash withdrawal;shopping;bank transfer
What do we call taking money out of a bank account?;"";withdrawal;deposit;transfer;withdrawal
What do we call putting money into a bank account?;"";deposit;withdrawal;purchase;deposit
What do we call using a card to pay for something?;"";card payment;cash withdrawal;bank transfer;card payment
What do we call money kept in your bank account?;"";savings;debt;expense;savings
What do we call traveling to work every day?;"";commuting;shopping;relaxing;commuting
What do we call traveling regularly between home and work?;"";commute;vacation;journey;commute
What do we call the busy period when many people travel to work?;"";rush hour;bedtime;lunch break;rush hour
What do we call a short period of rest during work?;"";break;shift;meeting;break
What do we call the time when you work?;"";working hours;bedtime;free time;working hours
What do we call time when you are not working?;"";free time;working hours;deadline;free time
What do we call activities you enjoy doing in your free time?;"";hobbies;chores;duties;hobbies
What do we call an activity done for pleasure rather than work?;"";hobby;career;job;hobby
What do we call watching movies or TV to relax?;"";entertainment;commuting;housework;entertainment
What do we call meeting friends for a social activity?;"";socializing;working;studying;socializing
What do we call spending time with friends or family?;"";socializing;commuting;shopping;socializing
What do we call inviting people to your home for a meal or celebration?;"";hosting;commuting;shopping;hosting
What do we call a person who visits your home?;"";guest;neighbor;tenant;guest
What do we call someone who lives near you?;"";neighbor;guest;customer;neighbor
What do we call making plans to meet someone?;"";arranging a meeting;doing laundry;paying a bill;arranging a meeting
What do we call a planned meeting with someone?;"";appointment;vacation;chores;appointment
What do we call a meeting with a doctor?;"";doctor's appointment;business trip;shopping trip;doctor's appointment
What do we call a meeting with a friend for coffee or food?;"";meet-up;appointment;interview;meet-up
What do we call a short trip to buy something?;"";shopping trip;business trip;school trip;shopping trip
What do we call a trip taken for pleasure?;"";holiday;commute;work shift;holiday
What do we call a period when you take time away from work?;"";vacation;commute;deadline;vacation
What do we call preparing everything you need before leaving home?;"";getting ready;checking out;going shopping;getting ready
What do we call leaving home to go somewhere?;"";go out;stay in;wake up;go out
What do we call remaining at home instead of going out?;"";stay in;go out;check in;stay in
What do we call returning home after going somewhere?;"";come back;go out;set off;come back
What do we call starting a journey?;"";set off;come back;stay in;set off
What do we call arriving at a place?;"";arrive;leave;set off;arrive
What do we call leaving a place?;"";leave;arrive;stay;leave
