question;hint;option1;option2;option3;answer
What do we wear on our head?;"";hat;scarf;belt;hat
What do we wear around our neck to keep warm?;"";scarf;gloves;socks;scarf
What do we wear on our hands in cold weather?;"";gloves;boots;shorts;gloves
What do we wear on our feet inside shoes?;"";socks;gloves;hat;socks
What do we wear to protect our eyes from the sun?;"";sunglasses;gloves;scarf;sunglasses
What do we wear around our waist to hold up trousers?;"";belt;tie;scarf;belt
What do men often wear around their neck with a formal shirt?;"";tie;belt;cap;tie
What do we wear when it is raining?;"";raincoat;swimsuit;sandals;raincoat
What do we wear when swimming?;"";swimsuit;suit;coat;swimsuit
What do we wear when going to bed?;"";pajamas;jeans;uniform;pajamas
What do we wear when exercising?;"";sportswear;formalwear;nightwear;sportswear
What do we wear for a formal business occasion?;"";suit;shorts;tracksuit;suit
What do we wear on our upper body with sleeves and buttons?;"";shirt;skirt;sock;shirt
What do we wear on our legs that is usually made of denim?;"";jeans;blouse;vest;jeans
What do women often wear that covers the body and hangs down to the legs?;"";dress;tie;trousers;dress
What do we wear on our legs that can be short or long?;"";trousers;shirt;hat;trousers
What do we wear that is shorter than trousers and covers the upper legs?;"";shorts;coat;scarf;shorts
What do women often wear instead of trousers?;"";skirt;shirt;tie;skirt
What do we wear over a shirt to keep warm?;"";sweater;sandals;socks;sweater
What do we wear over other clothes when it is cold outside?;"";coat;shirt;shorts;coat
What do we wear when the weather is slightly cold?;"";jacket;swimsuit;sandal;jacket
What do we wear over a shirt as part of a formal outfit?;"";blazer;scarf;shorts;blazer
What do we wear under a shirt?;"";undershirt;coat;hat;undershirt
What do women often wear under clothes for support?;"";bra;belt;scarf;bra
What type of clothing is worn close to the skin under other clothes?;"";underwear;outerwear;formalwear;underwear
What do we wear on our feet for running or exercise?;"";trainers;slippers;heels;trainers
What do we wear on our feet when walking in the rain?;"";boots;sandals;slippers;boots
What type of shoes are open and often worn in hot weather?;"";sandals;boots;sneakers;sandals
What do we wear indoors to keep our feet comfortable?;"";slippers;boots;heels;slippers
What type of shoes have a raised heel?;"";high heels;trainers;sandals;high heels
What do we call shoes used for sports?;"";sneakers;formal shoes;boots;sneakers
What do we wear for a wedding or other formal occasion?;"";formalwear;sportswear;nightwear;formalwear
What do we call clothes worn for everyday activities?;"";casual clothes;formalwear;uniform;casual clothes
What do students often wear at schools with a dress code?;"";uniform;costume;suit;uniform
What do workers wear to identify their profession or company?;"";uniform;swimsuit;pajamas;uniform
What do actors wear to look like a particular character?;"";costume;uniform;underwear;costume
What do we call clothes designed for exercising?;"";sportswear;nightwear;formalwear;sportswear
What do we call clothes designed for sleeping?;"";nightwear;outerwear;workwear;nightwear
What do we call clothes designed to protect us from cold weather?;"";outerwear;underwear;swimwear;outerwear
What do we call clothes designed for swimming?;"";swimwear;workwear;nightwear;swimwear
What do we call a shirt with short sleeves?;"";T-shirt;coat;blazer;T-shirt
What do we call a shirt with long sleeves and buttons?;"";button-up shirt;T-shirt;vest;button-up shirt
What do we call a shirt with a collar and buttons but no tie?;"";polo shirt;sweater;hoodie;polo shirt
What do we call a warm top with a hood?;"";hoodie;vest;blouse;hoodie
What do we call a sleeveless piece of clothing worn over a shirt?;"";vest;coat;scarf;vest
What do we call a warm knitted piece of clothing worn on the upper body?;"";sweater;tie;shorts;sweater
What do we call a knitted top that usually opens at the front?;"";cardigan;hoodie;T-shirt;cardigan
What do we call a woman's shirt or top?;"";blouse;trousers;vest;blouse
What do we call trousers made from denim?;"";jeans;leggings;shorts;jeans
What do we call tight trousers made from stretchy material?;"";leggings;jeans;shorts;leggings
What do we call loose trousers often worn for exercise?;"";sweatpants;jeans;formal trousers;sweatpants
What do we call trousers that end above the ankle?;"";cropped trousers;suit trousers;jeans;cropped trousers
What do we call a long piece of clothing worn over other clothes?;"";coat;T-shirt;vest;coat
What do we call a light jacket often worn in spring?;"";jacket;swimsuit;pajamas;jacket
What do we call a waterproof coat for rainy weather?;"";raincoat;blazer;cardigan;raincoat
What do we call a long warm coat worn in winter?;"";overcoat;T-shirt;vest;overcoat
What do we call a coat filled with material to keep the body warm?;"";puffer jacket;blouse;skirt;puffer jacket
What do we call a piece of clothing worn around the neck?;"";scarf;belt;bracelet;scarf
What do we call a small hat with a visor, often worn casually?;"";cap;helmet;beret;cap
What do we wear to protect our head when riding a bicycle?;"";helmet;cap;scarf;helmet
What do we call a soft round hat often associated with France?;"";beret;cap;helmet;beret
What do we call a traditional Scottish piece of clothing worn around the waist?;"";kilt;skirt;robe;kilt
What do we call a long loose piece of clothing worn at home or for relaxing?;"";robe;suit;blazer;robe
What do we call clothing worn by judges or graduates during ceremonies?;"";gown;hoodie;shorts;gown
What do we call a long piece of clothing worn by women on formal occasions?;"";gown;T-shirt;jeans;gown
What do we call a one-piece outfit that covers the body and legs?;"";jumpsuit;blouse;cardigan;jumpsuit
What do we call a one-piece item of clothing worn mainly by women?;"";dress;suit;vest;dress
What do we call a two-piece formal outfit consisting of a jacket and trousers?;"";suit;uniform;tracksuit;suit
What do we call clothing worn by a bride?;"";wedding dress;raincoat;nightdress;wedding dress
What do we call a loose dress worn mainly for sleeping?;"";nightdress;uniform;blazer;nightdress
What do we call clothes worn by babies as a single piece?;"";romper;suit;cardigan;romper
What do we call a piece of clothing used to cover a baby's body?;"";baby romper;blazer;skirt;baby romper
What do we call clothing worn by swimmers for competition?;"";swimsuit;overcoat;uniform;swimsuit
What do we call tight clothing worn for cycling?;"";cycling shorts;formal trousers;skirt;cycling shorts
What do we call clothing worn by athletes during a game?;"";sports uniform;formalwear;nightwear;sports uniform
What do we call a matching set of clothes worn for exercise?;"";tracksuit;suit;gown;tracksuit
What do we call clothing made to keep the body warm?;"";warmwear;swimwear;underwear;warmwear
What do we call clothing made from cotton?;"";cotton clothing;leatherwear;woolwear;cotton clothing
What material is commonly used to make jeans?;"";denim;silk;leather;denim
What material is soft and often used for sweaters?;"";wool;denim;plastic;wool
What material is smooth and often used for expensive clothing?;"";silk;wool;denim;silk
What material is made from animal skin and used for jackets and shoes?;"";leather;cotton;linen;leather
What natural material is commonly used for light summer clothes?;"";linen;leather;wool;linen
What do we call clothes that fit tightly against the body?;"";tight-fitting;loose-fitting;oversized;tight-fitting
What do we call clothes that have plenty of extra space?;"";loose-fitting;tight-fitting;formal;loose-fitting
What do we call clothes that are intentionally much larger than usual?;"";oversized;fitted;short;oversized
What do we call clothes that fit the body very well?;"";fitted;loose;oversized;fitted
What do we call clothing that is suitable for everyday use?;"";casual;formal;ceremonial;casual
What do we call clothing that is suitable for special or professional occasions?;"";formal;casual;sporty;formal
What do we call a person's style of dressing?;"";fashion;uniform;material;fashion
What do we call the latest popular styles of clothing?;"";fashion trends;underwear;workwear;fashion trends
What do we call a person who creates new clothing designs?;"";fashion designer;tailor;model;fashion designer
What do we call a person who makes or repairs clothes?;"";tailor;designer;model;tailor
What do we call a person who displays clothes for advertisements or fashion shows?;"";model;tailor;designer;model
What do we call a public event where designers show new clothes?;"";fashion show;wedding;concert;fashion show
What do we call a store where clothes are sold?;"";clothing store;pharmacy;bakery;clothing store
What do we call the price reduction offered by a store?;"";discount;receipt;refund;discount
What do we call money returned after taking something back to a store?;"";refund;discount;salary;refund
What do we call the document showing what you bought and how much you paid?;"";receipt;ticket;label;receipt
What do we call the small piece of material showing the size of clothing?;"";size label;receipt;button;size label
What do we call the small object used to fasten clothes?;"";button;zipper;belt;button
What do we use to open and close some jackets and trousers?;"";zipper;button;collar;zipper
What do we call the part of a shirt that goes around the neck?;"";collar;sleeve;hem;collar
What do we call the part of a shirt that covers the arm?;"";sleeve;collar;pocket;sleeve
What do we call the part at the bottom edge of a skirt or pair of trousers?;"";hem;collar;sleeve;hem
What do we call a small part of clothing used to carry things?;"";pocket;collar;button;pocket
