question;hint;option1;option2;option3;answer
What word describes a person who always tells the truth?;"";honest;selfish;lazy;honest
What word describes a person who likes helping others?;"";helpful;rude;greedy;helpful
What word describes a person who thinks about other people's feelings?;"";considerate;careless;arrogant;considerate
What word describes a person who believes in their own abilities?;"";confident;shy;jealous;confident
What word describes a person who is easily embarrassed around others?;"";shy;outgoing;generous;shy
What word describes a person who enjoys meeting new people?;"";sociable;selfish;impatient;sociable
What word describes a person who gives money or things to others?;"";generous;mean;lazy;generous
What word describes a person who only thinks about themselves?;"";selfish;polite;patient;selfish
What word describes a person who gets angry very easily?;"";short-tempered;cheerful;calm;short-tempered
What word describes a person who can wait without getting annoyed?;"";patient;aggressive;selfish;patient
What word describes a person who is always in a good mood?;"";cheerful;gloomy;rude;cheerful
What word describes a person who behaves well toward others?;"";polite;stubborn;greedy;polite
What word describes a person who does not care about other people's feelings?;"";insensitive;kind;reliable;insensitive
What word describes a person who can be trusted?;"";reliable;lazy;arrogant;reliable
What word describes a person who thinks they are better than everyone else?;"";arrogant;humble;patient;arrogant
What word describes a person who refuses to change their opinion?;"";stubborn;flexible;generous;stubborn
What word describes a person who works hard?;"";hardworking;careless;selfish;hardworking
What word describes a person who does not like working?;"";lazy;ambitious;reliable;lazy
What word describes a person who wants to achieve success?;"";ambitious;shy;careless;ambitious
What word describes a person who does not worry easily?;"";calm;jealous;rude;calm
What word describes a person who becomes nervous easily?;"";anxious;generous;confident;anxious
What word describes a person who is very friendly?;"";friendly;aggressive;selfish;friendly
What word describes a person who is not friendly?;"";unfriendly;cheerful;honest;unfriendly
What word describes a person who is willing to change their plans?;"";flexible;stubborn;arrogant;flexible
What word describes a person who takes care with their work?;"";careful;careless;impatient;careful
What word describes a person who often makes mistakes because they do not pay attention?;"";careless;reliable;patient;careless
What word describes a person who treats people with respect?;"";respectful;selfish;aggressive;respectful
What word describes a person who does not show respect?;"";disrespectful;generous;polite;disrespectful
What word describes a person who is willing to take risks?;"";brave;timid;lazy;brave
What word describes a person who is easily frightened?;"";timid;confident;ambitious;timid
What word describes a person who enjoys talking to people?;"";talkative;quiet;stubborn;talkative
What word describes a person who does not talk much?;"";quiet;outgoing;greedy;quiet
What word describes a person who enjoys spending time alone?;"";independent;sociable;impatient;independent
What word describes a person who depends heavily on others?;"";dependent;confident;generous;dependent
What word describes a person who likes to give orders?;"";bossy;shy;patient;bossy
What word describes a person who becomes upset when others succeed?;"";jealous;honest;helpful;jealous
What word describes a person who wants everything for themselves?;"";greedy;generous;polite;greedy
What word describes a person who is not easily upset?;"";easygoing;aggressive;anxious;easygoing
What word describes a person who becomes angry when things go wrong?;"";irritable;cheerful;patient;irritable
What word describes a person who enjoys making people laugh?;"";funny;serious;selfish;funny
What word describes a person who does not joke much?;"";serious;cheerful;sociable;serious
What word describes a person who thinks carefully before acting?;"";thoughtful;careless;rude;thoughtful
What word describes a person who cares about other people's needs?;"";caring;selfish;arrogant;caring
What word describes a person who is warm and friendly toward others?;"";kind;aggressive;jealous;kind
What word describes a person who behaves badly toward others?;"";rude;polite;generous;rude
What word describes a person who gets along well with others?;"";agreeable;stubborn;aggressive;agreeable
What word describes a person who often argues with others?;"";argumentative;quiet;helpful;argumentative
What word describes a person who believes that good things will happen?;"";optimistic;pessimistic;jealous;optimistic
What word describes a person who expects bad things to happen?;"";pessimistic;optimistic;generous;pessimistic
What word describes a person who understands how others feel?;"";empathetic;selfish;careless;empathetic
What word describes a person who is able to control their emotions?;"";self-controlled;impatient;greedy;self-controlled
What word describes a person who changes their mood very quickly?;"";moody;reliable;calm;moody
What word describes a person who enjoys being around people?;"";outgoing;shy;quiet;outgoing
What word describes a person who does not like meeting strangers?;"";reserved;talkative;aggressive;reserved
What word describes a person who is very active and full of energy?;"";energetic;lazy;gloomy;energetic
What word describes a person who is always willing to try something new?;"";adventurous;timid;stubborn;adventurous
What word describes a person who is nervous about new situations?;"";insecure;confident;generous;insecure
What word describes a person who has a strong belief in themselves?;"";self-confident;jealous;careless;self-confident
What word describes a person who is modest about their achievements?;"";humble;arrogant;greedy;humble
What word describes a person who is very determined to succeed?;"";determined;lazy;shy;determined
What word describes a person who gives up easily?;"";unmotivated;ambitious;confident;unmotivated
What word describes a person who keeps trying despite difficulties?;"";persistent;careless;selfish;persistent
What word describes a person who can be trusted to keep promises?;"";trustworthy;rude;impatient;trustworthy
What word describes a person who often breaks promises?;"";unreliable;helpful;honest;unreliable
What word describes a person who accepts other people's ideas?;"";open-minded;stubborn;arrogant;open-minded
What word describes a person who refuses to consider different opinions?;"";narrow-minded;flexible;kind;narrow-minded
What word describes a person who pays attention to small details?;"";attentive;careless;lazy;attentive
What word describes a person who does not pay attention when others speak?;"";inattentive;thoughtful;patient;inattentive
What word describes a person who is always thinking about the future?;"";forward-thinking;careless;selfish;forward-thinking
What word describes a person who is very practical and realistic?;"";practical;dreamy;aggressive;practical
What word describes a person who spends a lot of time imagining things?;"";imaginative;careless;rude;imaginative
What word describes a person who produces many new ideas?;"";creative;lazy;jealous;creative
What word describes a person who likes doing things in unusual ways?;"";original;stubborn;selfish;original
What word describes a person who learns quickly?;"";clever;lazy;rude;clever
What word describes a person who has a lot of knowledge?;"";knowledgeable;careless;impatient;knowledgeable
What word describes a person who has good judgment?;"";wise;greedy;shy;wise
What word describes a person who does not think carefully about consequences?;"";reckless;patient;reliable;reckless
