question;hint;option1;option2;option3;answer
abstain means...;"";choose not to do something;do something immediately;force someone to act;choose not to do something
acclaim means...;"";strong public praise;strong public criticism;complete silence;strong public praise
acquiesce means...;"";accept something reluctantly;strongly oppose something;ignore a request;accept something reluctantly
adept means...;"";very skilled at something;completely inexperienced;unwilling to learn;very skilled at something
adverse means...;"";harmful or unfavorable;helpful and positive;completely neutral;harmful or unfavorable
affluent means...;"";wealthy and financially successful;extremely poor;without a job;wealthy and financially successful
aggravate means...;"";make a problem or situation worse;solve a problem;avoid a problem;make a problem or situation worse
albeit means...;"";although;because;therefore;although
ambivalent means...;"";having mixed or conflicting feelings;having complete certainty;having no opinion;having mixed or conflicting feelings
analogous means...;"";similar in some important way;completely unrelated;exactly identical;similar in some important way
anomaly means...;"";something that is unusual or unexpected;something completely normal;a common occurrence;something that is unusual or unexpected
apprehensive means...;"";worried about something that may happen;excited about something;completely indifferent;worried about something that may happen
arduous means...;"";requiring a lot of effort;very easy;extremely short;requiring a lot of effort
astute means...;"";clever and good at judging situations;careless and foolish;physically strong;clever and good at judging situations
austere means...;"";simple and without unnecessary decoration;luxurious and expensive;brightly decorated;simple and without unnecessary decoration
belligerent means...;"";hostile and aggressive;friendly and cooperative;quiet and shy;hostile and aggressive
benevolent means...;"";kind and generous;cruel and selfish;indifferent;kind and generous
bolster means...;"";support or strengthen something;weaken something;remove something;support or strengthen something
brevity means...;"";the quality of being brief;the quality of being complicated;the quality of being expensive;the quality of being brief
candid means...;"";honest and direct;deceptive and secretive;uncertain;honest and direct
capricious means...;"";changing suddenly and unpredictably;extremely reliable;carefully planned;changing suddenly and unpredictably
catalyst means...;"";something that causes change to happen;a person who prevents change;a final result;something that causes change to happen
circumspect means...;"";careful to consider possible consequences;careless and impulsive;completely confident;careful to consider possible consequences
coerce means...;"";force someone to do something;invite someone politely;help someone voluntarily;force someone to do something
cogent means...;"";clear and convincing;confusing and weak;unrelated;clear and convincing
commensurate means...;"";proportionate or corresponding in size or degree;completely unrelated;far smaller;proportionate or corresponding in size or degree
compelling means...;"";extremely convincing or persuasive;uninteresting and weak;unclear;extremely convincing or persuasive
