question;hint;option1;option2;option3;answer
What do we call the direction where the sun rises?;"";east;west;north;east
What do we call the direction where the sun sets?;"";west;east;south;west
What direction is opposite to north?;"";south;east;west;south
What direction is opposite to east?;"";west;north;south;west
What do we call a direction between north and east?;"";northeast;southwest;southeast;northeast
What do we call a direction between south and west?;"";southwest;northeast;northwest;southwest
What do we call a direction between south and east?;"";southeast;northwest;northeast;southeast
What do we call a direction between north and west?;"";northwest;southeast;southwest;northwest
What do we say when something is in front of you?;"";ahead;behind;below;ahead
What do we say when something is at your back?;"";behind;ahead;above;behind
What do we say when something is on your left side?;"";left;right;straight;left
What do we say when something is on your right side?;"";right;left;behind;right
What do we say when you continue without turning?;"";straight;backward;sideways;straight
What do we say when you change direction to the left?;"";turn left;turn right;go straight;turn left
What do we say when you change direction to the right?;"";turn right;turn left;go back;turn right
What do we say when you return in the direction you came from?;"";go back;go ahead;turn right;go back
What do we call the place where two roads meet?;"";intersection;sidewalk;bridge;intersection
What do we call a place where several roads meet?;"";junction;station;entrance;junction
What do we call a road that crosses another road?;"";crossroad;building;corner;crossroad
What do we call the place where two streets meet?;"";corner;bridge;tunnel;corner
What do we call the path beside a road for people walking?;"";sidewalk;highway;lane;sidewalk
What do we call a road for cars that connects cities?;"";highway;sidewalk;path;highway
What do we call a narrow road?;"";lane;highway;square;lane
What do we call a road in a city with buildings on both sides?;"";street;bridge;field;street
What do we call a road outside a city connecting villages or towns?;"";country road;sidewalk;subway;country road
What do we call a path designed for people to walk on?;"";path;highway;intersection;path
What do we call a place where you can cross a road safely?;"";crosswalk;roundabout;tunnel;crosswalk
What do we call a road crossing controlled by traffic lights?;"";pedestrian crossing;parking lot;highway;pedestrian crossing
What do we call a circular intersection where cars travel around a center?;"";roundabout;crosswalk;bridge;roundabout
What do we call a structure that allows people or vehicles to cross a river?;"";bridge;tunnel;station;bridge
What do we call a passage built under a road or mountain?;"";tunnel;bridge;sidewalk;tunnel
What do we call a place where you can park a car?;"";parking lot;bus stop;crosswalk;parking lot
What do we call a place where buses stop to pick up passengers?;"";bus stop;train station;airport;bus stop
What do we call a place where trains arrive and leave?;"";train station;bus stop;harbor;train station
What do we call a place where airplanes arrive and depart?;"";airport;station;harbor;airport
What do we call a place where ships arrive and leave?;"";harbor;airport;station;harbor
What do we call a place where boats are kept and repaired?;"";marina;airport;highway;marina
What do we call a place where passengers get on a train?;"";platform;parking lot;crosswalk;platform
What do we call the area where you wait for a bus or train?;"";waiting area;highway;tunnel;waiting area
What do we call the entrance to a building?;"";entrance;exit;basement;entrance
What do we call the way out of a building?;"";exit;entrance;corner;exit
What do we call the area immediately outside the entrance of a building?;"";front;back;basement;front
What do we call the area behind a building?;"";back;front;entrance;back
What do we call the lowest floor of a building, often underground?;"";basement;attic;roof;basement
What do we call the top part of a building?;"";roof;basement;entrance;roof
What do we call the floor above the ground floor?;"";first floor;basement;roof;first floor
What do we call a building where people live?;"";apartment building;stadium;factory;apartment building
What do we call a single home for one family?;"";house;station;office;house
What do we call a home that is part of a larger building?;"";apartment;bridge;warehouse;apartment
What do we call a building where people work?;"";office;hospital;park;office
What do we call a building where goods are stored?;"";warehouse;school;library;warehouse
What do we call a building where products are made?;"";factory;museum;hotel;factory
What do we call a place where people study?;"";school;hospital;bank;school
What do we call a place where students attend higher education?;"";university;supermarket;station;university
What do we call a place where you can borrow books?;"";library;museum;theater;library
What do we call a place where historical objects are displayed?;"";museum;library;stadium;museum
What do we call a place where plays and performances are shown?;"";theater;hospital;bank;theater
What do we call a place where people watch sports?;"";stadium;museum;library;stadium
What do we call a place where people watch movies?;"";cinema;theater;gallery;cinema
What do we call a place where paintings and art are displayed?;"";art gallery;stadium;factory;art gallery
What do we call a place where people exercise?;"";gym;library;museum;gym
What do we call a place where sick people receive medical treatment?;"";hospital;school;bank;hospital
What do we call a place where you buy medicine?;"";pharmacy;bakery;library;pharmacy
What do we call a place where you buy food and household products?;"";supermarket;hospital;museum;supermarket
What do we call a small shop that sells food and everyday items?;"";convenience store;factory;station;convenience store
