mode;topic;wordBank;question;answer
translation;Irregular Verbs;(surgir, erguer-se);arise arose _______;arisen
translation;Irregular Verbs;(despertar, acordar);awake awoke _______;awoken
translation;Irregular Verbs;(ser, estar);Be was/were _______;been
translation;Irregular Verbs;(suportar, dar a luz);bear bore _______;born
translation;Irregular Verbs;(bater, espancar);beat beat _______;beaten
translation;Irregular Verbs;(tornar-se);become became _______;become
translation;Irregular Verbs;(acontecer);befall befell _______;befallen
translation;Irregular Verbs;(começar, iniciar);begin began _______;begun
translation;Irregular Verbs;(contemplar);behold beheld _______;beheld
translation;Irregular Verbs;(curvar, dobrar);bend bent _______;bent
translation;Irregular Verbs;(apostar);bet bet _______; bet
translation;Irregular Verbs;(oferecer, concorrer);bid bid _______;bid
translation;Irregular Verbs;(unir, encadernar);bind bound _______;bound
translation;Irregular Verbs;(morder, engolir a isca);bite bit _______;bitten
translation;Irregular Verbs;(sangrar, ter hemorragia);bleed bled _______;bled
translation;Irregular Verbs;(soprar, estourar);blow blew _______;blown
translation;Irregular Verbs;(quebrar, romper);break broke _______;broken
translation;Irregular Verbs;(procriar, reproduzir);breed bred _______;bred
translation;Irregular Verbs;(trazer);bring brought _______;brought
translation;Irregular Verbs;(irradiar, transmitir);broadcast broadcast _______;broadcast
translation;Irregular Verbs;(construir, edificar);build built _______;built
translation;Irregular Verbs;(comprar);buy bought _______;brought
translation;Irregular Verbs;(arremessar, lançar);cast cast _______;cast
translation;Irregular Verbs;(pegar, capturar);catch caught _______;caught
translation;Irregular Verbs;(escolher);choose chose _______;chosen
translation;Irregular Verbs;(aderir, segurar-se);cling clung _______;clung
translation;Irregular Verbs;(vir);come came _______;come
translation;Irregular Verbs;(custar);cost cost _______;cost
translation;Irregular Verbs;(rastejar, gatinhar);creep crept _______;crept
translation;Irregular Verbs;(cortar);cut cut _______;cut
translation;Irregular Verbs;(negociar, tratar);deal dealt _______;dealt
translation;Irregular Verbs;(cavar, cavoucar);dig dug _______;dug
translation;Irregular Verbs;(fazer);do did _______;done
translation;Irregular Verbs;(sacar, desenhar);draw drew _______;drawn
translation;Irregular Verbs;(beber);drink drank _______;drunk
translation;Irregular Verbs;(dirigir, ir de carro);drive drove _______;driven
translation;Irregular Verbs;(comer);eat ate _______;eaten
translation;Irregular Verbs;(cair);fall fell _______;fallen
translation;Irregular Verbs;(alimentar, nutrir);feed fed _______;fed
translation;Irregular Verbs;(sentir, sentir-se);feel felt _______;felt
translation;Irregular Verbs;(lutar);fight fought _______;fought
translation;Irregular Verbs;(achar, encontrar);find found _______;found
translation;Irregular Verbs;(fugir, escapar);flee fled _______;fled
translation;Irregular Verbs;(arremessar);fling flung _______;flung
translation;Irregular Verbs;(voar, pilotar);fly flew _______;flown
translation;Irregular Verbs;(proibir);forbid forbade _______;forbidden
translation;Irregular Verbs;(esquecer);forget forgot _______;forgotten
translation;Irregular Verbs;(perdoar);forgive forgave _______;forgiven
translation;Irregular Verbs;(congelar, paralizar);freeze froze _______;frozen
translation;Irregular Verbs;(got, obter, conseguir);get got _______;gotten
translation;Irregular Verbs;(dar, conceder);give gave _______;given
translation;Irregular Verbs;(ir);go went _______;gone
translation;Irregular Verbs;(moer);grind(graind) ground _______;ground
translation;Irregular Verbs;(crescer, cultivar);grow grew(grul) _______;grown
translation;Irregular Verbs;(ter, beber, comer);have had _______;had
translation;Irregular Verbs;(ouvir, escutar);hear heard _______;heard
translation;Irregular Verbs;(hid, esconder);hide hid _______;hidden
translation;Irregular Verbs;(bater, ferir);hit hit _______;hit
translation;Irregular Verbs;(segurar);hold held _______;helt
translation;Irregular Verbs;(machucar, ferir);hurt hurt _______;hurt
translation;Irregular Verbs;(guardar, manter);keep kept _______;kept
translation;Irregular Verbs;(saber, conhecer);know knew _______;known
translation;Irregular Verbs;(por, (ovos));lay laid _______;laid
translation;Irregular Verbs;(liderar, guiar);lead led _______;led
translation;Irregular Verbs;(deixar, partir);leave left _______;left
translation;Irregular Verbs;(dar, emprestado);lend lent _______;lent
translation;Irregular Verbs;(deixar, alugar);let let _______;let
translation;Irregular Verbs;(deitar se);lie lay _______;lain
translation;Irregular Verbs;(perder, extraviar);lose lost _______;lost
translation;Irregular Verbs;(fazer, fabricar);make made _______;made
translation;Irregular Verbs;(significar);mean meant _______;meant
translation;Irregular Verbs;(encontrar, conhecer);meet met _______;met
translation;Irregular Verbs;(superar);overcome overcame _______;overcome
translation;Irregular Verbs;(alcançar, surpreender);overtake overtook _______;overtaken
translation;Irregular Verbs;(pagar);pay paid _______;paid
translation;Irregular Verbs;(colocar, por);put put _______;put
translation;Irregular Verbs;(abandonar, largar de);quit quit _______;quit
translation;Irregular Verbs;(ler);read read _______;read
translation;Irregular Verbs;(andar, cavalgar);ride rode _______;ridden
translation;Irregular Verbs;(tocar campainha);ring rang _______;rung
translation;Irregular Verbs;(subir, erguer-se);rise rose _______;risen
