question;hint;option1;option2;option3;answer
What do we call the room where people usually relax and watch TV?;"";living room;kitchen;garage;living room
What do we call the room where people prepare food?;"";kitchen;bedroom;basement;kitchen
What do we call the room where people sleep?;"";bedroom;bathroom;living room;bedroom
What do we call the room where people take a shower?;"";bathroom;kitchen;garage;bathroom
What do we call the room where people usually eat meals?;"";dining room;bedroom;garage;dining room
What do we call a room used for working or studying at home?;"";home office;kitchen;attic;home office
What do we call a room where clothes are washed?;"";laundry room;dining room;basement;laundry room
What do we call a room or area where a car is kept?;"";garage;attic;balcony;garage
What do we call the space directly under the roof?;"";attic;basement;garage;attic
What do we call the floor below ground level?;"";basement;attic;balcony;basement
What do we call an outdoor area attached to an apartment or house?;"";balcony;basement;hallway;balcony
What do we call a covered outdoor area at the front of a house?;"";porch;attic;garage;porch
What do we call an outdoor area behind or beside a house?;"";yard;hallway;basement;yard
What do we call a garden area covered mainly with grass?;"";lawn;patio;driveway;lawn
What do we call a paved area where a car is parked outside a house?;"";driveway;balcony;hallway;driveway
What do we call an outdoor area used for sitting and eating?;"";patio;attic;garage;patio
What do we call a passage that connects rooms?;"";hallway;balcony;basement;hallway
What do we call the part of a house where you enter?;"";entrance;attic;roof;entrance
What do we call the way out of a house?;"";exit;entrance;window;exit
What do we call the structure covering the top of a house?;"";roof;floor;wall;roof
What do we call the surface you walk on inside a house?;"";floor;ceiling;roof;floor
What do we call the surface above your head inside a room?;"";ceiling;floor;wall;ceiling
What do we call the vertical structures that separate rooms?;"";walls;floors;roofs;walls
What do we call an opening in a wall that lets in light?;"";window;door;ceiling;window
What do we use to enter and leave a room?;"";door;window;roof;door
What do we call the frame around a door?;"";door frame;window sill;floorboard;door frame
What do we call the horizontal surface at the bottom of a window?;"";window sill;door frame;ceiling;window sill
What do we call stairs inside a house?;"";staircase;hallway;balcony;staircase
What do we call the flat part of a staircase that you step on?;"";step;rail;ceiling;step
What do we hold when walking up or down stairs?;"";handrail;door handle;window sill;handrail
What do we call a small area just inside the entrance where coats and shoes may be kept?;"";entryway;attic;basement;entryway
What do we call furniture used for sitting?;"";sofa;wardrobe;desk;sofa
What do we call a long comfortable seat for several people?;"";sofa;stool;desk;sofa
What do we call a small seat without a back?;"";stool;armchair;wardrobe;stool
What do we call a comfortable chair with arms?;"";armchair;stool;bookshelf;armchair
What do we call a piece of furniture used for sleeping?;"";bed;desk;cupboard;bed
What do we call a small table next to a bed?;"";bedside table;dining table;bookshelf;bedside table
What do we call a piece of furniture used for storing clothes?;"";wardrobe;bookshelf;sofa;wardrobe
What do we call a tall piece of furniture used for hanging clothes?;"";wardrobe;desk;stool;wardrobe
What do we call furniture with drawers used to store clothes?;"";chest of drawers;coffee table;armchair;chest of drawers
