question;hint;option1;option2;option3;answer
______ money do you have in your wallet?;How Many (Countable Nouns) | How Much (Uncountable Nouns);how much;how many;"";how much
______ time do you spend on social media each day?;How Many (Countable Nouns) | How Much (Uncountable Nouns);how much;how many;"";how much
______ sugar do you put in your coffee?;How Many (Countable Nouns) | How Much (Uncountable Nouns);how much;how many;"";how much
______ does that shirt cost?;How Many (Countable Nouns) | How Much (Uncountable Nouns);how much;how many;"";how much
______ water do you drink daily?;How Many (Countable Nouns) | How Much (Uncountable Nouns);how much;how many;"";how much
______ does it cost to rent an apartment in this area?;How Many (Countable Nouns) | How Much (Uncountable Nouns);how much;how many;"";how much
______ do you weigh?;How Many (Countable Nouns) | How Much (Uncountable Nouns);how much;how many;"";how much
______ sleep did you get last night?;How Many (Countable Nouns) | How Much (Uncountable Nouns);how much;how many;"";how much
______ does a gallon of milk cost?;How Many (Countable Nouns) | How Much (Uncountable Nouns);how much;how many;"";how much
______ do you know about computers?;How Many (Countable Nouns) | How Much (Uncountable Nouns);how much;how many;"";how much
______ time do you spend exercising each week?;How Many (Countable Nouns) | How Much (Uncountable Nouns);how much;how many;"";how much
______ does it cost to travel to Europe?;How Many (Countable Nouns) | How Much (Uncountable Nouns);how much;how many;"";how much
______ pasta should I cook for dinner?;How Many (Countable Nouns) | How Much (Uncountable Nouns);how much;how many;"";how much
______ does a movie ticket cost?;How Many (Countable Nouns) | How Much (Uncountable Nouns);how much;how many;"";how much
______ do you earn per hour?;How Many (Countable Nouns) | How Much (Uncountable Nouns);how much;how many;"";how much
______ do you love your job?;How Many (Countable Nouns) | How Much (Uncountable Nouns);how much;how many;"";how much
______ does it cost to repair a car?;How Many (Countable Nouns) | How Much (Uncountable Nouns);how much;how many;"";how much
______ do you need to save for retirement?;How Many (Countable Nouns) | How Much (Uncountable Nouns);how much;how many;"";how much
______ do you enjoy reading?;How Many (Countable Nouns) | How Much (Uncountable Nouns);how much;how many;"";how much
______ space do you have on your phone?;How Many (Countable Nouns) | How Much (Uncountable Nouns);how much;how many;"";how much
______ does a cup of coffee cost at that cafe?;How Many (Countable Nouns) | How Much (Uncountable Nouns);how much;how many;"";how much
______ time do you spend commuting to work?;How Many (Countable Nouns) | How Much (Uncountable Nouns);how much;how many;"";how much
______ does it cost to go to the gym?;How Many (Countable Nouns) | How Much (Uncountable Nouns);how much;how many;"";how much
______ do you know about Brazilian culture?;How Many (Countable Nouns) | How Much (Uncountable Nouns);how much;how many;"";how much
______ exercise do you need to stay healthy?;How Many (Countable Nouns) | How Much (Uncountable Nouns);how much;how many;"";how much
______ do you spend on groceries each week?;How Many (Countable Nouns) | How Much (Uncountable Nouns);how much;how many;"";how much
______ do you tip at restaurants?;How Many (Countable Nouns) | How Much (Uncountable Nouns);how much;how many;"";how much
______ does a concert ticket cost?;How Many (Countable Nouns) | How Much (Uncountable Nouns);how much;how many;"";how much
______ does it cost to adopt a pet?;How Many (Countable Nouns) | How Much (Uncountable Nouns);how much;how many;"";how much
______ do you spend on clothing each month?;How Many (Countable Nouns) | How Much (Uncountable Nouns);how much;how many;"";how much
______ does it cost to fly to Japan?;How Many (Countable Nouns) | How Much (Uncountable Nouns);how much;how many;"";how much
______ do you enjoy cooking?;How Many (Countable Nouns) | How Much (Uncountable Nouns);how much;how many;"";how much
______ does a new phone cost?;How Many (Countable Nouns) | How Much (Uncountable Nouns);how much;how many;"";how much
______ time do you spend with your family?;How Many (Countable Nouns) | How Much (Uncountable Nouns);how much;how many;"";how much
______ do you know about English grammar?;How Many (Countable Nouns) | How Much (Uncountable Nouns);how much;how many;"";how much
______ does it cost to attend university?;How Many (Countable Nouns) | How Much (Uncountable Nouns);how much;how many;"";how much
______ do you know about world history?;How Many (Countable Nouns) | How Much (Uncountable Nouns);how much;how many;"";how much
______ does it cost to fix a leaky faucet?;How Many (Countable Nouns) | How Much (Uncountable Nouns);how much;how many;"";how much
______ do you enjoy traveling?;How Many (Countable Nouns) | How Much (Uncountable Nouns);how much;how many;"";how much
______ does a meal at that restaurant cost?;How Many (Countable Nouns) | How Much (Uncountable Nouns);how much;how many;"";how much
______ do you spend on entertainment each month?;How Many (Countable Nouns) | How Much (Uncountable Nouns);how much;how many;"";how much
______ does it cost to subscribe to that streaming service?;How Many (Countable Nouns) | How Much (Uncountable Nouns);how much;how many;"";how much
______ time do you spend on your hobbies?;How Many (Countable Nouns) | How Much (Uncountable Nouns);how much;how many;"";how much
______ does it cost to buy a house in this neighborhood?;How Many (Countable Nouns) | How Much (Uncountable Nouns);how much;how many;"";how much
______ do you enjoy spending time outdoors?;How Many (Countable Nouns) | How Much (Uncountable Nouns);how much;how many;"";how much
______ does it cost to see a doctor?;How Many (Countable Nouns) | How Much (Uncountable Nouns);how much;how many;"";how much
______ do you know about science?;How Many (Countable Nouns) | How Much (Uncountable Nouns);how much;how many;"";how much
______ does it cost to hire a tutor?;How Many (Countable Nouns) | How Much (Uncountable Nouns);how much;how many;"";how much
______ do you enjoy learning new things?;How Many (Countable Nouns) | How Much (Uncountable Nouns);how much;how many;"";how much
______ does a taxi ride cost in this city?;How Many (Countable Nouns) | How Much (Uncountable Nouns);how much;how many;"";how much
______ apples are in the basket?;How Many (Countable Nouns) | How Much (Uncountable Nouns);how much;how many;"";how many
______ students are in the classroom?;How Many (Countable Nouns) | How Much (Uncountable Nouns);how much;how many;"";how many
______ books are on the shelf?;How Many (Countable Nouns) | How Much (Uncountable Nouns);how much;how many;"";how many
______ hours are in a day?;How Many (Countable Nouns) | How Much (Uncountable Nouns);how much;how many;"";how many
______ countries are in Europe?;How Many (Countable Nouns) | How Much (Uncountable Nouns);how much;how many;"";how many
______ siblings do you have?;How Many (Countable Nouns) | How Much (Uncountable Nouns);how much;how many;"";how many
______ cups of coffee have you had today?;How Many (Countable Nouns) | How Much (Uncountable Nouns);how much;how many;"";how many
______ pets do you own?;How Many (Countable Nouns) | How Much (Uncountable Nouns);how much;how many;"";how many
______ cars are parked in the lot?;How Many (Countable Nouns) | How Much (Uncountable Nouns);how much;how many;"";how many
______ languages can you speak?;How Many (Countable Nouns) | How Much (Uncountable Nouns);how much;how many;"";how many
______ stars are in the sky?;How Many (Countable Nouns) | How Much (Uncountable Nouns);how much;how many;"";how many
______ pencils are in the drawer?;How Many (Countable Nouns) | How Much (Uncountable Nouns);how much;how many;"";how many
______ people are attending the meeting?;How Many (Countable Nouns) | How Much (Uncountable Nouns);how much;how many;"";how many
______ fingers do you have on one hand?;How Many (Countable Nouns) | How Much (Uncountable Nouns);how much;how many;"";how many
