question;hint;option1;option2;option3;answer
adapt means...;"";change to fit a new situation;refuse to change;remove something;change to fit a new situation
adjust means...;"";change something slightly;destroy something;replace everything;change something slightly
advise means...;"";tell someone what you think they should do;ask someone for money;prevent someone from acting;tell someone what you think they should do
affect means...;"";have an influence on something;completely destroy something;avoid something;have an influence on something
alert means...;"";warn someone about danger;make someone sleepy;hide information;warn someone about danger
alter means...;"";change something;keep something identical;remove something completely;change something
anticipate means...;"";expect something to happen;forget about something;prevent something;expect something to happen
appeal means...;"";attract or interest someone;damage something;ignore someone;attract or interest someone
appoint means...;"";choose someone for a position;fire everyone;avoid a decision;choose someone for a position
approve means...;"";officially accept or agree with something;reject something;hide something;officially accept or agree with something
assess means...;"";judge or evaluate something;destroy something;avoid something;judge or evaluate something
assign means...;"";give someone a particular task;take a task away;finish something;give someone a particular task
assume means...;"";accept something as true without proof;prove something;forget something;accept something as true without proof
attend means...;"";go to an event or place;avoid an event;organize an event;go to an event or place
attract means...;"";make someone interested in something;make someone angry;push something away;make someone interested in something
boost means...;"";increase or improve something;reduce something;hide something;increase or improve something
broaden means...;"";make something wider or more general;make something narrower;remove something;make something wider or more general
calculate means...;"";work out a number using mathematics;guess without thinking;forget a number;work out a number using mathematics
clarify means...;"";make something easier to understand;make something confusing;hide information;make something easier to understand
collapse means...;"";fall down suddenly;become stronger;move upward;fall down suddenly
commit means...;"";do something wrong or illegal;avoid doing something;forget something;do something wrong or illegal
compensate means...;"";give something to make up for a loss;take something away;cause damage;give something to make up for a loss
compete means...;"";try to win against others;avoid competition;work alone;try to win against others
comprise means...;"";consist of particular parts;destroy several parts;exclude everything;consist of particular parts
conclude means...;"";reach a decision or end something;begin something;avoid deciding;reach a decision or end something
conduct means...;"";organize or carry out an activity;cancel an activity;hide information;organize or carry out an activity
conflict means...;"";a serious disagreement;a friendly meeting;a successful agreement;a serious disagreement
confront means...;"";face a difficult situation or person;avoid every problem;help someone quietly;face a difficult situation or person
contribute means...;"";give something to help achieve a result;take something away;prevent progress;give something to help achieve a result
convert means...;"";change something into a different form;destroy something;leave something unchanged;change something into a different form
cooperate means...;"";work together with others;work against everyone;avoid communication;work together with others
criticize means...;"";express disapproval of something;praise something strongly;ignore something;express disapproval of something
dedicate means...;"";give time or effort to a particular purpose;avoid a responsibility;take something away;give time or effort to a particular purpose
demonstrate means...;"";show clearly how something works;hide how something works;destroy something;show clearly how something works
deny means...;"";say that something is not true;accept something as true;prove something;say that something is not true
derive means...;"";get something from a particular source;destroy a source;avoid a source;get something from a particular source
detect means...;"";discover something that is difficult to notice;hide something;create something;discover something that is difficult to notice
devote means...;"";give time or effort to something;avoid something;take something away;give time or effort to something
differentiate means...;"";recognize the difference between things;make things identical;combine things;recognize the difference between things
dismiss means...;"";decide that something is not important or send someone away;invite someone;approve something;decide that something is not important or send someone away
distinguish means...;"";recognize a difference between things;make things identical;forget a difference;recognize a difference between things
dominate means...;"";have control or influence over something;have no influence;avoid responsibility;have control or influence over something
eliminate means...;"";remove or get rid of something;create something;increase something;remove or get rid of something
emphasize means...;"";give special importance to something;ignore something;hide something;give special importance to something
enable means...;"";make it possible for something to happen;prevent something;destroy something;make it possible for something to happen
encounter means...;"";meet or experience something unexpectedly;avoid something completely;create something;meet or experience something unexpectedly
enhance means...;"";improve the quality or value of something;reduce quality;destroy something;improve the quality or value of something
ensure means...;"";make certain that something happens;prevent something;make something uncertain;make certain that something happens
evaluate means...;"";judge the quality or importance of something;ignore something;destroy something;judge the quality or importance of something
exclude means...;"";keep someone or something out;include everyone;invite someone;keep someone or something out
facilitate means...;"";make something easier;make something more difficult;prevent something;make something easier
generate means...;"";produce or create something;destroy something;hide something;produce or create something
highlight means...;"";give special attention to something;hide something;remove something;give special attention to something
implement means...;"";put a plan or decision into action;cancel a plan;forget a plan;put a plan or decision into action
impose means...;"";force something to be accepted or followed;remove a rule;ask for permission;force something to be accepted or followed
incorporate means...;"";include something as part of a whole;remove something;destroy something;include something as part of a whole
induce means...;"";cause something to happen;prevent something;ignore something;cause something to happen
interpret means...;"";explain the meaning of something;hide the meaning;destroy information;explain the meaning of something
interrupt means...;"";stop something temporarily by breaking into it;continue without stopping;support something;stop something temporarily by breaking into it
investigate means...;"";examine something carefully to discover facts;ignore evidence;destroy information;examine something carefully to discover facts
justify means...;"";give a good reason for something;deny responsibility;avoid an explanation;give a good reason for something
launch means...;"";start or introduce something;end something;hide something;start or introduce something
modify means...;"";change something slightly;destroy something completely;keep something unchanged;change something slightly
monitor means...;"";watch or check something regularly;ignore something;destroy something;watch or check something regularly
negotiate means...;"";try to reach an agreement through discussion;refuse to communicate;avoid a decision;try to reach an agreement through discussion
overcome means...;"";successfully deal with a difficulty;create a difficulty;avoid trying;successfully deal with a difficulty
perceive means...;"";notice or understand something;forget something;destroy something;notice or understand something
predict means...;"";say what you think will happen in the future;describe the past;prevent the future;say what you think will happen in the future
preserve means...;"";protect something and keep it in good condition;destroy something;replace something;protect something and keep it in good condition
prohibit means...;"";officially prevent something;encourage something;allow something;officially prevent something
promote means...;"";support or encourage something;prevent progress;criticize something;support or encourage something
pursue means...;"";try to achieve or obtain something;give up immediately;avoid something;try to achieve or obtain something
react means...;"";respond to something that happens;ignore something;create something;respond to something that happens
recover means...;"";return to a normal condition after difficulty;become worse;lose something permanently;return to a normal condition after difficulty
regulate means...;"";control something using rules;ignore something;remove all rules;control something using rules
reject means...;"";refuse to accept something;accept something immediately;create something;refuse to accept something
release means...;"";let someone or something go free;capture someone;hold something tightly;let someone or something go free
resolve means...;"";find a solution to a problem;create a problem;avoid a problem;find a solution to a problem
restore means...;"";return something to its previous condition;destroy something;remove something;return something to its previous condition
restrict means...;"";limit something;increase something;allow everything;limit something
reverse means...;"";change something to the opposite direction;continue in the same direction;stop permanently;change something to the opposite direction
revise means...;"";change or improve something after examining it;destroy something;ignore something;change or improve something after examining it
secure means...;"";make something safe or protected;put something in danger;remove protection;make something safe or protected
strengthen means...;"";make something stronger;make something weaker;remove something;make something stronger
submit means...;"";give something for consideration or approval;refuse to give something;destroy something;give something for consideration or approval
substitute means...;"";use one thing instead of another;use both things together;remove everything;use one thing instead of another
sustain means...;"";continue to support or maintain something;destroy something;stop something immediately;continue to support or maintain something
transform means...;"";change something completely;keep something identical;remove something;change something completely
transmit means...;"";send information or a signal;receive nothing;destroy information;send information or a signal
undertake means...;"";agree to do something;refuse a task;avoid responsibility;agree to do something
utilize means...;"";use something for a particular purpose;avoid using something;destroy something;use something for a particular purpose
withdraw means...;"";remove something or leave a situation;enter a situation;create something;remove something or leave a situation
accompany means...;"";go somewhere with someone;leave someone alone;avoid someone;go somewhere with someone
accomplish means...;"";successfully finish something;fail to begin something;avoid a task;successfully finish something
accumulate means...;"";gradually collect or increase;lose everything at once;remove something;gradually collect or increase
acknowledge means...;"";accept or recognize that something is true;deny something;forget something;accept or recognize that something is true
acquire means...;"";obtain or get something;lose something;give something away;obtain or get something
allocate means...;"";give something for a particular purpose;remove something from use;destroy something;give something for a particular purpose
amend means...;"";change a document or rule to improve it;destroy a document;ignore a rule;change a document or rule to improve it
assemble means...;"";put parts together;take parts apart;destroy parts;put parts together
attain means...;"";achieve a goal;lose a goal;avoid a goal;achieve a goal
attribute means...;"";say that something is caused by a particular factor;deny every cause;remove a cause;say that something is caused by a particular factor
cease means...;"";stop happening;start happening;increase rapidly;stop happening
coincide means...;"";happen at the same time;never happen;happen in different places;happen at the same time
collaborate means...;"";work together on a project;compete against everyone;work alone;work together on a project
commence means...;"";begin;finish;delay;begin
compile means...;"";collect information into one document;destroy information;hide information;collect information into one document
concentrate means...;"";focus attention on something;lose attention;avoid something;focus attention on something
contradict means...;"";say the opposite of what someone else says;agree completely;support an idea;say the opposite of what someone else says
coordinate means...;"";organize different activities so they work together;separate activities;cancel everything;organize different activities so they work together
correspond means...;"";match or be similar to something;be completely different;destroy something;match or be similar to something
cultivate means...;"";develop or improve something;destroy something;ignore something;develop or improve something
decay means...;"";gradually become damaged or rotten;become stronger;become cleaner;gradually become damaged or rotten
deduce means...;"";reach a conclusion from available information;guess randomly;forget information;reach a conclusion from available information
deem means...;"";consider or judge something in a particular way;ignore something;destroy something;consider or judge something in a particular way
depict means...;"";show something in a picture or description;hide something;remove something;show something in a picture or description
devise means...;"";plan or invent something;destroy something;forget something;plan or invent something
differentiate means...;"";show how things are different;make things identical;combine everything;show how things are different
diminish means...;"";become smaller or less;become larger;remain identical;become smaller or less
dispose means...;"";get rid of something;collect something;protect something;get rid of something
diversify means...;"";develop a wider range of different things;make everything identical;remove variety;develop a wider range of different things
dominate means...;"";control or have the strongest influence;have no influence;avoid a situation;control or have the strongest influence
embark means...;"";start a new activity or journey;finish a journey;avoid an activity;start a new activity or journey
emerge means...;"";appear or become known;disappear completely;remain hidden;appear or become known
encounter means...;"";experience or meet something unexpectedly;avoid something;plan something;experience or meet something unexpectedly
endure means...;"";suffer something difficult patiently;avoid all difficulty;enjoy something immediately;suffer something difficult patiently
enforce means...;"";make sure a law or rule is obeyed;remove a law;ignore a rule;make sure a law or rule is obeyed
exceed means...;"";be greater than a limit;remain below a limit;reach zero;be greater than a limit
exploit means...;"";use something for benefit, sometimes unfairly;protect something;avoid using something;use something for benefit, sometimes unfairly
fluctuate means...;"";change frequently in level or amount;remain constant;disappear completely;change frequently in level or amount
foster means...;"";encourage the development of something;prevent development;destroy something;encourage the development of something
fulfill means...;"";satisfy a requirement or complete a promise;break a promise;avoid a requirement;satisfy a requirement or complete a promise
grasp means...;"";understand something;forget something;avoid something;understand something
guarantee means...;"";promise that something will happen;make something uncertain;avoid responsibility;promise that something will happen
implement means...;"";carry out a plan;cancel a plan;forget a plan;carry out a plan
imply means...;"";suggest something indirectly;say something directly;deny something;suggest something indirectly
inhibit means...;"";prevent or slow down an action;encourage an action;complete an action;prevent or slow down an action
integrate means...;"";combine parts into a whole;separate parts;destroy parts;combine parts into a whole
interfere means...;"";get involved in a situation in a way that causes problems;help perfectly;avoid involvement;get involved in a situation in a way that causes problems
isolate means...;"";separate something from others;combine everything;invite everyone;separate something from others
manipulate means...;"";control or influence something cleverly or unfairly;ignore something;protect something;control or influence something cleverly or unfairly
minimize means...;"";reduce something to the smallest possible amount;increase something;create something;reduce something to the smallest possible amount
neglect means...;"";fail to give proper care or attention;take excellent care of something;improve something;fail to give proper care or attention
oblige means...;"";force or require someone to do something;allow someone to refuse;ignore someone;force or require someone to do something
occupy means...;"";fill or take up a space or period of time;leave a place empty;destroy a place;fill or take up a space or period of time
optimize means...;"";make something work as well as possible;make something worse;stop something;make something work as well as possible
persist means...;"";continue despite difficulty;give up immediately;change direction;continue despite difficulty
precede means...;"";come before something else;come after something;happen at the same time;come before something else
proceed means...;"";continue or move forward;stop permanently;return to the beginning;continue or move forward
prominent means...;"";important and easily noticed;unimportant and hidden;ordinary;important and easily noticed
pursue means...;"";continue trying to achieve something;give up immediately;avoid a goal;continue trying to achieve something
retain means...;"";continue to have something;give something away;lose something;continue to have something
retrieve means...;"";get something back;destroy something;hide something;get something back
simulate means...;"";imitate a real situation;destroy a real situation;avoid reality;imitate a real situation
specify means...;"";state something clearly and exactly;make something vague;hide information;state something clearly and exactly
strengthen means...;"";make stronger;make weaker;remove strength;make stronger
submit means...;"";present something officially;destroy something;refuse to present it;present something officially
terminate means...;"";bring something to an end;begin something;continue something;bring something to an end
undergo means...;"";experience something difficult or unpleasant;avoid an experience;prevent an experience;experience something difficult or unpleasant
