question;hint;option1;option2;option3;answer
What do we call the process of learning new knowledge and skills?;"";education;transportation;employment;education
What do we call a place where children receive formal education?;"";school;hospital;factory;school
What do we call a person who teaches students at school?;"";teacher;lawyer;engineer;teacher
What do we call a person who studies at a school or university?;"";student;teacher;manager;student
What do we call a person who helps students with their studies individually?;"";tutor;principal;janitor;tutor
What do we call the head of a school?;"";principal;student;teacher;principal
What do we call a person responsible for managing a university department?;"";professor;student;principal;professor
What do we call a person who teaches at a university?;"";lecturer;student;classmate;lecturer
What do we call someone who studies for a master's or doctorate?;"";graduate student;principal;teacher;graduate student
What do we call a person who studies for their first university degree?;"";undergraduate;professor;graduate;undergraduate
What do we call a student who studies with you?;"";classmate;principal;teacher;classmate
What do we call a group of students who study together?;"";class;staff;faculty;class
What do we call a person who works at a school and keeps it clean?;"";janitor;professor;student;janitor
What do we call the people who teach at a university?;"";faculty;students;graduates;faculty
What do we call a person who helps students choose courses and careers?;"";counselor;janitor;classmate;counselor
What do we call a place where students read and borrow books?;"";library;laboratory;cafeteria;library
What do we call a room where students conduct scientific experiments?;"";laboratory;library;auditorium;laboratory
What do we call a place where students eat at school?;"";cafeteria;laboratory;office;cafeteria
What do we call a large room used for school meetings or performances?;"";auditorium;classroom;library;auditorium
What do we call a room where lessons take place?;"";classroom;laboratory;office;classroom
What do we call a room used by teachers for planning and working?;"";staff room;classroom;library;staff room
What do we call the area outside classrooms where students walk between lessons?;"";corridor;laboratory;library;corridor
What do we call an outdoor area where students play or exercise?;"";playground;classroom;library;playground
What do we call the place where students practice sports?;"";gymnasium;laboratory;cafeteria;gymnasium
What do we call a subject studied at school?;"";subject;semester;degree;subject
What do we call a particular area of study?;"";field;classroom;grade;field
What do we call the main subject a university student studies?;"";major;minor;semester;major
What do we call a secondary subject studied at university?;"";minor;major;degree;minor
What do we call a course that students must take?;"";requirement;holiday;break;requirement
What do we call an optional course?;"";elective;requirement;exam;elective
What do we call a series of lessons about one subject?;"";course;degree;semester;course
What do we call a single period of teaching?;"";lesson;degree;faculty;lesson
What do we call a talk given by a teacher to a large group?;"";lecture;assignment;quiz;lecture
What do we call a small class involving discussion?;"";seminar;lecture;exam;seminar
What do we call a practical class where students learn by doing something?;"";workshop;lecture;semester;workshop
What do we call work students complete outside the classroom?;"";homework;vacation;lecture;homework
What do we call a piece of work given to a student to complete?;"";assignment;semester;degree;assignment
What do we call a long academic paper based on research?;"";thesis;quiz;lesson;thesis
What do we call a very long research project for a doctorate?;"";dissertation;assignment;lecture;dissertation
What do we call a short test given during a course?;"";quiz;degree;lecture;quiz
What do we call a formal test of knowledge?;"";exam;lesson;workshop;exam
What do we call a test taken at the end of a course?;"";final exam;quiz;assignment;final exam
What do we call a test taken during the middle of a course?;"";midterm;final exam;degree;midterm
What do we call the result a student receives for an exam?;"";grade;lesson;course;grade
What do we call a mark representing a student's performance?;"";score;semester;lecture;score
What do we call the average of a student's grades?;"";GPA;degree;major;GPA
What do we call a system of letters used to evaluate students?;"";grading system;curriculum;semester;grading system
What do we call the list of subjects taught in a course or program?;"";curriculum;assignment;faculty;curriculum
What do we call everything taught in a particular educational program?;"";curriculum;classmate;library;curriculum
What do we call the official plan for a school year?;"";academic calendar;report card;transcript;academic calendar
What do we call a document showing a student's grades?;"";report card;passport;contract;report card
What do we call an official record of university courses and grades?;"";transcript;report card;certificate;transcript
What do we call an official document showing that someone completed a course?;"";certificate;transcript;assignment;certificate
What do we call an academic qualification awarded by a university?;"";degree;lesson;quiz;degree
What do we call a degree earned after completing undergraduate studies?;"";bachelor's degree;master's degree;doctorate;bachelor's degree
What do we call a degree earned after a bachelor's degree?;"";master's degree;bachelor's degree;certificate;master's degree
What do we call the highest academic degree normally awarded by a university?;"";doctorate;diploma;certificate;doctorate
What do we call a qualification awarded after completing a shorter course?;"";diploma;doctorate;semester;diploma
What do we call the ceremony where students receive their degrees?;"";graduation;registration;orientation;graduation
What do we call successfully completing an educational program?;"";graduation;enrollment;assessment;graduation
What do we call the process of officially joining a school or university?;"";enrollment;graduation;examination;enrollment
What do we call the process of registering for a course?;"";registration;graduation;research;registration
What do we call a student who has completed a degree?;"";graduate;freshman;tutor;graduate
What do we call a student in their first year at university?;"";freshman;graduate;professor;freshman
What do we call a student in their final year of university?;"";senior;freshman;tutor;senior
What do we call a period of study at a university?;"";semester;classmate;assignment;semester
What do we call one of the two main periods of an academic year?;"";semester;degree;subject;semester
What do we call a shorter period of study often used between semesters?;"";summer term;degree;graduation;summer term
What do we call a period when students do not attend classes?;"";break;semester;lecture;break
What do we call a period when a school is closed for several weeks?;"";school holiday;assignment;exam;school holiday
What do we call education for young children before primary school?;"";preschool;university;graduate school;preschool
What do we call the first level of formal education?;"";primary education;higher education;graduate education;primary education
What do we call education for teenagers before university?;"";secondary education;primary education;higher education;secondary education
What do we call education provided by universities and colleges?;"";higher education;primary education;preschool;higher education
What do we call education focused on practical job skills?;"";vocational education;academic education;preschool;vocational education
What do we call learning that takes place through the internet?;"";online learning;fieldwork;laboratory work;online learning
What do we call education where students attend classes remotely?;"";distance learning;physical education;primary education;distance learning
What do we call studying without direct help from a teacher?;"";self-study;group work;lecture;self-study
What do we call learning throughout a person's life?;"";lifelong learning;school holiday;graduation;lifelong learning
What do we call learning by working with other students?;"";group work;self-study;lecture;group work
What do we call an activity where students work together to complete a task?;"";collaborative project;final exam;lecture;collaborative project
What do we call learning through practical experience?;"";experiential learning;online learning;memorization;experiential learning
What do we call learning information by repeating it?;"";memorization;research;discussion;memorization
What do we call a conversation where students exchange ideas?;"";discussion;examination;assignment;discussion
What do we call a formal talk given by a student or researcher?;"";presentation;quiz;semester;presentation
What do we call a formal argument between two or more sides?;"";debate;lecture;assignment;debate
What do we call a person who studies a subject scientifically?;"";researcher;principal;student;researcher
What do we call a detailed investigation to discover new information?;"";research;homework;graduation;research
What do we call information collected during a study?;"";data;degree;lecture;data
What do we call a possible explanation that can be tested?;"";hypothesis;conclusion;assignment;hypothesis
What do we call the final result of a research study?;"";conclusion;hypothesis;semester;conclusion
What do we call a source used to support information in academic writing?;"";reference;assignment;classmate;reference
What do we call a list of sources used in academic work?;"";bibliography;curriculum;transcript;bibliography
What do we call copying someone else's work without giving credit?;"";plagiarism;research;revision;plagiarism
What do we call checking and improving written work before submitting it?;"";revision;graduation;enrollment;revision
What do we call studying again before an exam?;"";revision;registration;lecture;revision
What do we call comments intended to help a student improve?;"";feedback;assignment;degree;feedback
What do we call the process of judging a student's knowledge or skills?;"";assessment;enrollment;graduation;assessment
What do we call a method used to measure academic performance?;"";evaluation;lecture;semester;evaluation
What do we call extra help given to students who are struggling?;"";support;tuiton;graduation;support
What do we call financial help given to students to pay for education?;"";scholarship;salary;loan;scholarship
What do we call money borrowed to pay for education?;"";student loan;scholarship;salary;student loan
What do we call the money charged for attending a university?;"";tuition;salary;tax;tuition
What do we call a student who receives financial support based on achievement?;"";scholarship student;graduate;freshman;scholarship student
What do we call a student who studies at a university without attending classes in person?;"";distance student;professor;classmate;distance student
