question;hint;option1;option2;option3;answer
What do we call food eaten in the morning?;"";breakfast;lunch;dinner;breakfast
What do we call the meal eaten around midday?;"";lunch;breakfast;dessert;lunch
What do we call the main meal eaten in the evening?;"";dinner;breakfast;snack;dinner
What do we call a small amount of food eaten between meals?;"";snack;dessert;starter;snack
What do we call the first course of a meal?;"";starter;dessert;main course;starter
What do we call the largest or most important course of a meal?;"";main course;starter;snack;main course
What do we call the sweet food eaten at the end of a meal?;"";dessert;starter;salad;dessert
What do we call a dish made mainly from raw vegetables?;"";salad;soup;stew;salad
What do we call a liquid food usually made by boiling vegetables or meat?;"";soup;salad;bread;soup
What do we call a thick dish made by cooking meat and vegetables slowly?;"";stew;sandwich;salad;stew
What do we call bread filled with meat, cheese, or vegetables?;"";sandwich;soup;omelet;sandwich
What do we call a dish made from eggs cooked in a pan?;"";omelet;stew;toast;omelet
What do we call bread that has been browned by heat?;"";toast;rice;pasta;toast
What do we call food made from flour and baked in an oven?;"";bread;cheese;butter;bread
What do we call a dairy product made from milk?;"";cheese;rice;flour;cheese
What do we call a yellow dairy product often spread on bread?;"";butter;yogurt;cream;butter
What do we call a thick dairy product made from fermented milk?;"";yogurt;butter;cheese;yogurt
What do we call the white liquid commonly produced by cows?;"";milk;cream;juice;milk
What do we call a sweet food made from cocoa?;"";chocolate;cheese;bread;chocolate
What do we call a sweet frozen dessert?;"";ice cream;soup;omelet;ice cream
What do we call a baked dessert usually made with flour and sugar?;"";cake;salad;stew;cake
What do we call a small sweet baked food?;"";cookie;sandwich;soup;cookie
What do we call a baked dessert with fruit inside?;"";pie;toast;salad;pie
What do we call a sweet food made by cooking sugar until it becomes hard?;"";candy;bread;cheese;candy
What do we call a sweet spread made from fruit?;"";jam;butter;cream;jam
What do we call a thick sweet liquid often poured over pancakes?;"";syrup;vinegar;broth;syrup
What do we call a liquid used to add flavor to salads?;"";dressing;dessert;flour;dressing
What do we call a sour liquid commonly used in cooking and salads?;"";vinegar;honey;cream;vinegar
What do we call a sweet substance made by bees?;"";honey;vinegar;mustard;honey
What do we call a yellow sauce often served with burgers?;"";mustard;honey;vinegar;mustard
What do we call a red sauce commonly served with fries?;"";ketchup;mustard;cream;ketchup
What do we call a thick sauce made from tomatoes?;"";tomato sauce;soy sauce;cream;tomato sauce
What do we call a dark salty sauce commonly used in Asian cooking?;"";soy sauce;ketchup;honey;soy sauce
What do we call a hot sauce made from peppers?;"";chili sauce;cream sauce;apple sauce;chili sauce
What do we call a liquid made by cooking meat, vegetables, or bones?;"";broth;syrup;vinegar;broth
What do we call meat from a cow?;"";beef;pork;chicken;beef
What do we call meat from a pig?;"";pork;beef;lamb;pork
What do we call meat from a sheep?;"";lamb;pork;beef;lamb
What do we call meat from a chicken?;"";chicken;turkey;beef;chicken
What do we call meat from a turkey?;"";turkey;chicken;pork;turkey
What do we call meat from a young cow?;"";veal;lamb;pork;veal
What do we call meat from a deer?;"";venison;beef;veal;venison
What do we call meat or fish cooked over an open fire?;"";grilled;boiled;steamed;grilled
What do we call food cooked in hot oil?;"";fried;boiled;baked;fried
What do we call food cooked in an oven?;"";baked;fried;steamed;baked
What do we call food cooked in boiling water?;"";boiled;grilled;roasted;boiled
What do we call food cooked using hot steam?;"";steamed;fried;baked;steamed
What do we call food cooked slowly in an oven with dry heat?;"";roasted;boiled;steamed;roasted
What do we call meat cooked slowly over low heat?;"";roasted;fried;raw;roasted
What do we call food that has not been cooked?;"";raw;fried;boiled;raw
What do we call vegetables or meat cut into very small pieces?;"";chopped;boiled;frozen;chopped
What do we call food cut into thin flat pieces?;"";sliced;grilled;mashed;sliced
What do we call potatoes that have been cooked and crushed?;"";mashed potatoes;fried rice;potato salad;mashed potatoes
