mode;topic;wordBank;question;answer
translation;Present Continuous;Afirmative;Ela está caminhando para a escola agora.;She is walking to school right now
translation;Present Continuous;Interogative;Você está tomando café?;Are you drinking coffee?
translation;Present Continuous;Negative;Ele não está comendo carne.;He isnt eating meat
translation;Present Continuous;Afirmative;Eles estão jogando futebol no momento.;They are playing soccer at the moment
translation;Present Continuous;Interogative;Ela está falando inglês?;Is she speaking English?
translation;Present Continuous;Negative;Não estamos assistindo TV agora.;We arent watching TV right now
translation;Present Continuous;Afirmative;O sol está nascendo.;The sun is rising
translation;Present Continuous;Interogative;Os pássaros estão voando para o sul neste inverno?;Are birds flying south this winter?
translation;Present Continuous;Negative;Ela não está dirigindo para o trabalho hoje.;She isnt driving to work today
translation;Present Continuous;Afirmative;Ele está lendo um livro agora.;He is reading a book now
translation;Present Continuous;Interogative;Você está trabalhando aos domingos hoje em dia?;Are you working on Sundays these days?
translation;Present Continuous;Negative;Eles não estão mais morando em Nova York.;They arent living in New York anymore
translation;Present Continuous;Afirmative;A loja está abrindo em breve.;The store is opening soon
translation;Present Continuous;Interogative;Ele está escrevendo cartas?;Is he writing letters?
translation;Present Continuous;Negative;Eu não estou comendo comida picante.;I am not eating spicy food
translation;Present Continuous;Afirmative;Ela está cantando lindamente agora.;She is singing beautifully right now
translation;Present Continuous;Interogative;Você vai visitar sua família neste fim de semana?;Are you visiting your family this weekend?
translation;Present Continuous;Negative;Ele não vai à academia hoje.;He isnt going to the gym today
translation;Present Continuous;Afirmative;Estamos estudando inglês agora.;We are studying English now
translation;Present Continuous;Interogative;O trem está saindo a tempo?;Is the train leaving on time?
