mode;topic;wordBank;question;answer
translation;Present Perfect Simple;Afirmative;Ela foi para a escola hoje.;She has walked to school today
translation;Present Perfect Simple;Interogative;Você já bebeu seu café?;Have you drunk your coffee?
translation;Present Perfect Simple;Negative;Ele não tomou café da manhã.;He hasnt eaten breakfast
translation;Present Perfect Simple;Afirmative;Eles jogaram futebol esta semana.;They have played soccer this week
translation;Present Perfect Simple;Interogative;Ela já falou com você?;Has she spoken to you yet?
translation;Present Perfect Simple;Negative;Nós não assistimos ao filme.;We havent watched the movie
translation;Present Perfect Simple;Afirmative;O sol nasceu.;The sun has risen
translation;Present Perfect Simple;Interogative;Os pássaros voaram para o sul este ano?;Have birds flown south this year?
translation;Present Perfect Simple;Negative;Ela não dirigiu para o trabalho esta semana.;She hasnt driven to work this week
translation;Present Perfect Simple;Afirmative;Ele leu o livro.;He has read the book
translation;Present Perfect Simple;Interogative;Você já trabalhou no projeto?;Have you worked on the project?
translation;Present Perfect Simple;Negative;Eles não moram aqui há muito tempo.;They havent lived here for a long time
translation;Present Perfect Simple;Afirmative;A loja abriu.;The store has opened
translation;Present Perfect Simple;Interogative;Ele escreveu uma carta?;Has he written a letter?
translation;Present Perfect Simple;Negative;Eu não gostei do novo restaurante.;I havent liked the new restaurant
translation;Present Perfect Simple;Afirmative;Ela cantou lindamente no coro.;She has sung beautifully in the choir
translation;Present Perfect Simple;Interogative;Você visitou sua família recentemente?;Have you visited your family recently?
translation;Present Perfect Simple;Negative;Ele não tem ido à academia ultimamente.;He hasnt gone to the gym lately
translation;Present Perfect Simple;Afirmative;Estudamos inglês por um ano.;We have studied English for a year
translation;Present Perfect Simple;Interogative;O trem já saiu?;Has the train left already?
