mode;topic;rule1;rule2;exampleA;exampleI;exampleN;type;wordBank;question;answer
translation;Prepositions;"Choose the correct preposition";"Complete the sentence correctly";"She is at school";"I go to work";"The book is on the table";"PREPOSITION ";"IN | ON | AT";"She learned Russian ________ the age of 45.";"at"
translation;Prepositions;"Choose the correct preposition";"Complete the sentence correctly";"She is at school";"I go to work";"The book is on the table";"PREPOSITION ";"IN | ON | AT";"The book was written ________ Mark Twain.";"by"
translation;Prepositions;"Choose the correct preposition";"Complete the sentence correctly";"She is at school";"I go to work";"The book is on the table";"PREPOSITION ";"IN | ON | AT";"Alex doesn`t go ________ school ________ Sundays";"to on"
translation;Prepositions;"Choose the correct preposition";"Complete the sentence correctly";"She is at school";"I go to work";"The book is on the table";"PREPOSITION ";"IN | ON | AT";"Martin was born ________ Manchester ________ 3rd November 1990";"in on"
translation;Prepositions;"Choose the correct preposition";"Complete the sentence correctly";"She is at school";"I go to work";"The book is on the table";"PREPOSITION ";"IN | ON | AT";"We were ________ holiday ________ August";"on in"
translation;Prepositions;"Choose the correct preposition";"Complete the sentence correctly";"She is at school";"I go to work";"The book is on the table";"PREPOSITION ";"IN | ON | AT";"He wrote the phone number ________ a piece of paper and put it ________ his pocket";"on in"
translation;Prepositions;"Choose the correct preposition";"Complete the sentence correctly";"She is at school";"I go to work";"The book is on the table";"PREPOSITION ";"IN | ON | AT";"I`ll see you ________ school ________ two weeks time";"at in"
translation;Prepositions;"Choose the correct preposition";"Complete the sentence correctly";"She is at school";"I go to work";"The book is on the table";"PREPOSITION ";"IN | ON | AT";"I love to go swimming at the beach ________ summer";"in"
translation;Prepositions;"Choose the correct preposition";"Complete the sentence correctly";"She is at school";"I go to work";"The book is on the table";"PREPOSITION ";"IN | ON | AT";"What time do your children usually go to bed ________ night?";"at"
translation;Prepositions;Choose the correct preposition;Complete the sentence correctly;She is at school;I go to work;The book is on the table;PREPOSITION;;Next year  we plan to travel to Taiwan ________ September’;'in"
translation;Prepositions;"Choose the correct preposition";"Complete the sentence correctly";"She is at school";"I go to work";"The book is on the table";"PREPOSITION ";"IN | ON | AT";"My birthday is next week. I was born ________ October 15th";"on"
translation;Prepositions;"Choose the correct preposition";"Complete the sentence correctly";"She is at school";"I go to work";"The book is on the table";"PREPOSITION ";"IN | ON | AT";"My grandfather is very old. He was born ________ 1939";"in"
translation;Prepositions;"Choose the correct preposition";"Complete the sentence correctly";"She is at school";"I go to work";"The book is on the table";"PREPOSITION ";"IN | ON | AT";"I am going to meet my friends ________ Friday evening";"on"
translation;Prepositions;"Choose the correct preposition";"Complete the sentence correctly";"She is at school";"I go to work";"The book is on the table";"PREPOSITION ";"IN | ON | AT";"Most stores and businesses are closed ________ New Year`s Day";"on"
translation;Prepositions;"Choose the correct preposition";"Complete the sentence correctly";"She is at school";"I go to work";"The book is on the table";"PREPOSITION ";"IN | ON | AT";"I always get up very early ________ the morning";"in"
translation;Prepositions;Choose the correct preposition;Complete the sentence correctly;She is at school;I go to work;The book is on the table;PREPOSITION;;My father goes to work ________ weekdays  from Monday to Friday.’;'on"
translation;Prepositions;Choose the correct preposition;Complete the sentence correctly;She is at school;I go to work;The book is on the table;PREPOSITION;;After I eat dinner  I like to watch tv ________ the evening.’;'in"
translation;Prepositions;"Choose the correct preposition";"Complete the sentence correctly";"She is at school";"I go to work";"The book is on the table";"PREPOSITION ";"IN | ON | AT";"My first class at college begins ________ eight o`clock";"at"
translation;Prepositions;"Choose the correct preposition";"Complete the sentence correctly";"She is at school";"I go to work";"The book is on the table";"PREPOSITION ";"IN | ON | AT";"He was an appointment to see a dentist ________ Monday";"on"
translation;Prepositions;Choose the correct preposition;Complete the sentence correctly;She is at school;I go to work;The book is on the table;PREPOSITION;;Last night  I heard a very strange sound ________ midnight’;'at"
translation;Prepositions;"Choose the correct preposition";"Complete the sentence correctly";"She is at school";"I go to work";"The book is on the table";"PREPOSITION ";"IN | ON | AT";"My summer holiday start ________ June Horray!";"in"
translation;Prepositions;"Choose the correct preposition";"Complete the sentence correctly";"She is at school";"I go to work";"The book is on the table";"PREPOSITION ";"IN | ON | AT";"He changed his job three times ________ the 1990s";"in"
translation;Prepositions;"Choose the correct preposition";"Complete the sentence correctly";"She is at school";"I go to work";"The book is on the table";"PREPOSITION ";"IN | ON | AT";"My friend wants to have a party ________ his birthday";"on"
translation;Prepositions;"Choose the correct preposition";"Complete the sentence correctly";"She is at school";"I go to work";"The book is on the table";"PREPOSITION ";"IN | ON | AT";"My brother has a new job. He works ________ the evening.";"in"
translation;Prepositions;"Choose the correct preposition";"Complete the sentence correctly";"She is at school";"I go to work";"The book is on the table";"PREPOSITION ";"IN | ON | AT";"We’re going to have a picnic ________ Saturday afternoon. Would you like to come?";"on"
