question;hint;option1;option2;option3;answer
What feeling do you have when something good happens?;"";happiness;sadness;anger;happiness
What feeling do you have when something bad happens?;"";sadness;excitement;pride;sadness
What feeling do you have when someone treats you unfairly?;"";anger;joy;relief;anger
What feeling do you have when you are afraid of something?;"";fear;confidence;happiness;fear
What feeling do you have when you are very pleased about something?;"";delight;anger;anxiety;delight
What feeling do you have when you are worried about something?;"";anxiety;relief;pride;anxiety
What feeling do you have when you believe something good will happen?;"";hope;fear;disappointment;hope
What feeling do you have when something you wanted does not happen?;"";disappointment;excitement;confidence;disappointment
What feeling do you have when you have achieved something important?;"";pride;shame;fear;pride
What feeling do you have when you have done something wrong?;"";guilt;joy;confidence;guilt
What feeling do you have when you feel uncomfortable because of something embarrassing?;"";embarrassment;excitement;relief;embarrassment
What feeling do you have when you are pleased with what someone has done?;"";satisfaction;anger;fear;satisfaction
What feeling do you have when a difficult situation has ended successfully?;"";relief;anxiety;confusion;relief
What feeling do you have when you strongly want something?;"";desire;indifference;fear;desire
What feeling do you have when you do not care about something?;"";indifference;excitement;enthusiasm;indifference
What feeling do you have when you are extremely interested in something?;"";enthusiasm;boredom;sadness;enthusiasm
What feeling do you have when you have nothing interesting to do?;"";boredom;excitement;joy;boredom
What feeling do you have when you are surprised by something unexpected?;"";surprise;anger;guilt;surprise
What feeling do you have when you think something bad may happen?;"";worry;confidence;relief;worry
What feeling do you have when you believe in your ability to succeed?;"";confidence;fear;shame;confidence
What feeling do you have when you feel sorry about something you did?;"";regret;excitement;pride;regret
What feeling do you have when you think someone has something you want?;"";envy;gratitude;relief;envy
What feeling do you have when you are thankful for something?;"";gratitude;jealousy;anger;gratitude
What feeling do you have when you strongly dislike someone or something?;"";hatred;admiration;affection;hatred
What feeling do you have when you like someone very much?;"";affection;anger;fear;affection
What feeling do you have when you respect and like someone because of their qualities?;"";admiration;disappointment;guilt;admiration
What feeling do you have when you feel close to someone emotionally?;"";connection;indifference;fear;connection
What feeling do you have when you miss someone who is not with you?;"";longing;confidence;excitement;longing
What feeling do you have when you want to be close to someone?;"";yearning;anger;shame;yearning
What feeling do you have when you feel calm and peaceful?;"";contentment;panic;rage;contentment
What feeling do you have when you are unable to relax?;"";restlessness;contentment;gratitude;restlessness
What feeling do you have when you suddenly become very afraid?;"";panic;joy;pride;panic
What feeling do you have when you are extremely angry?;"";rage;relief;hope;rage
What feeling do you have when you are slightly angry or annoyed?;"";irritation;delight;admiration;irritation
What feeling do you have when someone or something bothers you?;"";annoyance;excitement;gratitude;annoyance
What feeling do you have when you are not certain about something?;"";uncertainty;confidence;pride;uncertainty
What feeling do you have when you cannot understand something?;"";confusion;happiness;relief;confusion
What feeling do you have when you are nervous about something that will happen?;"";nervousness;contentment;pride;nervousness
What feeling do you have before an important event?;"";anticipation;indifference;regret;anticipation
What feeling do you have when you are looking forward to something?;"";excitement;boredom;guilt;excitement
What feeling do you have when you feel very happy and energetic?;"";joy;fear;shame;joy
What feeling do you have when you feel extremely happy?;"";euphoria;sadness;anxiety;euphoria
What feeling do you have when you feel cheerful and positive?;"";optimism;pessimism;anger;optimism
What feeling do you have when you expect negative results?;"";pessimism;optimism;gratitude;pessimism
What feeling do you have when you believe things will improve?;"";hopefulness;despair;resentment;hopefulness
What feeling do you have when you feel that nothing can improve?;"";despair;hope;enthusiasm;despair
What feeling do you have when you are deeply sad and without hope?;"";despair;delight;confidence;despair
What feeling do you have when you are unhappy because you have lost someone or something?;"";grief;excitement;pride;grief
What feeling do you have after losing someone you love?;"";grief;gratitude;enthusiasm;grief
What feeling do you have when you are disappointed and unhappy about a situation?;"";frustration;joy;relief;frustration
What feeling do you have when something prevents you from achieving your goal?;"";frustration;satisfaction;admiration;frustration
What feeling do you have when you are treated badly and continue to feel angry about it?;"";resentment;gratitude;delight;resentment
What feeling do you have when you feel ashamed of yourself?;"";shame;pride;excitement;shame
What feeling do you have when you feel responsible for something bad?;"";guilt;joy;confidence;guilt
What feeling do you have when you feel sorry for another person's suffering?;"";sympathy;envy;anger;sympathy
What feeling do you have when you understand and share another person's emotions?;"";empathy;indifference;pride;empathy
What feeling do you have when you care deeply about another person?;"";compassion;resentment;fear;compassion
What feeling do you have when you feel sorry for someone in difficulty?;"";pity;excitement;confidence;pity
What feeling do you have when you appreciate someone's help?;"";gratitude;anger;envy;gratitude
What feeling do you have when you trust that someone will help you?;"";reassurance;fear;confusion;reassurance
What feeling do you have when someone makes you feel safe?;"";security;anxiety;panic;security
What feeling do you have when you feel unsafe or threatened?;"";insecurity;confidence;contentment;insecurity
What feeling do you have when you worry that you may lose someone you love?;"";jealousy;gratitude;relief;jealousy
What feeling do you have when you fear that someone may take what belongs to you?;"";jealousy;pride;hope;jealousy
What feeling do you have when you compare yourself with someone and wish you had what they have?;"";envy;affection;contentment;envy
What feeling do you have when you feel pleased because someone you dislike has failed?;"";schadenfreude;compassion;gratitude;schadenfreude
What feeling do you have when you feel that something is unfair?;"";resentment;delight;confidence;resentment
What feeling do you have when you strongly want revenge?;"";vengeance;gratitude;affection;vengeance
What feeling do you have when you forgive someone for something they did?;"";forgiveness;anger;envy;forgiveness
What feeling do you have when you accept that you made a mistake?;"";acceptance;denial;anger;acceptance
What feeling do you have when you refuse to believe something is true?;"";denial;acceptance;gratitude;denial
What feeling do you have when you are willing to try something new?;"";openness;fear;resentment;openness
What feeling do you have when you are curious about something?;"";curiosity;indifference;anger;curiosity
What feeling do you have when you really want to discover something?;"";curiosity;boredom;shame;curiosity
What feeling do you have when you are deeply interested in learning something?;"";fascination;indifference;fear;fascination
What feeling do you have when something is so interesting that you cannot stop thinking about it?;"";fascination;boredom;regret;fascination
What feeling do you have when you are amazed by something?;"";wonder;anger;guilt;wonder
What feeling do you have when something is difficult to understand or believe?;"";astonishment;indifference;resentment;astonishment
What feeling do you have when you are very surprised by something impressive?;"";amazement;sadness;frustration;amazement
What feeling do you have when you respect someone for their achievements?;"";respect;envy;anger;respect
What feeling do you have when you value someone highly?;"";appreciation;resentment;fear;appreciation
What feeling do you have when you feel warm and friendly toward someone?;"";affection;hatred;jealousy;affection
