question;hint;option1;option2;option3;answer
Definition|Which word matches the definition? "A person's male parent.";"";father;uncle;cousin;father
Definition|Which word matches the definition? "A person's female parent.";"";mother;aunt;niece;mother
Definition|Which word matches the definition? "A person's male child.";"";son;brother;nephew;son
Definition|Which word matches the definition? "A person's female child.";"";daughter;sister;cousin;daughter
Definition|Which word matches the definition? "A male sibling.";"";brother;father;uncle;brother
Definition|Which word matches the definition? "A female sibling.";"";sister;mother;aunt;sister
Definition|Which word matches the definition? "A parent's male child.";"";son;nephew;grandson;son
Definition|Which word matches the definition? "A parent's female child.";"";daughter;niece;granddaughter;daughter
Definition|Which word matches the definition? "The father of your father or mother.";"";grandfather;uncle;father-in-law;grandfather
Definition|Which word matches the definition? "The mother of your father or mother.";"";grandmother;aunt;mother-in-law;grandmother
Definition|Which word matches the definition? "The male child of your son or daughter.";"";grandson;nephew;cousin;grandson
Definition|Which word matches the definition? "The female child of your son or daughter.";"";granddaughter;niece;cousin;granddaughter
Definition|Which word matches the definition? "The brother of your father or mother.";"";uncle;nephew;cousin;uncle
Definition|Which word matches the definition? "The sister of your father or mother.";"";aunt;niece;cousin;aunt
Definition|Which word matches the definition? "The child of your uncle or aunt.";"";cousin;nephew;grandchild;cousin
Definition|Which word matches the definition? "The son of your brother or sister.";"";nephew;cousin;uncle;nephew
Definition|Which word matches the definition? "The daughter of your brother or sister.";"";niece;cousin;aunt;niece
Definition|Which word matches the definition? "A child of your grandparent.";"";parent;uncle;grandchild;parent
Definition|Which word matches the definition? "A child of your great-grandparent.";"";grandparent;uncle;cousin;grandparent
Definition|Which word matches the definition? "The father of your spouse.";"";father-in-law;stepfather;uncle;father-in-law
Definition|Which word matches the definition? "The mother of your spouse.";"";mother-in-law;stepmother;aunt;mother-in-law
Definition|Which word matches the definition? "The brother of your spouse.";"";brother-in-law;uncle;cousin;brother-in-law
Definition|Which word matches the definition? "The sister of your spouse.";"";sister-in-law;aunt;niece;sister-in-law
Definition|Which word matches the definition? "The son of your spouse.";"";stepson;nephew;son-in-law;stepson
Definition|Which word matches the definition? "The daughter of your spouse.";"";stepdaughter;niece;daughter-in-law;stepdaughter
Definition|Which word matches the definition? "The husband of your daughter.";"";son-in-law;brother-in-law;nephew;son-in-law
Definition|Which word matches the definition? "The wife of your son.";"";daughter-in-law;sister-in-law;niece;daughter-in-law
Definition|Which word matches the definition? "A man married to your mother but not your biological father.";"";stepfather;father-in-law;uncle;stepfather
Definition|Which word matches the definition? "A woman married to your father but not your biological mother.";"";stepmother;mother-in-law;aunt;stepmother
Definition|Which word matches the definition? "A child who has one biological parent in common with you.";"";half-sibling;cousin;stepchild;half-sibling
Definition|Which word matches the definition? "A child who is legally or informally raised by parents who are not their biological parents.";"";adopted child;grandchild;nephew;adopted child
Definition|Which word matches the definition? "A child legally taken into a family and raised as their own.";"";adoptee;stepchild;cousin;adoptee
Definition|Which word matches the definition? "A person who legally takes a child into their family.";"";adoptive parent;grandparent;guardian;adoptive parent
