question;hint;option1;option2;option3;answer
abide means...;"";accept or follow a rule;break a rule;ignore a decision;accept or follow a rule
abolish means...;"";officially end a law or system;create a new law;strengthen a system;officially end a law or system
accelerate means...;"";make something happen faster;make something slower;stop something completely;make something happen faster
accommodate means...;"";adjust to meet a need;refuse to change;remove something;adjust to meet a need
accumulate means...;"";gradually collect or increase;quickly disappear;reduce something;gradually collect or increase
adhere means...;"";follow a rule or principle;break a rule;avoid responsibility;follow a rule or principle
adjourn means...;"";temporarily stop a meeting or discussion;start a meeting;cancel a meeting permanently;temporarily stop a meeting or discussion
administer means...;"";manage or organize something;destroy something;avoid responsibility;manage or organize something
adopt means...;"";accept or begin to use something;reject something;destroy something;accept or begin to use something
advocate means...;"";publicly support an idea;publicly reject an idea;avoid an issue;publicly support an idea
aggregate means...;"";combine several things into a total;separate things;remove information;combine several things into a total
alleviate means...;"";make something less painful or serious;make something worse;create a problem;make something less painful or serious
amend means...;"";make changes to improve a document or rule;destroy a document;ignore a rule;make changes to improve a document or rule
anticipate means...;"";expect something before it happens;forget something;prevent everything;expect something before it happens
articulate means...;"";express an idea clearly;hide an idea;confuse someone;express an idea clearly
ascertain means...;"";find out something with certainty;guess randomly;forget something;find out something with certainty
assert means...;"";state something confidently;ask a question;deny everything;state something confidently
attain means...;"";achieve something;lose something;avoid something;achieve something
attribute means...;"";regard something as being caused by a particular factor;deny every cause;remove a cause;regard something as being caused by a particular factor
augment means...;"";increase or improve something;reduce something;destroy something;increase or improve something
authorize means...;"";give official permission;refuse permission;remove permission;give official permission
cease means...;"";stop happening;begin happening;increase rapidly;stop happening
circumvent means...;"";find a way around a problem or rule;follow a rule exactly;create a problem;find a way around a problem or rule
coerce means...;"";force someone to do something;invite someone politely;help someone voluntarily;force someone to do something
coincide means...;"";happen at the same time;happen at different times;prevent an event;happen at the same time
compile means...;"";collect information into one place;destroy information;hide information;collect information into one place
complement means...;"";add something that improves another thing;damage something;replace something completely;add something that improves another thing
comprehend means...;"";understand something;forget something;avoid something;understand something
conceal means...;"";hide something;show something clearly;explain something;hide something
concede means...;"";admit that something is true;deny everything;prove something false;admit that something is true
confer means...;"";discuss something with someone;avoid communication;punish someone;discuss something with someone
conform means...;"";behave according to accepted rules or standards;break every rule;avoid society;behave according to accepted rules or standards
contemplate means...;"";think carefully about something;act without thinking;forget something;think carefully about something
contrive means...;"";create or arrange something skillfully;destroy something;avoid planning;create or arrange something skillfully
convey means...;"";communicate an idea or feeling;hide information;destroy evidence;communicate an idea or feeling
counteract means...;"";reduce or prevent the effect of something;increase an effect;ignore an effect;reduce or prevent the effect of something
curb means...;"";control or limit something;increase something;remove something completely;control or limit something
deem means...;"";consider or judge something in a particular way;ignore something;destroy something;consider or judge something in a particular way
depict means...;"";represent something in words or pictures;hide something;remove something;represent something in words or pictures
deprive means...;"";prevent someone from having something;give someone something;offer extra help;prevent someone from having something
designate means...;"";officially choose someone or something for a purpose;remove a person from a position;avoid choosing;officially choose someone or something for a purpose
deter means...;"";discourage someone from doing something;encourage someone strongly;force someone to act;discourage someone from doing something
deviate means...;"";move away from a usual path or standard;follow exactly;remain unchanged;move away from a usual path or standard
diminish means...;"";become smaller or less important;become stronger;increase rapidly;become smaller or less important
discriminate means...;"";treat someone unfairly based on a characteristic;treat everyone equally;avoid making decisions;treat someone unfairly based on a characteristic
disrupt means...;"";interrupt something and prevent it from continuing normally;support something;improve something;interrupt something and prevent it from continuing normally
distort means...;"";change something so it becomes inaccurate;make something more accurate;copy something exactly;change something so it becomes inaccurate
divert means...;"";change the direction of something;continue in the same direction;stop something permanently;change the direction of something
elaborate means...;"";add more details to something;remove details;make something shorter;add more details to something
elicit means...;"";get a response or information from someone;hide information;prevent a response;get a response or information from someone
embody means...;"";represent an idea or quality;destroy an idea;hide a quality;represent an idea or quality
empower means...;"";give someone the ability or confidence to do something;prevent someone from acting;remove someone's rights;give someone the ability or confidence to do something
encompass means...;"";include or contain a wide range of things;exclude everything;remove something;include or contain a wide range of things
endorse means...;"";publicly support or approve something;publicly reject something;ignore something;publicly support or approve something
entail means...;"";involve something as a necessary part;avoid something;prevent something;involve something as a necessary part
evoke means...;"";cause a feeling, memory, or reaction;prevent a feeling;remove a memory;cause a feeling, memory, or reaction
exacerbate means...;"";make a problem or situation worse;make a problem better;solve a problem;make a problem or situation worse
exemplify means...;"";be a typical example of something;be completely unrelated;contradict something;be a typical example of something
exert means...;"";use effort or influence;avoid effort;remove influence;use effort or influence
expedite means...;"";make a process happen faster;make a process slower;cancel a process;make a process happen faster
facilitate means...;"";make something easier;make something harder;prevent something;make something easier
foster means...;"";encourage the development of something;prevent development;destroy something;encourage the development of something
hinder means...;"";make something more difficult;make something easier;complete something;make something more difficult
impose means...;"";force a rule or burden on someone;remove a rule;ask for permission;force a rule or burden on someone
incur means...;"";experience something unpleasant or a cost;avoid a cost;receive a reward;experience something unpleasant or a cost
induce means...;"";cause something to happen;prevent something;ignore something;cause something to happen
infer means...;"";reach a conclusion from evidence;forget evidence;reject all evidence;reach a conclusion from evidence
inhibit means...;"";prevent or slow down something;encourage something;complete something;prevent or slow down something
initiate means...;"";start something;finish something;avoid something;start something
integrate means...;"";combine things into a whole;separate things completely;destroy things;combine things into a whole
intervene means...;"";become involved in a situation;avoid a situation;leave immediately;become involved in a situation
invoke means...;"";refer to something as a source of authority or support;ignore a source;destroy evidence;refer to something as a source of authority or support
isolate means...;"";separate something from others;combine everything;connect everything;separate something from others
mediate means...;"";help people resolve a disagreement;take one side;increase a disagreement;help people resolve a disagreement
mitigate means...;"";reduce the seriousness of something;make something worse;create a problem;reduce the seriousness of something
neglect means...;"";fail to give proper care or attention;take excellent care;improve something;fail to give proper care or attention
obscure means...;"";not well known or difficult to understand;very famous;very obvious;not well known or difficult to understand
offset means...;"";counterbalance the effect of something;increase an effect;ignore an effect;counterbalance the effect of something
oversee means...;"";supervise or manage something;ignore something;avoid responsibility;supervise or manage something
perpetuate means...;"";make something continue for a long time;end something quickly;prevent something;make something continue for a long time
preclude means...;"";prevent something from happening;encourage something;allow something;prevent something from happening
prescribe means...;"";officially recommend or order something;forbid something;ignore something;officially recommend or order something
presume means...;"";suppose something is true without complete proof;prove something;deny something;suppose something is true without complete proof
prohibit means...;"";officially prevent something;encourage something;allow something;officially prevent something
provoke means...;"";cause a reaction, especially an angry one;calm someone;prevent a reaction;cause a reaction, especially an angry one
reconcile means...;"";restore friendly relations or make things compatible;create a disagreement;separate people;restore friendly relations or make things compatible
refrain means...;"";stop yourself from doing something;continue doing something;encourage someone to act;stop yourself from doing something
reinforce means...;"";make something stronger;make something weaker;remove something;make something stronger
relieve means...;"";reduce pain, stress, or difficulty;increase pain;create stress;reduce pain, stress, or difficulty
render means...;"";cause someone or something to be in a particular condition;remove something;avoid a situation;cause someone or something to be in a particular condition
resort means...;"";use something as a last option;avoid all options;choose the first option;use something as a last option
retain means...;"";keep or continue to have something;give something away;lose something;keep or continue to have something
scrutinize means...;"";examine something very carefully;ignore something;destroy something;examine something very carefully
segregate means...;"";separate people or things;combine everything;invite everyone;separate people or things
speculate means...;"";form an opinion without enough evidence;know something with certainty;prove something;form an opinion without enough evidence
stabilize means...;"";make something steady or stable;make something unstable;destroy something;make something steady or stable
substantiate means...;"";provide evidence to support a claim;deny a claim;hide evidence;provide evidence to support a claim
suppress means...;"";prevent something from being expressed or known;encourage something;publish something;prevent something from being expressed or known
tolerate means...;"";accept something unpleasant without reacting strongly;refuse to accept anything;encourage something;accept something unpleasant without reacting strongly
undermine means...;"";weaken someone's confidence or authority;strengthen someone's authority;support someone completely;weaken someone's confidence or authority
unveil means...;"";reveal something for the first time;hide something;destroy something;reveal something for the first time
utilize means...;"";use something for a specific purpose;avoid using something;destroy something;use something for a specific purpose
validate means...;"";confirm that something is correct or acceptable;prove something wrong;hide information;confirm that something is correct or acceptable
withstand means...;"";remain strong despite pressure or damage;break immediately;avoid pressure;remain strong despite pressure
yield means...;"";produce or provide something;destroy something;prevent production;produce or provide something
acute means...;"";very serious or severe;slight and unimportant;long-lasting but mild;very serious or severe
adverse means...;"";negative or harmful;positive and helpful;completely neutral;negative or harmful
ambiguous means...;"";open to more than one interpretation;completely clear;obviously false;open to more than one interpretation
apparent means...;"";easy to notice or understand;completely hidden;impossible to see;easy to notice or understand
arbitrary means...;"";based on personal choice rather than a clear reason;based on strict evidence;required by law;based on personal choice rather than a clear reason
assertive means...;"";confidently expressing opinions or needs;unable to speak;aggressive toward everyone;confidently expressing opinions or needs
authentic means...;"";genuine and real;fake and artificial;temporary;genuine and real
biased means...;"";unfairly favoring one side;completely neutral;based on facts only;unfairly favoring one side
coherent means...;"";logical and well organized;confusing and disorganized;unrelated;logical and well organized
compatible means...;"";able to work well together;unable to work together;completely unrelated;able to work well together
compulsory means...;"";required by law or rules;optional;unnecessary;required by law or rules
concrete means...;"";specific and real rather than abstract;imaginary;unclear;specific and real rather than abstract
consecutive means...;"";following one after another;happening randomly;separated by years;following one after another
considerable means...;"";large or important enough to be noticed;very small;unimportant;large or important enough to be noticed
consistent means...;"";remaining the same or behaving in a similar way;changing constantly;completely random;remaining the same or behaving in a similar way
contemporary means...;"";belonging to the present time;belonging only to ancient times;belonging to the distant future;belonging to the present time
controversial means...;"";causing disagreement or public argument;accepted by everyone;unimportant;causing disagreement or public argument
conventional means...;"";traditional and commonly accepted;completely new;illegal;traditional and commonly accepted
credible means...;"";believable and trustworthy;clearly false;unimportant;believable and trustworthy
cumulative means...;"";increasing by adding previous amounts together;decreasing every day;remaining unchanged;increasing by adding previous amounts together
deficient means...;"";not having enough of something;having too much;being perfect;not having enough of something
deliberate means...;"";intentional and carefully considered;accidental;unplanned;intentional and carefully considered
dense means...;"";closely packed together;widely separated;very empty;closely packed together
distinct means...;"";clearly different;almost identical;impossible to identify;clearly different
diverse means...;"";including many different types;all identical;very limited;including many different types
dominant means...;"";more powerful or influential than others;less important than everyone;completely powerless;more powerful or influential than others
drastic means...;"";extreme and likely to have a strong effect;small and insignificant;gradual and gentle;extreme and likely to have a strong effect
durable means...;"";able to last a long time;easily broken;temporary;able to last a long time
eligible means...;"";qualified to do or receive something;forbidden from participating;unable to qualify;qualified to do or receive something
empirical means...;"";based on observation or experiment;based only on opinion;based on imagination;based on observation or experiment
ethical means...;"";related to principles of right and wrong;related only to money;completely illegal;related to principles of right and wrong
excessive means...;"";more than necessary or reasonable;less than necessary;exactly enough;more than necessary or reasonable
explicit means...;"";clear and direct;vague and indirect;secret;clear and direct
feasible means...;"";possible and practical;impossible;unnecessary;possible and practical
flexible means...;"";able to change or adapt easily;unable to change;extremely rigid;able to change or adapt easily
fundamental means...;"";basic and essential;minor and unnecessary;temporary;basic and essential
gradual means...;"";happening slowly over time;sudden;immediate;happening slowly over time
inherent means...;"";naturally existing as part of something;added from outside;completely unrelated;naturally existing as part of something
inevitable means...;"";certain to happen;very unlikely;easy to avoid;certain to happen
inferior means...;"";lower in quality or status;better in every way;equal in quality;lower in quality or status
innovative means...;"";introducing new ideas or methods;using only traditional methods;uncreative;introducing new ideas or methods
integral means...;"";necessary and important as part of something;completely separate;unimportant;necessary and important as part of something
intense means...;"";very strong or extreme;very weak;barely noticeable;very strong or extreme
intrinsic means...;"";belonging naturally to something;added from outside;unrelated;belonging naturally to something
legitimate means...;"";reasonable or legally accepted;illegal or false;unnecessary;reasonable or legally accepted
mandatory means...;"";required by law or rules;optional;unnecessary;required by law or rules
minimal means...;"";very small or as little as possible;very large;extreme;very small or as little as possible
moderate means...;"";not extreme;extremely high;extremely low;not extreme
mutual means...;"";shared by two or more people;belonging to one person only;completely private;shared by two or more people
notable means...;"";worthy of attention;unimportant;impossible to notice;worthy of attention
objective means...;"";based on facts rather than personal feelings;based entirely on emotions;completely random;based on facts rather than personal feelings
optional means...;"";not required;required by law;necessary;not required
persistent means...;"";continuing despite difficulties;giving up easily;changing constantly;continuing despite difficulties
plausible means...;"";reasonable and possible;clearly impossible;completely unrelated;reasonable and possible
prevalent means...;"";common or widespread;extremely rare;completely absent;common or widespread
profound means...;"";very deep or significant;slightly important;very simple;very deep or significant
prominent means...;"";important and easily noticed;unimportant and hidden;ordinary;important and easily noticed
radical means...;"";very different from traditional ideas;slightly different;completely ordinary;very different from traditional ideas
rational means...;"";based on reason and logic;based only on emotion;random;based on reason and logic
relevant means...;"";closely connected with the subject;unrelated;unnecessary;closely connected with the subject
reliable means...;"";able to be trusted or depended on;likely to fail;uncertain;able to be trusted or depended on
rigid means...;"";not willing or able to change;very flexible;easy to adapt;not willing or able to change
scarce means...;"";limited and difficult to find;very common;available everywhere;limited and difficult to find
severe means...;"";very serious or extreme;mild and harmless;slightly noticeable;very serious or extreme
sophisticated means...;"";advanced and developed;simple and basic;poorly designed;advanced and developed
stable means...;"";unlikely to change suddenly;constantly changing;dangerously unstable;unlikely to change suddenly
subsequent means...;"";happening after something else;happening before something;happening at the same time;happening after something else
subtle means...;"";not obvious or easy to notice;extremely obvious;very loud;not obvious or easy to notice
sufficient means...;"";enough for a particular purpose;not enough;far too much;enough for a particular purpose
temporary means...;"";lasting for a limited period;permanent;eternal;lasting for a limited period
thorough means...;"";complete and careful;quick and careless;partial;complete and careful
transparent means...;"";open and easy to understand;secret and confusing;physically heavy;open and easy to understand
underlying means...;"";existing beneath the surface or serving as a basic cause;completely unrelated;obvious and visible;existing beneath the surface or serving as a basic cause
universal means...;"";applying to everyone or everything;applying to one person;limited to one place;applying to everyone or everything
versatile means...;"";able to be used in many different ways;useful for only one purpose;impossible to use;able to be used in many different ways
vital means...;"";extremely important or necessary;unimportant;optional;extremely important or necessary
volatile means...;"";likely to change suddenly and unpredictably;very stable;completely predictable;likely to change suddenly and unpredictably
vulnerable means...;"";easily harmed or attacked;strongly protected;impossible to hurt;easily harmed or attacked
ambition means...;"";a strong desire to achieve something;a fear of failure;a lack of interest;a strong desire to achieve something
approach means...;"";a way of dealing with a situation;a physical object;a financial payment;a way of dealing with a situation
capacity means...;"";the ability or maximum amount something can contain;a financial loss;a personal opinion;the ability or maximum amount something can contain
circumstance means...;"";a condition affecting a situation;a physical object;a financial payment;a condition affecting a situation
concession means...;"";something given up to reach an agreement;a reward;a punishment;something given up to reach an agreement
consent means...;"";permission or agreement;refusal;punishment;permission or agreement
constraint means...;"";a limitation or restriction;a reward;an opportunity;a limitation or restriction
controversy means...;"";a public disagreement;a private celebration;a simple fact;a public disagreement
criterion means...;"";a standard used to judge something;a personal opinion;a financial payment;a standard used to judge something
deficit means...;"";an amount by which something is less than needed;an excess;a reward;an amount by which something is less than needed
dilemma means...;"";a difficult choice between alternatives;a simple decision;a financial gain;a difficult choice between alternatives
discourse means...;"";formal discussion or communication;a physical object;a financial payment;formal discussion or communication
distinction means...;"";a difference between two things;a similarity;a connection;a difference between two things
diversity means...;"";the presence of different types or groups;complete similarity;a single type;the presence of different types or groups
dominance means...;"";control or greater influence over others;complete weakness;a temporary problem;control or greater influence over others
exposure means...;"";the state of being affected by or exposed to something;complete protection;a financial reward;the state of being affected by or exposed to something
framework means...;"";a basic structure for organizing something;a final product;a personal opinion;a basic structure for organizing something
incentive means...;"";something that encourages action;a punishment;a physical obstacle;something that encourages action
indicator means...;"";something that shows a condition or trend;a financial payment;a personal opinion;something that shows a condition or trend
insight means...;"";a deep understanding of something;a lack of knowledge;a physical object;a deep understanding of something
intention means...;"";a plan or purpose;a mistake;a financial loss;a plan or purpose
intervention means...;"";action taken to change a situation;complete avoidance;a financial transaction;action taken to change a situation
