question;hint;option1;option2;option3;answer
What do we call all the living things and natural features around us?;"";environment;building;industry;environment
What do we call the natural world including plants, animals, and landscapes?;"";nature;technology;transport;nature
What do we call an area covered mainly by trees?;"";forest;desert;coast;forest
What do we call a large area of trees with a warm and wet climate?;"";rainforest;desert;tundra;rainforest
What do we call a very dry area with little rainfall?;"";desert;wetland;forest;desert
What do we call a cold region where few trees grow?;"";tundra;rainforest;grassland;tundra
What do we call a large area covered mainly by grass?;"";grassland;forest;wetland;grassland
What do we call land that is regularly covered with water?;"";wetland;desert;mountain;wetland
What do we call land next to the sea?;"";coast;valley;desert;coast
What do we call the area where a river meets the sea?;"";estuary;waterfall;glacier;estuary
What do we call a long narrow area of land between hills or mountains?;"";valley;plateau;island;valley
What do we call land surrounded completely by water?;"";island;valley;peninsula;island
What do we call land almost surrounded by water?;"";peninsula;island;valley;peninsula
What do we call a very high natural area of land?;"";mountain;valley;plain;mountain
What do we call a group or chain of mountains?;"";mountain range;forest;plateau;mountain range
What do we call a large flat area of land?;"";plain;mountain;cliff;plain
What do we call a high area of mostly flat land?;"";plateau;valley;island;plateau
What do we call a steep rock face, often near the sea?;"";cliff;plain;valley;cliff
What do we call water falling from a high place?;"";waterfall;river;lake;waterfall
What do we call a large natural area of salt water?;"";ocean;lake;river;ocean
What do we call a large body of water surrounded by land?;"";lake;ocean;stream;lake
What do we call a natural flow of water moving toward the sea?;"";river;lake;pond;river
What do we call a small river?;"";stream;ocean;waterfall;stream
What do we call a small area of still water?;"";pond;river;ocean;pond
What do we call frozen water that moves slowly down a mountain?;"";glacier;waterfall;stream;glacier
What do we call a large body of ice floating in the sea?;"";iceberg;glacier;island;iceberg
What do we call the layer of gases surrounding Earth?;"";atmosphere;soil;surface;atmosphere
What do we call the air surrounding Earth?;"";air;soil;water;air
What do we call the layer of soil and rock covering the Earth?;"";ground;atmosphere;cloud;ground
What do we call the upper layer of earth where plants grow?;"";soil;stone;water;soil
What do we call material formed from dead plants and animals that improves soil?;"";compost;plastic;metal;compost
What do we call the process of growing plants without harmful chemicals?;"";organic farming;industrial farming;mining;organic farming
What do we call land used for growing crops?;"";farmland;forest;wetland;farmland
What do we call plants grown for food?;"";crops;weeds;forests;crops
What do we call unwanted plants growing among crops?;"";weeds;crops;flowers;weeds
What do we call a plant that grows naturally without being planted?;"";wild plant;crop;garden plant;wild plant
What do we call a plant that produces flowers?;"";flowering plant;weed;fungus;flowering plant
What do we call a living organism that grows in soil or on plants and is not an animal or plant?;"";fungus;insect;reptile;fungus
What do we call the process by which plants use sunlight to make food?;"";photosynthesis;respiration;pollution;photosynthesis
What gas do plants absorb during photosynthesis?;"";carbon dioxide;oxygen;nitrogen;carbon dioxide
What gas do plants release during photosynthesis?;"";oxygen;carbon dioxide;methane;oxygen
What do we call the process of planting trees to restore forests?;"";reforestation;deforestation;irrigation;reforestation
What do we call the cutting down of large areas of forest?;"";deforestation;reforestation;conservation;deforestation
What do we call protecting forests and natural areas?;"";conservation;pollution;deforestation;conservation
What do we call the protection of nature and wildlife?;"";conservation;construction;industrialization;conservation
What do we call the variety of living things in an area?;"";biodiversity;pollution;climate;biodiversity
What do we call a group of animals of the same species living in an area?;"";population;ecosystem;habitat;population
What do we call all the living and non-living things interacting in an area?;"";ecosystem;population;species;ecosystem
What do we call the natural home of an animal or plant?;"";habitat;population;climate;habitat
What do we call a group of similar living organisms that can reproduce?;"";species;ecosystem;habitat;species
What do we call animals that live in the wild?;"";wildlife;livestock;pets;wildlife
What do we call animals raised by humans for food or other purposes?;"";livestock;wildlife;predators;livestock
What do we call animals kept in people's homes?;"";pets;livestock;wildlife;pets
What do we call an animal that hunts other animals?;"";predator;prey;herbivore;predator
What do we call an animal hunted by another animal?;"";prey;predator;parasite;prey
What do we call an animal that eats mainly plants?;"";herbivore;carnivore;omnivore;herbivore
What do we call an animal that eats mainly other animals?;"";carnivore;herbivore;producer;carnivore
What do we call an animal that eats both plants and animals?;"";omnivore;herbivore;carnivore;omnivore
What do we call an organism that breaks down dead plants and animals?;"";decomposer;predator;producer;decomposer
What do we call an organism that produces its own food, such as a plant?;"";producer;consumer;decomposer;producer
What do we call an organism that gets energy by eating other organisms?;"";consumer;producer;decomposer;consumer
What do we call the natural relationship between organisms and their surroundings?;"";ecology;industry;agriculture;ecology
What do we call the study of living organisms and their relationships with the environment?;"";ecology;geology;astronomy;ecology
What do we call the study of plants?;"";botany;zoology;geology;botany
What do we call the study of animals?;"";zoology;botany;ecology;zoology
What do we call the study of rocks and the Earth's structure?;"";geology;biology;botany;geology
What do we call harmful substances introduced into the environment?;"";pollution;nutrition;fertilizer;pollution
What do we call harmful substances in the air?;"";air pollution;water pollution;noise pollution;air pollution
What do we call harmful substances in rivers, lakes, or oceans?;"";water pollution;air pollution;soil pollution;water pollution
What do we call harmful chemicals or waste in the ground?;"";soil pollution;air pollution;noise pollution;soil pollution
What do we call unwanted or excessive sound?;"";noise pollution;water pollution;light pollution;noise pollution
What do we call excessive artificial light that affects the environment?;"";light pollution;air pollution;noise pollution;light pollution
What do we call waste produced by homes and businesses?;"";garbage;wildlife;rainfall;garbage
What do we call materials that can be used again?;"";recyclables;pollutants;wastewater;recyclables
What do we call the process of turning used materials into new products?;"";recycling;deforestation;mining;recycling
What do we call using something again instead of throwing it away?;"";reuse;recycle;pollute;reuse
What do we call reducing the amount of waste we produce?;"";waste reduction;deforestation;irrigation;waste reduction
What do we call waste that can naturally break down?;"";biodegradable waste;plastic waste;metal waste;biodegradable waste
What do we call waste that does not easily break down naturally?;"";non-biodegradable waste;organic waste;compost;non-biodegradable waste
What do we call the pollution caused by plastic products?;"";plastic pollution;air pollution;noise pollution;plastic pollution
What do we call water that has been used and needs treatment?;"";wastewater;rainwater;drinking water;wastewater
What do we call a place where waste is buried?;"";landfill;reservoir;greenhouse;landfill
What do we call a building where waste materials are processed for reuse?;"";recycling center;landfill;factory;recycling center
What do we call energy obtained from sunlight?;"";solar energy;wind energy;coal energy;solar energy
What do we call energy obtained from moving air?;"";wind energy;solar energy;nuclear energy;wind energy
What do we call energy produced by moving water?;"";hydropower;solar power;coal power;hydropower
What do we call energy from sources that naturally replace themselves?;"";renewable energy;fossil fuel;nuclear waste;renewable energy
What do we call energy sources that can run out, such as coal and oil?;"";non-renewable energy;renewable energy;solar energy;non-renewable energy
What do we call fuels such as coal, oil, and natural gas?;"";fossil fuels;biofuels;renewable energy;fossil fuels
What do we call the gradual increase in Earth's average temperature?;"";global warming;acid rain;deforestation;global warming
What do we call the long-term changes in Earth's weather patterns?;"";climate change;weather forecast;seasonal change;climate change
What do we call rain made more acidic by air pollution?;"";acid rain;heavy rain;drizzle;acid rain
What do we call gases that trap heat in Earth's atmosphere?;"";greenhouse gases;oxygen gases;natural gases;greenhouse gases
What do we call the process in which gases trap heat in the atmosphere?;"";greenhouse effect;water cycle;carbon cycle;greenhouse effect
What do we call the gas most associated with human-caused global warming?;"";carbon dioxide;oxygen;helium;carbon dioxide
What do we call the release of gases into the atmosphere?;"";emission;recycling;conservation;emission
What do we call the amount of carbon dioxide produced by a person or organization?;"";carbon footprint;water cycle;energy source;carbon footprint
What do we call the effort to reduce environmental damage?;"";sustainability;pollution;deforestation;sustainability
What do we call using natural resources without destroying them for future generations?;"";sustainable development;industrial development;urban growth;sustainable development
What do we call natural materials that humans use, such as water, forests, and minerals?;"";natural resources;manufactured goods;waste products;natural resources
What do we call removing valuable minerals from the ground?;"";mining;farming;recycling;mining
What do we call taking too many fish from the sea?;"";overfishing;farming;conservation;overfishing
What do we call using too much water or another natural resource?;"";overuse;recycling;conservation;overuse
What do we call protecting animals that are at risk of disappearing?;"";wildlife conservation;industrialization;deforestation;wildlife conservation
What do we call a species that is at risk of disappearing forever?;"";endangered species;common species;domestic species;endangered species
What do we call a species that no longer exists anywhere?;"";extinct species;endangered species;rare species;extinct species
What do we call an area protected to preserve nature and wildlife?;"";national park;industrial zone;shopping mall;national park
