question;hint;option1;option2;option3;answer
Definition|Which word matches the definition? "The color of blood and ripe strawberries.";"";red;blue;green;red
Definition|Which word matches the definition? "The color of the sky on a clear day.";"";blue;yellow;purple;blue
Definition|Which word matches the definition? "The color of grass and leaves.";"";green;orange;pink;green
Definition|Which word matches the definition? "The color of the sun and bananas.";"";yellow;black;brown;yellow
Definition|Which word matches the definition? "The color made by mixing red and blue.";"";purple;orange;gray;purple
Definition|Which word matches the definition? "The color of carrots and oranges.";"";orange;pink;blue;orange
Definition|Which word matches the definition? "The color often associated with cotton and snow.";"";white;black;green;white
Definition|Which word matches the definition? "The darkest basic color.";"";black;yellow;pink;black
Definition|Which word matches the definition? "A light color often associated with flowers and babies.";"";pink;brown;gray;pink
Definition|Which word matches the definition? "A color made by mixing black and white.";"";gray;purple;orange;gray
Definition|Which word matches the definition? "The color of chocolate and tree trunks.";"";brown;blue;red;brown
Definition|Which word matches the definition? "A pale color between blue and green.";"";turquoise;red;yellow;turquoise
Definition|Which word matches the definition? "A light shade of purple.";"";lavender;orange;brown;lavender
Definition|Which word matches the definition? "A very dark shade of blue.";"";navy;pink;yellow;navy
Definition|Which word matches the definition? "A bright yellowish-green color.";"";lime;purple;black;lime
Definition|Which word matches the definition? "A pale shade of blue.";"";light blue;red;orange;light blue
Definition|Which word matches the definition? "A very dark shade of green.";"";dark green;pink;white;dark green
Definition|Which word matches the definition? "A color similar to silver.";"";gray;green;orange;gray
Definition|Which word matches the definition? "A color similar to gold.";"";gold;blue;purple;gold
Definition|Which word matches the definition? "A color associated with fire and passion.";"";red;green;gray;red
Definition|Which word matches the definition? "A color commonly associated with peace and nature.";"";green;black;purple;green
Definition|Which word matches the definition? "A color commonly associated with the ocean.";"";blue;brown;pink;blue
Definition|Which word matches the definition? "A color commonly associated with darkness.";"";black;yellow;orange;black
Definition|Which word matches the definition? "A color commonly associated with purity.";"";white;red;brown;white
Definition|Which word matches the definition? "A warm color between red and yellow.";"";orange;blue;green;orange
Definition|Which word matches the definition? "A cool color between blue and purple.";"";violet;yellow;orange;violet
Definition|Which word matches the definition? "A pale reddish-purple color.";"";mauve;green;black;mauve
Definition|Which word matches the definition? "A deep red color similar to wine.";"";burgundy;yellow;turquoise;burgundy
Definition|Which word matches the definition? "A yellow-brown color.";"";beige;purple;blue;beige
Definition|Which word matches the definition? "A very pale brown color.";"";tan;green;red;tan
Definition|Which word matches the definition? "A dark reddish-brown color.";"";maroon;pink;gray;maroon
Definition|Which word matches the definition? "A bright blue-green color.";"";cyan;brown;yellow;cyan
Definition|Which word matches the definition? "A pale green color.";"";mint;black;orange;mint
Definition|Which word matches the definition? "A pale yellow color.";"";cream;purple;blue;cream
Definition|Which word matches the definition? "A strong bright red color.";"";scarlet;gray;green;scarlet
Definition|Which word matches the definition? "A bright pinkish-purple color.";"";magenta;brown;yellow;magenta
Definition|Which word matches the definition? "A color similar to the color of copper.";"";copper;blue;pink;copper
Definition|Which word matches the definition? "A color that has no light and absorbs most visible light.";"";black;white;yellow;black
Definition|Which word matches the definition? "A color produced when all visible light is reflected.";"";white;black;purple;white
Definition|Which word matches the definition? "A color that is lighter than another version of the same color.";"";light;dark;bright;light
Definition|Which word matches the definition? "A color that is deeper or less bright.";"";dark;light;pale;dark
Definition|Which word matches the definition? "A color that is strong and intense.";"";bright;pale;dark;bright
Definition|Which word matches the definition? "A color with little intensity.";"";pale;bright;dark;pale
Definition|Which word matches the definition? "A color without much saturation or intensity.";"";muted;bright;neon;muted
Definition|Which word matches the definition? "A very bright color that appears to glow.";"";neon;gray;brown;neon
Definition|Which word matches the definition? "A color between red and white.";"";pink;green;blue;pink
Definition|Which word matches the definition? "A color between black and white.";"";gray;orange;purple;gray
Definition|Which word matches the definition? "A color between yellow and green.";"";lime;navy;maroon;lime
Definition|Which word matches the definition? "A color between blue and green.";"";teal;red;yellow;teal
Definition|Which word matches the definition? "A color between red and purple.";"";magenta;green;brown;magenta
Definition|Which word matches the definition? "A color between red and orange.";"";coral;blue;gray;coral
Definition|Which word matches the definition? "A color similar to the sky at sunset.";"";coral;green;black;coral
Definition|Which word matches the definition? "A color similar to fresh grass.";"";lime;purple;navy;lime
Definition|Which word matches the definition? "A color similar to the color of the ocean.";"";teal;brown;pink;teal
Definition|Which word matches the definition? "A color often associated with royalty.";"";purple;green;orange;purple
Definition|Which word matches the definition? "A color often associated with danger.";"";red;blue;white;red
Definition|Which word matches the definition? "A color often associated with freshness.";"";green;black;gray;green
Definition|Which word matches the definition? "A color often associated with happiness and sunshine.";"";yellow;purple;brown;yellow
Definition|Which word matches the definition? "A color often associated with calmness.";"";blue;red;orange;blue
Definition|Which word matches the definition? "A color often associated with mystery.";"";purple;yellow;green;purple
Definition|Which word matches the definition? "A color often associated with earth and wood.";"";brown;pink;cyan;brown
Definition|Which word matches the definition? "A color often associated with metal and technology.";"";silver;orange;green;silver
Definition|Which word matches the definition? "A shiny yellow color similar to a precious metal.";"";gold;blue;gray;gold
Definition|Which word matches the definition? "A color that combines red and yellow.";"";orange;purple;green;orange
Definition|Which word matches the definition? "A color that combines blue and yellow.";"";green;red;purple;green
Definition|Which word matches the definition? "A color that combines red and blue.";"";purple;orange;green;purple
Definition|Which word matches the definition? "A shape with three straight sides.";"";triangle;circle;square;triangle
Definition|Which word matches the definition? "A shape with four equal sides.";"";square;triangle;oval;square
Definition|Which word matches the definition? "A round shape with no corners.";"";circle;square;rectangle;circle
Definition|Which word matches the definition? "A shape with four sides, with opposite sides equal.";"";rectangle;circle;triangle;rectangle
Definition|Which word matches the definition? "A shape that looks like a stretched circle.";"";oval;triangle;square;oval
