question;hint;option1;option2;option3;answer
Choose the synonym of "huge";"";enormous;tiny;narrow;enormous
Choose the synonym of "small";"";tiny;massive;enormous;tiny
Choose the synonym of "happy";"";joyful;angry;tired;joyful
Choose the synonym of "sad";"";unhappy;excited;wealthy;unhappy
Choose the synonym of "angry";"";furious;calm;gentle;furious
Choose the synonym of "beautiful";"";attractive;ugly;ordinary;attractive
Choose the synonym of "ugly";"";unattractive;elegant;beautiful;unattractive
Choose the synonym of "fast";"";rapid;slow;weak;rapid
Choose the synonym of "slow";"";gradual;rapid;instant;gradual
Choose the synonym of "smart";"";intelligent;stupid;careless;intelligent
Choose the synonym of "stupid";"";foolish;brilliant;clever;foolish
Choose the synonym of "easy";"";simple;complex;difficult;simple
Choose the synonym of "difficult";"";challenging;simple;obvious;challenging
Choose the synonym of "important";"";significant;minor;useless;significant
Choose the synonym of "unimportant";"";insignificant;essential;valuable;insignificant
Choose the synonym of "rich";"";wealthy;poor;needy;wealthy
Choose the synonym of "poor";"";impoverished;wealthy;affluent;impoverished
Choose the synonym of "strong";"";powerful;weak;fragile;powerful
Choose the synonym of "weak";"";feeble;powerful;robust;feeble
Choose the synonym of "old";"";ancient;modern;recent;ancient
Choose the synonym of "new";"";recent;ancient;outdated;recent
Choose the synonym of "clean";"";spotless;dirty;messy;spotless
Choose the synonym of "dirty";"";filthy;clean;tidy;filthy
Choose the synonym of "quiet";"";silent;loud;noisy;silent
Choose the synonym of "loud";"";noisy;silent;quiet;noisy
Choose the synonym of "beautiful";"";gorgeous;plain;ugly;gorgeous
Choose the synonym of "ugly";"";hideous;beautiful;pretty;hideous
Choose the synonym of "brave";"";courageous;cowardly;timid;courageous
Choose the synonym of "afraid";"";frightened;brave;confident;frightened
Choose the synonym of "calm";"";peaceful;agitated;furious;peaceful
Choose the synonym of "tired";"";exhausted;energetic;active;exhausted
Choose the synonym of "hungry";"";starving;full;satisfied;starving
Choose the synonym of "thirsty";"";dehydrated;refreshed;hydrated;dehydrated
Choose the synonym of "angry";"";irritated;pleased;relaxed;irritated
Choose the synonym of "surprised";"";astonished;bored;indifferent;astonished
Choose the synonym of "interesting";"";fascinating;boring;ordinary;fascinating
Choose the synonym of "boring";"";dull;exciting;fascinating;dull
Choose the synonym of "funny";"";amusing;serious;dull;amusing
Choose the synonym of "serious";"";grave;funny;playful;grave
Choose the synonym of "kind";"";compassionate;cruel;harsh;compassionate
Choose the synonym of "cruel";"";merciless;kind;gentle;merciless
Choose the synonym of "generous";"";charitable;selfish;greedy;charitable
Choose the synonym of "selfish";"";greedy;generous;selfless;greedy
Choose the synonym of "honest";"";truthful;dishonest;deceptive;truthful
Choose the synonym of "dishonest";"";deceitful;honest;sincere;deceitful
Choose the synonym of "polite";"";courteous;rude;hostile;courteous
Choose the synonym of "rude";"";impolite;polite;friendly;impolite
Choose the synonym of "friendly";"";sociable;hostile;aggressive;sociable
Choose the synonym of "hostile";"";antagonistic;friendly;helpful;antagonistic
Choose the synonym of "careful";"";cautious;reckless;careless;cautious
Choose the synonym of "careless";"";negligent;careful;attentive;negligent
Choose the synonym of "quick";"";swift;slow;gradual;swift
Choose the synonym of "slow";"";sluggish;swift;rapid;sluggish
Choose the synonym of "correct";"";accurate;wrong;false;accurate
Choose the synonym of "wrong";"";incorrect;accurate;valid;incorrect
