mode;topic;wordBank;question;answer
translation;Present Perfect Continuous;Afirmative;Ela tem caminhado para a escola todos os dias.;She has been walking to school every day
translation;Present Perfect Continuous;Interogative;Você tem bebido café esta manhã?;Have you been drinking coffee this morning?
translation;Present Perfect Continuous;Negative;Ele não tem tomado café da manhã ultimamente.;He hasnt been eating breakfast lately
translation;Present Perfect Continuous;Afirmative;Eles jogaram futebol a tarde toda.;They have been playing soccer all afternoon
translation;Present Perfect Continuous;Interogative;Ela tem falado inglês com você?;Has she been speaking English with you?
translation;Present Perfect Continuous;Negative;Não temos assistido muita TV recentemente.;We havent been watching much TV recently
translation;Present Perfect Continuous;Afirmative;O sol tem nascido mais cedo nos dias de hoje.;The sun has been rising earlier these days
translation;Present Perfect Continuous;Interogative;Os pássaros têm voado para o sul nesta temporada?;Have birds been flying south this season?
translation;Present Perfect Continuous;Negative;Ela não está dirigindo para o trabalho esta semana.;She hasnt been driving to work this week
translation;Present Perfect Continuous;Afirmative;Ele tem lido muito ultimamente.;He has been reading a lot lately
translation;Present Perfect Continuous;Interogative;Você tem trabalhado nesse projeto?;Have you been working on that project?
translation;Present Perfect Continuous;Negative;Eles não vivem neste bairro há muito tempo.;They havent been living in this neighborhood for long
translation;Present Perfect Continuous;Afirmative;A loja abriu mais tarde recentemente.;The store has been opening later recently
translation;Present Perfect Continuous;Interogative;Ele tem escrito cartas para seus amigos?;Has he been writing letters to his friends?
translation;Present Perfect Continuous;Negative;Eu não tenho comido muita comida picante recentemente.;I havent been eating much spicy food recently
translation;Present Perfect Continuous;Afirmative;Ela tem cantado lindamente no coro.;She has been singing beautifully in the choir
translation;Present Perfect Continuous;Interogative;Você tem visitado sua família com frequência?;Have you been visiting your family often?
translation;Present Perfect Continuous;Negative;Ele não tem ido à academia regularmente.;He hasnt been going to the gym regularly
translation;Present Perfect Continuous;Afirmative;Estamos estudando inglês há muito tempo.;We have been studying English for a long time
translation;Present Perfect Continuous;Interogative;O trem está saindo a tempo?;Has the train been leaving on time?
